policy,complete_seeds,mean_oracle_loss,mean_loss_margin_vs_custom_ppo,median_loss_margin_vs_custom_ppo,pdppo_step_win_count,pdppo_step_loss_count,mean_staticnorm_macro,mean_staticnorm_macro_margin_vs_custom_ppo,pdppo_staticnorm_macro_win_count,diagnostic_privilege,mean_switches_per_step,mean_mid_duty_sensor_count,mean_warmup_abort_count
context_alert_bandit_t0p5,24,1.3977865484398535,-0.0034406677845216084,-0.0023837169187571,10,14,0.9416547825766864,0.0012217345505790998,11,supplied_synthetic_warning_scores,0.004037783204449817,2.9583333333333335,0.0
event_label_reference_l16,24,1.3972087575100811,-0.004018458714294071,-0.0013070879078894001,10,14,0.9422013725432414,0.0017683245171340046,12,exact_final_event_subtype,0.0026319359652692462,2.9583333333333335,0.0
forecast_greedy_one_step,24,1.670268670986739,0.2690414547623637,0.2666447228184553,24,0,1.119422011887483,0.17898896386137564,24,final_future_loss,0.0279880613213946,2.0,0.0
