policy,calm,particle,flux,thermal,threshold,action_source,lookahead_steps
context_alert_bandit_t0p35,0,19,0,12,0.35,validation,
context_alert_bandit_t0p5,0,19,0,12,0.5,validation,
event_label_reference_l8,0,19,0,12,,validation,8.0
