seed,policy,forecast_samples,oracle_loss_mean,oracle_loss_subtype_particle,steps_subtype_particle,oracle_loss_subtype_flux,steps_subtype_flux,oracle_loss_subtype_thermal,steps_subtype_thermal,oracle_loss_macro_subtype_event,macro_subtype_event_count,rollout_path,oracle_loss_subtype_particle_staticnorm,oracle_loss_subtype_flux_staticnorm,oracle_loss_subtype_thermal_staticnorm,oracle_loss_macro_subtype_event_staticnorm
117,custom_ppo,4096,0.6480588531441163,0.5233619562865124,1235,3.359991783779187,316,0.32748107862553666,1136,1.403611606230412,3,reports/v31_scenebal2_matched_reward_forecast_noexactevent_seed117_h075forecastctrl_20260718cleanpilot/rollout_custom_ppo.npz,0.9445471292343791,0.49111051660372895,0.4631308619121008,0.632929502583403
117,full_open_unconstrained,4096,0.7135622440458612,0.6034423113587042,1235,3.461690325143021,316,0.3270750047007451,1136,1.4640692137341569,3,reports/v31_scenebal2_matched_reward_forecast_noexactevent_seed117_h075forecastctrl_20260718cleanpilot/rollout_full_open_unconstrained.npz,1.0890736248707946,0.5059752027104496,0.4625565833382727,0.6858684703065056
117,secondary_validation_selected_static,4096,0.8674926595798541,0.3788265545804086,1235,6.7653252656503895,316,0.34360806690451506,1136,2.4959199623784376,3,reports/aggregate/pdppo_secondary_forecaster_24seed_20260718/seed117/rollout_secondary_validation_selected_static.npz,0.6836942011329323,0.9888483663102234,0.4859379993902024,0.719493522277786
117,validation_selected_static,4096,0.7105612095907619,0.34905054277910164,1235,3.409303748363938,316,0.7370806709900144,1136,1.498478320711018,3,reports/v31_scenebal2_matched_reward_forecast_noexactevent_seed117_h075forecastctrl_20260718cleanpilot/rollout_validation_selected_static.npz,0.6299553954571591,0.49831816053871586,1.0423955114814247,0.7235563558257665
117,round_robin,4096,0.8964171012929121,0.44362451012231235,1235,5.981685604704451,316,0.5426177061035284,1136,2.3226426069767636,3,reports/v31_scenebal2_matched_reward_forecast_noexactevent_seed117_h075forecastctrl_20260718cleanpilot/rollout_round_robin.npz,0.8006395047649294,0.8743083008921281,0.7673817582720571,0.8141098546430382
117,aoi,4096,0.9053345983780572,0.45776956227054877,1235,6.014484675528623,316,0.5462526909606439,1136,2.339502309586605,3,reports/v31_scenebal2_matched_reward_forecast_noexactevent_seed117_h075forecastctrl_20260718cleanpilot/rollout_aoi.npz,0.8261680481353478,0.8791023508937813,0.7725224328935619,0.8259309439742304
117,feasible_static_projected,4096,0.9037598942978439,0.32767378892753074,1235,6.731120642897812,316,0.653357423070375,1136,2.570717284965239,3,reports/v31_scenebal2_matched_reward_forecast_noexactevent_seed117_h075forecastctrl_20260718cleanpilot/rollout_feasible_static_projected.npz,0.5913753052532055,0.9838488749330868,0.9239922738536388,0.8330721513466437
117,random,4096,0.9083908448380877,0.4687198717601279,1235,5.842181850837442,316,0.590960903232219,1136,2.3006208752765964,3,reports/v31_scenebal2_matched_reward_forecast_noexactevent_seed117_h075forecastctrl_20260718cleanpilot/rollout_random.npz,0.8459308208557779,0.8539178460819301,0.8357497587921676,0.8451994752432919
118,full_open_unconstrained,4096,0.8812138130078848,0.4870786437005486,999,3.2244027610360653,630,0.27079785661315037,1385,1.3274264204499213,3,reports/v31_scenebal2_matched_reward_forecast_noexactevent_seed118_h075forecastctrl_20260718cleanpilot/rollout_full_open_unconstrained.npz,0.9603570437266291,0.4475049984876128,0.3905010544316002,0.5994543655486141
118,custom_ppo,4096,0.8871925393938176,0.44406827182537223,999,3.1251989801878444,630,0.3416284972678999,1385,1.3036319164270387,3,reports/v31_scenebal2_matched_reward_forecast_noexactevent_seed118_h075forecastctrl_20260718cleanpilot/rollout_custom_ppo.npz,0.8755548991082306,0.43373680912401613,0.49264159648640127,0.600644434906216
