heldout_seed,train_seed,selected_update,validation_score,validation_behavior_failures,pdppo_ordinary,static_ordinary,ordinary_margin_vs_static,pdppo_macro,static_macro,macro_margin_vs_static,best_dynamic_policy,ordinary_margin_vs_dynamic,always_on,always_off,mid_duty,switches_per_step,warmup_abort_count,behavior_gate_pass,joint_gate_pass
1501,1502,30,1.0484853117344568,0,0.2756079502319658,0.2950805367597948,0.01947258652782896,0.92938460843535,1.034097059365347,0.10471245092999693,aoi,0.05789658088987276,0,3,2,0.0125199015776523,0,false,false
1502,1501,60,1.0647796269318404,0,0.2872623655227168,0.2708870640975268,-0.016375301425190003,0.9799526017126138,0.9261775026852488,-0.05377509902736499,aoi,0.027830052968864816,0,1,5,0.0332899117093645,0,true,false
1503,1501,70,1.0880921742354661,0,0.2688709509028639,0.2594739165603338,-0.009397034342530086,1.0013830376691877,1.008813994794103,0.007430957124915372,aoi,-0.008068437600741107,0,1,4,0.0306846142712404,0,true,false
1504,1501,5,1.0853788938825872,0,0.327878236566903,0.3039757083849205,-0.02390252818198252,1.0565505098206909,0.988033713560774,-0.06851679625991691,aoi,0.039534685955408766,0,0,5,0.0164278477348386,0,true,false
1505,1501,15,1.035765215616585,0,0.2540411491936538,0.2368098161985269,-0.017231332995126886,0.9613228450418274,0.8986152579342542,-0.06270758710757318,aoi,0.016197732520393193,1,3,2,0.0046316398899985,0,false,false
