update,timesteps,oracle_loss_mean,oracle_loss_macro_subtype_event,oracle_loss_macro_subtype_event_staticnorm,selection_score_name,selection_score,validation_scene_count,ordinary_static_ratio_mean,macro_static_ratio_mean,behavior_failure_count,behavior_valid_scene_count
5,5120,0.4643898347543048,,0.9905241768816628,oracle_loss_mean,0.4643898347543048,1,1.0055835218892877,1.1202757782849053,0,1
10,10240,0.5246670271396093,,1.1067336816317936,oracle_loss_mean,0.5246670271396093,1,1.1361069461164388,1.2517078991927522,0,1
15,15360,0.4732218149971838,,1.020940137853607,oracle_loss_mean,0.4732218149971838,1,1.0247081734928047,1.1546760131760914,0,1
20,20480,0.47391683875078644,,1.0216011414100246,oracle_loss_mean,0.47391683875078644,1,1.0262131686103533,1.1554236034832215,0,1
25,25600,0.4757408934140888,,1.0007835285868871,oracle_loss_mean,0.4757408934140888,1,1.0301629521223301,1.1318790318798368,0,1
30,30720,0.49385677706838277,,1.0159751130740275,oracle_loss_mean,0.49385677706838277,1,1.0693908436993704,1.1490606055677097,0,1
35,35840,0.48185324685861514,,0.9934259477073736,oracle_loss_mean,0.48185324685861514,1,1.0433985603199791,1.1235576603894002,0,1
40,40960,0.4631285526653907,,0.9612982009041829,oracle_loss_mean,0.4631285526653907,1,1.0028523585645412,1.0872214079338636,0,1
45,46080,0.44720431143650785,,0.9553312598532822,oracle_loss_mean,0.44720431143650785,1,0.96837022011113,1.0804728401696497,0,1
49,50176,0.4509534314371801,,0.9734433209713398,oracle_loss_mean,0.4509534314371801,1,0.976488514294413,1.1009574520942709,0,1
