action_idx,oracle_loss_mean,oracle_loss_event,oracle_loss_non_event,event_rate,oracle_loss_subtype_particle,steps_subtype_particle,oracle_loss_subtype_flux,steps_subtype_flux,oracle_loss_subtype_thermal,steps_subtype_thermal,oracle_loss_macro_subtype_event,macro_subtype_event_count,power_mean,warmup_abort_count,sensor_ids,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,oracle_loss_subtype_particle_staticnorm,oracle_loss_subtype_flux_staticnorm,oracle_loss_subtype_thermal_staticnorm,oracle_loss_macro_subtype_event_staticnorm,prior_logit
6,0.46181130124508246,0.49466115890943835,0.4276526843112303,0.509765625,0.5417066323057188,281,0.5521506498534366,251,0.38450322962139705,251,0.4927868372601842,3,1.3799999999999997,0,radiometer_basic|shielded_thermo_hygro,0,1,1,0,0,0,0.9055144779079294,0.9286895843261574,0.9672199737524634,0.9338080119955169,0.0
19,0.46628221853704116,0.4707241705351177,0.461663296339838,0.509765625,0.5005573803340201,281,0.5619253974214968,251,0.3461240115631149,251,0.469535596439544,3,1.5199999999999998,0,shielded_thermo_hygro|fc4_flux,0,0,1,0,0,1,0.8367295652018473,0.9451302174364952,0.8706768411511502,0.8841788745964975,0.0
17,0.46932342331759475,0.517472114742259,0.419256457334179,0.509765625,0.5730563822696217,281,0.621653797438895,251,0.35106262656678244,251,0.5152576020917664,3,1.5399999999999998,0,met_station_core|fc4_flux,1,0,0,0,0,1,0.9579185851832613,1.0455903780816882,0.8830999541609532,0.9622029724753011,0.0
14,0.4711310512405665,0.47072391422277515,0.4715544088566762,0.509765625,0.4502641371719778,281,0.5786093059051559,251,0.3857436912705699,251,0.4715390447825678,3,1.58,0,shielded_thermo_hygro|laser_disdrometer,0,0,1,0,1,0,0.7526595961295994,0.9731917112312373,0.970340361804692,0.8987305563885096,0.0
10,0.4734973228041781,0.4846779227656423,0.4618712806131735,0.509765625,0.5610292391102509,281,0.5797680665059869,251,0.30411080734069607,251,0.4816360376523113,3,1.4600000000000002,0,shielded_thermo_hygro|surface_temp_ir,0,0,1,1,0,0,0.9378140643795817,0.9751406882015712,0.7649923965100031,0.8926490496970519,0.0
3,0.47484459586121375,0.5474260355634936,0.39937146533414186,0.509765625,0.6191534446784398,281,0.6386890159066455,251,0.3758626490000235,251,0.5445683698617029,3,1.4000000000000001,0,met_station_core|radiometer_basic,1,1,0,0,0,0,1.0349742365466967,1.074242757576161,0.9454845460161604,1.018233846713006,0.0
5,0.4780143289487266,0.5419951818911966,0.4114844380404211,0.509765625,0.6214012381126872,281,0.6394844075360621,251,0.35560913633302865,251,0.538831593993926,3,1.42,0,met_station_core|shielded_thermo_hygro,1,0,1,0,0,0,1.038731638388712,1.0755805662374303,0.894536724304871,1.0029496429770044,0.0
1,0.4790385425876593,0.5373460530930247,0.41840802369562596,0.509765625,0.599717189806424,281,0.6348403270144861,251,0.37002592492269804,251,0.5348611472478694,3,0.7199999999999999,0,met_station_core,1,0,0,0,0,0,1.0024846764539816,1.067769456696394,0.9308022347273064,1.000352122625894,0.0
4,0.4817515657705371,0.492718324155605,0.4703478847406458,0.509765625,0.5207781837689707,281,0.5704870798376452,251,0.3835359407789204,251,0.4916004014618454,3,0.7000000000000001,0,shielded_thermo_hygro,0,0,1,0,0,0,0.870530573299796,0.9595305360565964,0.9647867533871819,0.931615954247858,0.0
8,0.4835498744481204,0.5496518340765821,0.41481437061135357,0.509765625,0.6167082276022944,281,0.6731728840752902,251,0.3510596821626344,251,0.5469802646134063,3,1.4800000000000002,0,met_station_core|surface_temp_ir,1,0,0,1,0,0,1.030886822193557,1.1322428870770451,0.8830925474962403,1.0154074189222808,0.0
