step,loss,policy_loss,value_loss,entropy_mean,awbc_loss,prior_kl_loss,soc_aux_loss,subtype_aux_loss,subtype_aux_accuracy,advantage_mean,advantage_std,event_rate,awbc_label_rate,greedy_unique_actions,bc_pretrain,bc_steps,bc_accuracy,forecast_weighted_mae_overall,reward_mean
0,0.646238421369344,,,0.5931029978208244,0.5804033129476011,,,0.21945035274839028,0.9246002197265625,,,0.31148701906204224,1.0,22,1,16384,0.8287811279296875,,
1024,237.96686959266663,-0.045479360025638016,475.35821437835693,2.874565739184618,0.0,0.0,0.0,0.16182938701240346,0.9383544921875,-23.091686248779297,10.727069854736328,0.3460560739040375,0.0,22,0,0,,,
2048,78.1421667933464,-0.046071748074609786,155.77801609039307,2.9128497131168842,0.0,0.0,0.0,0.1600718336412683,0.94580078125,-14.937975883483887,9.106935501098633,0.27176350355148315,0.0,22,0,0,,,
3072,57.53078877925873,-0.045394973170914454,114.568314909935,2.9129669293761253,0.0,0.0,0.0,0.14680498733650893,0.951416015625,-10.057388305664062,6.549185752868652,0.218679279088974,0.0,22,0,0,,,
4096,92.04120606184006,-0.04184027767041698,183.5278558731079,2.9493034332990646,0.0,0.0,0.0,0.1822466958547011,0.9422607421875,-12.776141166687012,7.30259895324707,0.24849596619606018,0.0,22,0,0,,,
5120,153.82744014263153,-0.048211123760211194,307.16441774368286,2.9907395094633102,0.0,0.0,0.0,0.17816196812782437,0.93701171875,-16.59709930419922,8.544148445129395,0.2644791007041931,0.0,22,0,0,,,
6144,188.3164963722229,-0.047587027787812985,376.1355953216553,2.98773755133152,0.0,0.0,0.0,0.20964572275988758,0.9217529296875,-18.67620849609375,8.922921180725098,0.31580299139022827,0.0,22,0,0,,,
7168,197.60098910331726,-0.04392806615896916,394.74258279800415,2.9818429425358772,0.0,0.0,0.0,0.20449414977338165,0.9342041015625,-17.25699234008789,11.765949249267578,0.2502022385597229,0.0,22,0,0,,,
8192,243.45612859725952,-0.04775138280274405,486.46690034866333,3.005428973585367,0.0,0.0,0.0,0.16459591395687312,0.9442138671875,-20.131092071533203,11.404515266418457,0.34431761503219604,0.0,22,0,0,,,
9216,216.58750200271606,-0.04823256185045466,432.83353185653687,2.964329332113266,0.0,0.0,0.0,0.13481602142564952,0.955810546875,-17.10199737548828,13.457063674926758,0.26878297328948975,0.0,22,0,0,,,
10240,96.34360200166702,-0.05151511329313507,192.2424932718277,2.9719808101654053,0.0,0.0,0.0,0.20843290770426393,0.9283447265625,-11.437344551086426,9.369766235351562,0.3317001461982727,0.0,22,0,0,,,
11264,169.611008644104,-0.04731451626321359,338.65076303482056,2.973770309239626,0.0,0.0,0.0,0.17454251844901592,0.9407958984375,-17.22861099243164,9.091585159301758,0.30631738901138306,0.0,22,0,0,,,
12288,210.57628464698792,-0.052836934351944365,420.6901960372925,3.0003254897892475,0.0,0.0,0.0,0.16373813396785408,0.9432373046875,-18.04698944091797,11.832160949707031,0.32583296298980713,0.0,22,0,0,,,
13312,58.94407534599304,-0.04136890618065081,117.38852107524872,2.9902852810919285,0.0,0.0,0.0,0.16284271015319973,0.948974609375,-7.19690465927124,9.022993087768555,0.3519997000694275,0.0,22,0,0,,,
14336,187.99711203575134,-0.04379916912148474,375.4634909629822,2.9998314157128334,0.0,0.0,0.0,0.1642942677717656,0.940185546875,-16.521785736083984,11.882298469543457,0.3391454219818115,0.0,22,0,0,,,
