policy,steps,reward_mean,instant_mae,oracle_loss_mean,dtw_mean,power_mean,peak_power_max,event_rate,warmup_abort_count,switches_per_step,always_on_sensor_count,always_off_sensor_count,mid_duty_sensor_count,duty_entropy,duty_min,duty_max,duty_std,oracle_loss_subtype_particle,steps_subtype_particle,oracle_loss_subtype_flux,steps_subtype_flux,oracle_loss_subtype_thermal,steps_subtype_thermal,oracle_loss_macro_subtype_event,macro_subtype_event_count,seed,run_dir,eval_steps_per_start,eval_start_count,diagnostic_privilege,oracle_loss_subtype_particle_staticnorm,oracle_loss_subtype_flux_staticnorm,oracle_loss_subtype_thermal_staticnorm,oracle_loss_macro_subtype_event_staticnorm,margin_loss_vs_custom_ppo
context_alert_bandit_t0p35,5464,-0.46542748135290885,8.679564216399223,0.4595123916828838,4.717329610509375,1.49400439238653,2.12,0.5104319180087847,0,0.01519311733479773,0,0,6,0.9172723183709761,0.25036603221083453,0.6526354319180088,0.156684222158099,0.929488101923788,74,0.9131321375997068,1548,0.5472910759943412,1167,0.796637105172612,3,1104,/data/zhangzhuyu/tmp/v83a_traincal_runs/v83a_traincal_seed1104,1024,6,supplied_synthetic_warning_scores,0.902996394355906,2.267299337123002,1.6975836973205913,1.6226264762664997,
context_alert_bandit_t0p5,5464,-0.45949960159258635,8.49654970803547,0.4549879529827962,4.649586690976156,1.4981808199121522,2.12,0.5104319180087847,0,0.01519311733479773,0,0,6,0.9132803942584837,0.24707174231332357,0.6586749633967789,0.16117435067725397,0.9299149183002678,74,0.9022146400680299,1548,0.5561153556331162,1167,0.7960816380004713,3,1104,/data/zhangzhuyu/tmp/v83a_traincal_runs/v83a_traincal_seed1104,1024,6,supplied_synthetic_warning_scores,0.9034110458702348,2.240191283537592,1.7249547872441138,1.6228523722173136,
event_label_reference_l8,5464,-0.46392162973820666,8.595457597821172,0.45800211759647913,4.714802764555745,1.4942459736456808,2.12,0.5104319180087847,0,0.01519311733479773,0,0,6,0.9170723427865428,0.25036603221083453,0.6530014641288433,0.15691942184887703,0.9480240453739424,74,0.9107445004980924,1548,0.5391994310541345,1167,0.7993226589753898,3,1104,/data/zhangzhuyu/tmp/v83a_traincal_runs/v83a_traincal_seed1104,1024,6,exact_final_event_subtype,0.9210040375595484,2.261370854491769,1.6724850886687967,1.618286660240038,
