seed,run_dir,router_eval_dir,normalizer_source,validation_selected_static_action_idx,validation_normalizer_particle,validation_normalizer_flux,validation_normalizer_thermal,warmup_abort_count,switches_per_step,always_on_sensor_count,always_off_sensor_count,mid_duty_sensor_count,validation_selected_static_step_loss,validation_selected_static_oracle_loss_subtype_particle,validation_selected_static_steps_subtype_particle,validation_selected_static_oracle_loss_subtype_flux,validation_selected_static_steps_subtype_flux,validation_selected_static_oracle_loss_subtype_thermal,validation_selected_static_steps_subtype_thermal,validation_selected_static_oracle_loss_macro_subtype_event,validation_selected_static_oracle_loss_macro_subtype_event_validationnorm,validation_selected_static_macro_subtype_event_count,aoi_step_loss,aoi_oracle_loss_subtype_particle,aoi_steps_subtype_particle,aoi_oracle_loss_subtype_flux,aoi_steps_subtype_flux,aoi_oracle_loss_subtype_thermal,aoi_steps_subtype_thermal,aoi_oracle_loss_macro_subtype_event,aoi_oracle_loss_macro_subtype_event_validationnorm,aoi_macro_subtype_event_count,round_robin_step_loss,round_robin_oracle_loss_subtype_particle,round_robin_steps_subtype_particle,round_robin_oracle_loss_subtype_flux,round_robin_steps_subtype_flux,round_robin_oracle_loss_subtype_thermal,round_robin_steps_subtype_thermal,round_robin_oracle_loss_macro_subtype_event,round_robin_oracle_loss_macro_subtype_event_validationnorm,round_robin_macro_subtype_event_count,random_step_loss,random_oracle_loss_subtype_particle,random_steps_subtype_particle,random_oracle_loss_subtype_flux,random_steps_subtype_flux,random_oracle_loss_subtype_thermal,random_steps_subtype_thermal,random_oracle_loss_macro_subtype_event,random_oracle_loss_macro_subtype_event_validationnorm,random_macro_subtype_event_count,custom_ppo_step_loss,custom_ppo_oracle_loss_subtype_particle,custom_ppo_steps_subtype_particle,custom_ppo_oracle_loss_subtype_flux,custom_ppo_steps_subtype_flux,custom_ppo_oracle_loss_subtype_thermal,custom_ppo_steps_subtype_thermal,custom_ppo_oracle_loss_macro_subtype_event,custom_ppo_oracle_loss_macro_subtype_event_validationnorm,custom_ppo_macro_subtype_event_count,macro_margin_pdppo_vs_validation_selected_static,step_margin_pdppo_vs_validation_selected_static,macro_margin_pdppo_vs_aoi,step_margin_pdppo_vs_aoi,macro_margin_pdppo_vs_round_robin,step_margin_pdppo_vs_round_robin,macro_margin_pdppo_vs_random,step_margin_pdppo_vs_random,posthoc_best_rule_dynamic_policy,posthoc_best_rule_dynamic_macro,macro_margin_pdppo_vs_posthoc_best_rule_dynamic
117,reports/v31_mechablate_no_regime_aux_path_finalbenchmark_seed117_h075fb_noregaux_20260623b,eval_router_conf05_mechablation_20260623b,validation_static_candidates.csv median subtype losses,5,1.238004996049266,5.480960400261969,1.524015777272983,0.0,0.003337403337403,1.0,1.0,4.0,1.306320910528029,0.873537018429111,1235,4.496754637624644,316,1.408232841758766,1136,2.259508165937507,0.816686723412034,3,1.372192771782011,0.893468612901535,1235,5.611861019336347,316,1.322931154840954,1136,2.609420262359612,0.871213064432385,3,1.36688505796883,0.892174907834062,1235,5.550539450884997,316,1.344764307508586,1136,2.595826222075882,0.871910720796779,3,1.372122375923027,0.891815088086041,1235,5.491469032590902,316,1.354271693617551,1136,2.579185271431498,0.870300836897911,3,1.254068275755799,0.883882444662604,1235,4.738893431953237,316,1.19257740379626,1136,2.271784426804033,0.787030047154793,3,0.029656676257241,0.05225263477223,0.084183017277592,0.118124496026212,0.084880673641986,0.112816782213031,0.083270789743118,0.118054100167228,random,0.870300836897911,0.083270789743118
118,reports/v31_mechablate_no_regime_aux_path_finalbenchmark_seed118_h075fb_noregaux_20260623b,eval_router_conf05_mechablation_20260623b,validation_static_candidates.csv median subtype losses,5,1.011860298683252,8.189598507351345,1.450303654870496,0.0,0.004151404151404,1.0,1.0,4.0,1.547733222796524,0.692082022008178,999,3.529501649973884,630,1.641901300737251,1385,1.954494990906438,0.749017428571119,3,1.697501456483224,0.686254988874759,999,4.979966205453116,630,1.448059028451624,1385,2.3714267409265,0.761582599593562,3,1.689067402851379,0.684405124948562,999,4.919931174696438,630,1.461139815887067,1385,2.355158705177356,0.761536105862355,3,1.677319970714052,0.687446420533103,999,4.886869894748642,630,1.448559909703929,1385,2.340958741661892,0.758301000061371,3,1.416253655017499,0.648483378506891,999,3.542458510588086,630,1.328017380883386,1385,1.839653089992788,0.663040146833554,3,0.085977281737565,0.131479567779025,0.098542452760007,0.281247801465724,0.098495959028801,0.272813747833879,0.095260853227817,0.261066315696553,random,0.758301000061371,0.095260853227817
119,reports/v31_mechablate_no_regime_aux_path_finalbenchmark_seed119_h075fb_noregaux_20260623b,eval_router_conf05_mechablation_20260623b,validation_static_candidates.csv median subtype losses,3,1.496474113393497,6.276155903469771,0.418490100115285,0.0,0.005046805046805,1.0,1.0,4.0,1.785172297141344,1.325316031731359,876,4.901611466647527,716,0.783219505803751,1281,2.336715668060879,1.179383907589997,3,1.828063624338938,1.341022035068743,876,4.769674030762145,716,0.936747416510748,1281,2.349147827447212,1.298162186568791,3,1.835107724759837,1.330492284531667,876,4.800446715684576,716,0.954256172580564,1281,2.361731724265603,1.311397072830184,3,1.836715657675996,1.346888302863665,876,4.791547768317454,716,0.973739598810114,1281,2.370725223330411,1.330095411440731,3,1.548038653332696,1.251562479645286,876,3.661210037976004,716,0.778054954831624,1281,1.896942490817638,1.092962931917888,3,0.086420975672108,0.237133643808647,0.205199254650903,0.280024971006242,0.218434140912296,0.28706907142714,0.237132479522842,0.288677004343299,aoi,1.298162186568791,0.205199254650903
120,reports/v31_mechablate_no_regime_aux_path_finalbenchmark_seed120_h075fb_noregaux_20260623b,eval_router_conf05_mechablation_20260623b,validation_static_candidates.csv median subtype losses,5,0.767339330049659,4.240449164062738,1.959913393041613,0.0,0.004721204721205,1.0,1.0,3.0,1.44368375877275,0.950183295949339,1468,4.549579552173615,500,1.121090995550914,1414,2.206951281224623,0.961064642680284,3,1.564854377532811,0.976053875572827,1468,6.07100083899498,500,0.913851013351785,1414,2.653635242639864,1.056652330483005,3,1.556654743754734,0.948178603953354,1468,6.067039843201638,500,0.920828688038774,1414,2.645349045064588,1.045418637252482,3,1.588987051194636,0.953913132490068,1468,6.138631404995918,500,0.985051501052299,1414,2.692532012846095,1.064460125907355,3,1.31147770930238,0.915682696983502,1468,4.648632033348084,500,0.754665519557419,1414,2.106326749963002,0.891543840089894,3,0.069520802590391,0.132206049470369,0.165108490393111,0.25337666823043,0.153874797162588,0.245177034452354,0.172916285817461,0.277509341892255,round_robin,1.045418637252482,0.153874797162588
121,reports/v31_mechablate_no_regime_aux_path_finalbenchmark_seed121_h075fb_noregaux_20260623b,eval_router_conf05_mechablation_20260623b,validation_static_candidates.csv median subtype losses,5,1.826398849551795,5.876842949172142,1.090749362082262,0.0,0.003663003663004,1.0,1.0,4.0,1.584200468743347,0.817686717043951,1189,5.236263992163068,677,0.806668845079432,1282,2.286873184762151,0.692752852052693,3,1.759238344725418,0.821413525971572,1189,6.465972398593472,677,0.695810435296221,1282,2.661065453287088,0.729303472983699,3,1.768484253382212,0.830060701981763,1189,6.538257180852059,677,0.690219356674068,1282,2.686179079835963,0.733272998991608,3,1.775475905633357,0.819303966663884,1189,6.572982756874938,677,0.696833875198818,1282,2.696373532912547,0.735300829693238,3,1.506504881741876,0.806112235546726,1189,5.383817515485924,677,0.514246820360306,1282,2.234725523797652,0.609645357657928,3,0.083107494394765,0.077695587001472,0.119658115325771,0.252733462983542,0.12362764133368,0.261979371640336,0.12565547203531,0.268971023891481,aoi,0.729303472983699,0.119658115325771
122,reports/v31_mechablate_no_regime_aux_path_finalbenchmark_seed122_h075fb_noregaux_20260623b,eval_router_conf05_mechablation_20260623b,validation_static_candidates.csv median subtype losses,3,1.086092643638465,6.442836228758097,0.452114757175247,0.0,0.004639804639805,1.0,1.0,4.0,1.627547681859596,1.184379739003159,1038,6.003487151571848,515,0.394104936749237,1328,2.527323942441415,0.964665480670851,3,1.672627705435389,1.207714494161652,1038,5.609334032223063,515,0.591863352314468,1328,2.469637292899728,1.097237366956107,3,1.675255977271718,1.217795526851076,1038,5.676829937360819,515,0.60407848044927,1328,2.499567981553721,1.112829301685909,3,1.6767439240557,1.203490156579856,1038,5.778089914333473,515,0.574863660216601,1328,2.51881457704331,1.092138340353054,3,1.389539704889558,1.149923754595794,1038,4.026311335748839,515,0.394202229841781,1328,1.856812440062138,0.851869064083943,3,0.112796416586908,0.238007976970038,0.245368302872164,0.283088000545831,0.260960237601966,0.28571627238216,0.240269276269111,0.287204219166142,random,1.092138340353054,0.240269276269111
123,reports/v31_mechablate_no_regime_aux_path_finalbenchmark_seed123_h075fb_noregaux_20260623b,eval_router_conf05_mechablation_20260623b,validation_static_candidates.csv median subtype losses,5,1.92151900790393,5.1132277853939,1.53550872797918,0.0,0.004314204314204,1.0,1.0,4.0,1.411975549312956,1.123040693845642,971,3.907756481588501,388,1.001120408690836,1503,2.010639194708327,0.666892939032024,3,1.500524928531831,1.084973602506776,971,5.215877389708131,388,0.941471480343711,1503,2.414107490852873,0.732617423295984,3,1.487775815427994,1.077518145445385,971,5.175036874782179,388,0.934544213406162,1503,2.395699744544575,0.727157892964129,3,1.486693775410913,1.082579219679278,971,5.179566187419228,388,0.92833790278988,1503,2.396827769962795,0.726983838242177,3,1.303093226803412,1.03138510858876,971,4.078810609185819,388,0.771808759423985,1503,1.960668159066188,0.612364441900486,3,0.054528497131538,0.108882322509544,0.120252981395498,0.197431701728419,0.114793451063643,0.184682588624582,0.114619396341691,0.183600548607501,random,0.726983838242177,0.114619396341691
124,reports/v31_mechablate_no_regime_aux_path_finalbenchmark_seed124_h075fb_noregaux_20260623b,eval_router_conf05_mechablation_20260623b,validation_static_candidates.csv median subtype losses,3,2.004330619635701,6.233317013357335,0.413829886690289,0.0,0.005291005291005,1.0,1.0,4.0,1.565058357138696,1.55160277351668,1080,6.133139473007572,465,0.684264710747721,1533,2.789668985757324,1.137182198228271,3,1.61916425042773,1.558303437050846,1080,5.969675499905822,465,0.858494743940512,1533,2.795491226965726,1.269894646724924,3,1.615551051450893,1.558103625886832,1080,5.947838485369118,465,0.84984351810012,1533,2.785261876452024,1.261725235376678,3,1.646414591325993,1.56411666629698,1080,6.025336318310871,465,0.916730737518969,1533,2.835394574042273,1.320746105399215,3,1.414315518923559,1.509594901390719,1080,4.868121501963626,465,0.687542104011004,1533,2.355086169121783,1.065187704188679,3,0.071994494039592,0.150742838215137,0.204706942536246,0.204848731504171,0.196537531187999,0.201235532527335,0.255558401210536,0.232099072402434,round_robin,1.261725235376678,0.196537531187999
125,reports/v31_mechablate_no_regime_aux_path_finalbenchmark_seed125_h075fb_noregaux_20260623b,eval_router_conf05_mechablation_20260623b,validation_static_candidates.csv median subtype losses,3,2.111056086427022,5.993364718391668,1.124450705072503,0.0,0.004395604395604,1.0,1.0,4.0,1.302964546736348,0.60339200469572,1189,5.172610323027809,303,1.396393605414698,1169,2.390798644379409,0.796908659609746,3,1.352782553989073,0.620504450480649,1189,4.842755899570956,303,1.563130222649734,1169,2.342130190900446,0.830692737207579,3,1.354735301754772,0.627496471990423,1189,4.706638031076677,303,1.602635408000394,1169,2.312256637022498,0.835937251656198,3,1.35899632309156,0.624513482043631,1189,4.676599848781875,303,1.595965065055672,1169,2.299026131960393,0.831818242157691,3,1.238031827318991,0.628336388290342,1189,4.009222384726647,303,1.40907650716743,1169,2.015545093394806,0.739902863345845,3,0.057005796263901,0.064932719417357,0.090789873861733,0.114750726670081,0.096034388310353,0.116703474435781,0.091915378811846,0.120964495772569,aoi,0.830692737207579,0.090789873861733
126,reports/v31_mechablate_no_regime_aux_path_finalbenchmark_seed126_h075fb_noregaux_20260623b,eval_router_conf05_mechablation_20260623b,validation_static_candidates.csv median subtype losses,5,2.116568330499642,5.317776019273161,0.653373040070262,0.0,0.005209605209605,1.0,1.0,4.0,1.630179240918551,0.96421505831918,1478,4.359812232545821,769,1.252741540045374,900,2.192256276970125,1.06425238733587,3,1.924953738719523,0.972312513030612,1478,5.891637084136083,769,1.27188210832576,900,2.711943901830818,1.171311779597978,3,1.90759458350567,0.974362589464257,1478,5.783498412727225,769,1.291490138268305,900,2.683117046819929,1.174859690574194,3,1.92211582598884,0.969693938194596,1478,5.891555967756458,769,1.268914017064704,900,2.710054641005252,1.169380061596416,3,1.609293940607131,0.95367148879245,1478,4.447206255363395,769,1.114836260655688,900,2.171904668270511,0.997714451064245,3,0.066537936271626,0.02088530031142,0.173597328533734,0.315659798112392,0.177145239509949,0.298300642898539,0.171665610532171,0.312821885381709,random,1.169380061596416,0.171665610532171
