seed,run_dir,router_eval_dir,normalizer_source,validation_selected_static_action_idx,validation_normalizer_particle,validation_normalizer_flux,validation_normalizer_thermal,warmup_abort_count,switches_per_step,always_on_sensor_count,always_off_sensor_count,mid_duty_sensor_count,validation_selected_static_step_loss,validation_selected_static_oracle_loss_subtype_particle,validation_selected_static_steps_subtype_particle,validation_selected_static_oracle_loss_subtype_flux,validation_selected_static_steps_subtype_flux,validation_selected_static_oracle_loss_subtype_thermal,validation_selected_static_steps_subtype_thermal,validation_selected_static_oracle_loss_macro_subtype_event,validation_selected_static_oracle_loss_macro_subtype_event_validationnorm,validation_selected_static_macro_subtype_event_count,aoi_step_loss,aoi_oracle_loss_subtype_particle,aoi_steps_subtype_particle,aoi_oracle_loss_subtype_flux,aoi_steps_subtype_flux,aoi_oracle_loss_subtype_thermal,aoi_steps_subtype_thermal,aoi_oracle_loss_macro_subtype_event,aoi_oracle_loss_macro_subtype_event_validationnorm,aoi_macro_subtype_event_count,round_robin_step_loss,round_robin_oracle_loss_subtype_particle,round_robin_steps_subtype_particle,round_robin_oracle_loss_subtype_flux,round_robin_steps_subtype_flux,round_robin_oracle_loss_subtype_thermal,round_robin_steps_subtype_thermal,round_robin_oracle_loss_macro_subtype_event,round_robin_oracle_loss_macro_subtype_event_validationnorm,round_robin_macro_subtype_event_count,random_step_loss,random_oracle_loss_subtype_particle,random_steps_subtype_particle,random_oracle_loss_subtype_flux,random_steps_subtype_flux,random_oracle_loss_subtype_thermal,random_steps_subtype_thermal,random_oracle_loss_macro_subtype_event,random_oracle_loss_macro_subtype_event_validationnorm,random_macro_subtype_event_count,custom_ppo_step_loss,custom_ppo_oracle_loss_subtype_particle,custom_ppo_steps_subtype_particle,custom_ppo_oracle_loss_subtype_flux,custom_ppo_steps_subtype_flux,custom_ppo_oracle_loss_subtype_thermal,custom_ppo_steps_subtype_thermal,custom_ppo_oracle_loss_macro_subtype_event,custom_ppo_oracle_loss_macro_subtype_event_validationnorm,custom_ppo_macro_subtype_event_count,macro_margin_pdppo_vs_validation_selected_static,step_margin_pdppo_vs_validation_selected_static,macro_margin_pdppo_vs_aoi,step_margin_pdppo_vs_aoi,macro_margin_pdppo_vs_round_robin,step_margin_pdppo_vs_round_robin,macro_margin_pdppo_vs_random,step_margin_pdppo_vs_random,posthoc_best_rule_dynamic_policy,posthoc_best_rule_dynamic_macro,macro_margin_pdppo_vs_posthoc_best_rule_dynamic
117,reports/v31_mechablate_no_staticnorm_train_finalbenchmark_seed117_h075fb_nostatnormtrain_20260623b,eval_router_conf05_mechablation_20260623b,validation_static_candidates.csv median subtype losses,5,1.243590864293984,5.654697705524148,1.460166815289944,0.0,0.005942205942206,1.0,1.0,4.0,1.306070282864766,0.858787530037736,1235,4.631114441382734,316,1.398196440934479,1136,2.296032804118317,0.822371835466926,3,1.365029960608808,0.859116392878265,1235,5.671615924921971,316,1.32752147909831,1136,2.619417932299516,0.867661512219693,3,1.368465997787553,0.861233907791707,1235,5.628851709015008,316,1.365315561884568,1136,2.618467059563761,0.87433602665245,3,1.370001340103045,0.866416073617665,1235,5.614944685297676,316,1.341462778927706,1136,2.607607845947682,0.869460049078568,3,1.254806928531707,0.856973531258553,1235,4.720643794234795,316,1.219523824318509,1136,2.265713716603952,0.786375014584899,3,0.035996820882027,0.051263354333059,0.081286497634795,0.110223032077101,0.087961012067552,0.113659069255846,0.083085034493669,0.115194411571338,aoi,0.867661512219693,0.081286497634795
118,reports/v31_mechablate_no_staticnorm_train_finalbenchmark_seed118_h075fb_nostatnormtrain_20260623b,eval_router_conf05_mechablation_20260623b,validation_static_candidates.csv median subtype losses,5,1.03195015094985,8.2641941271131,1.470703757563084,0.0,0.004232804232804,1.0,1.0,4.0,1.495592823613151,0.682324562169559,999,3.604869747161865,630,1.475462008576961,1385,1.920885439302795,0.700212642239838,3,1.709393681898746,0.687077914975263,999,5.002425175148344,630,1.476104885186422,1385,2.388535991770009,0.758263645879507,3,1.691974113919969,0.680013916726495,999,4.933030497933191,630,1.472728152844772,1385,2.361924189168153,0.752417540293065,3,1.683166468726995,0.679465754082551,999,4.89322289162212,630,1.463089866056662,1385,2.345259503920444,0.748450344233915,3,1.420508979445003,0.643935007073947,999,3.59249889245109,630,1.33177349850105,1385,1.856069132675362,0.654746504811297,3,0.045466137428541,0.075083844168148,0.10351714106821,0.288884702453743,0.097671035481768,0.271465134474966,0.093703839422618,0.262657489281992,random,0.748450344233915,0.093703839422618
119,reports/v31_mechablate_no_staticnorm_train_finalbenchmark_seed119_h075fb_nostatnormtrain_20260623b,eval_router_conf05_mechablation_20260623b,validation_static_candidates.csv median subtype losses,3,1.471119052243673,6.261664297431707,0.482286984187756,0.0,0.004965404965405,1.0,1.0,4.0,1.771144770145384,1.310993428501517,876,4.857150846228587,716,0.770847009205544,1281,2.312997094645216,1.088388779727594,3,1.812154831093267,1.327414339763372,876,4.719875296234418,716,0.947696836326478,1281,2.331662157441423,1.207031794486064,3,1.826957819420841,1.328482000423026,876,4.76343947599054,716,0.962936736800352,1281,2.351619404404639,1.220125883903624,3,1.815612311963378,1.334894949289626,876,4.633511244085248,716,0.990775016827871,1281,2.319727070067582,1.233902830543313,3,1.543359518084344,1.253502793618601,876,3.616239836096098,716,0.782198486945633,1281,1.883980372220111,1.017149224960946,3,0.071239554766648,0.22778525206104,0.189882569525119,0.268795313008923,0.202976658942678,0.283598301336497,0.216753605582367,0.272252793879034,aoi,1.207031794486064,0.189882569525119
120,reports/v31_mechablate_no_staticnorm_train_finalbenchmark_seed120_h075fb_nostatnormtrain_20260623b,eval_router_conf05_mechablation_20260623b,validation_static_candidates.csv median subtype losses,5,0.769359322157278,4.224827733304766,2.006130924528198,0.0,0.004884004884005,1.0,1.0,3.0,1.419000652741033,0.947082963395275,1468,4.40615131020546,500,1.095009855823288,1414,2.149414709808008,0.939917467700013,3,1.540733649242611,0.967805113102885,1468,6.009228042244911,500,0.877026829702577,1414,2.618019995016791,1.039156729413667,3,1.534491243929551,0.94530006663554,1468,5.975618047118186,500,0.899051095033657,1414,2.606656402929128,1.030413880698099,3,1.583308400805436,0.946948500426248,1468,6.141472934484482,500,0.98011751333054,1414,2.68951298274709,1.057683593030146,3,1.273776997989444,0.907453646030714,1468,4.392235813379288,500,0.75419658087352,1414,2.01796201342784,0.865021098978229,3,0.074896368721784,0.14522365475159,0.174135630435439,0.266956651253167,0.16539278171987,0.260714245940108,0.192662494051918,0.309531402815992,round_robin,1.030413880698099,0.16539278171987
121,reports/v31_mechablate_no_staticnorm_train_finalbenchmark_seed121_h075fb_nostatnormtrain_20260623b,eval_router_conf05_mechablation_20260623b,validation_static_candidates.csv median subtype losses,5,1.80079909724557,5.751251057839729,1.052876247387035,0.0,0.003907203907204,1.0,1.0,4.0,1.56292931294638,0.808320152835687,1189,5.147826685863196,677,0.794099309111185,1282,2.250082049270023,0.69938865861833,3,1.739572649792535,0.809162197432491,1189,6.414254595469161,677,0.683751923405506,1282,2.635722905435719,0.738009445615029,3,1.747351150974737,0.81836696420432,1189,6.512685045401843,677,0.673758393255253,1282,2.668270134287139,0.74225426496767,3,1.753826276449672,0.8066952200019,1189,6.508397763069483,677,0.692721772892473,1282,2.669271585321285,0.745848980695637,3,1.462076110747603,0.817026448035824,1189,5.117170876202943,677,0.518545093537888,1282,2.150914139258885,0.61198490062344,3,0.087403757994889,0.100853202198778,0.126024544991589,0.277496539044932,0.130269364344229,0.285275040227134,0.133864080072196,0.291750165702069,aoi,0.738009445615029,0.126024544991589
122,reports/v31_mechablate_no_staticnorm_train_finalbenchmark_seed122_h075fb_nostatnormtrain_20260623b,eval_router_conf05_mechablation_20260623b,validation_static_candidates.csv median subtype losses,3,1.059290955312901,6.269872728615038,0.575811101409296,0.0,0.003256003256003,1.0,1.0,4.0,1.599697727773673,1.167810116320317,1038,5.839405351067052,515,0.382351873354167,1328,2.463189113580512,0.899270572380807,3,1.653354119666346,1.179339549719555,1038,5.583346166657012,515,0.57171989563314,1328,2.444801870669902,0.998909329312513,3,1.634382775815538,1.180057486641241,1038,5.518817406834908,515,0.58569277535159,1328,2.42818922294258,1.003793431005517,3,1.646540556747823,1.187058163394071,1038,5.620262283491857,515,0.565694766921406,1328,2.457671737935778,0.999812901999481,3,1.366745000342689,1.150881437615264,1038,3.945268329833318,515,0.402513889980177,1328,1.832887885809586,0.804914736303103,3,0.094355836077704,0.232952727430984,0.193994593009409,0.286609119323657,0.198878694702414,0.267637775472849,0.194898165696378,0.279795556405134,aoi,0.998909329312513,0.193994593009409
123,reports/v31_mechablate_no_staticnorm_train_finalbenchmark_seed123_h075fb_nostatnormtrain_20260623b,eval_router_conf05_mechablation_20260623b,validation_static_candidates.csv median subtype losses,5,1.901457155397974,5.127244249290349,1.439390935534538,0.0,0.004151404151404,1.0,1.0,4.0,1.415675501570149,1.113729857088639,971,4.016784735561646,388,0.99363132783832,1503,2.041381973496202,0.686485982792114,3,1.507690825709688,1.088772114609914,971,5.206551397507338,388,0.955233537792138,1503,2.416852349969797,0.750567974642297,3,1.4971304862338,1.081036407001754,971,5.174137295675032,388,0.954443003833591,1503,2.403205568836793,0.746921490110414,3,1.506433920850213,1.086421444843284,971,5.214190150659109,388,0.957824043401642,1503,2.419478546301345,0.751252412293176,3,1.341544212400549,1.029913988037286,971,4.406842150178152,388,0.787564342827874,1503,2.074773493681104,0.649430321321655,3,0.037055661470458,0.0741312891696,0.101137653320642,0.166146613309138,0.097491168788759,0.155586273833251,0.101822090971521,0.164889708449664,round_robin,0.746921490110414,0.097491168788759
124,reports/v31_mechablate_no_staticnorm_train_finalbenchmark_seed124_h075fb_nostatnormtrain_20260623b,eval_router_conf05_mechablation_20260623b,validation_static_candidates.csv median subtype losses,3,2.018245205218724,6.271441330744037,0.411715644177328,0.0,0.005046805046805,1.0,1.0,4.0,1.570161576369628,1.572083453997901,1080,6.113842863261059,465,0.684660954839524,1533,2.790195757366161,1.138917477703941,3,1.617887076367424,1.580150506381566,1080,5.945106713618002,465,0.8392994143409,1533,2.788185544780156,1.256479770222899,3,1.608012936726027,1.569729052616835,1080,5.914029660148005,465,0.828256899917429,1533,2.770671870894089,1.244166543331906,3,1.64803262411715,1.588590252089004,1080,6.023202636581595,465,0.891917178649103,1533,2.8345700224399,1.304624963123804,3,1.382527986630976,1.52359491506488,1080,4.468187988188959,465,0.706762183095533,1533,2.232848362116457,1.061334523702734,3,0.077582954001207,0.187633589738653,0.195145246520165,0.235359089736448,0.182832019629172,0.225484950095051,0.243290439421069,0.265504637486174,round_robin,1.244166543331906,0.182832019629172
125,reports/v31_mechablate_no_staticnorm_train_finalbenchmark_seed125_h075fb_nostatnormtrain_20260623b,eval_router_conf05_mechablation_20260623b,validation_static_candidates.csv median subtype losses,5,2.086343805181734,5.969288684315417,1.300680488758352,0.0,0.005128205128205,1.0,1.0,4.0,1.301927904239164,0.604591906258697,1189,3.444895037330023,303,1.764094395994808,1169,1.937860446527843,0.741058070168845,3,1.362570608893748,0.619528952114992,1189,4.883707465118308,303,1.593689106454176,1169,2.365641841229158,0.78011901988964,3,1.352889959477579,0.616440947218489,1189,4.742520752519664,303,1.628925896400285,1169,2.329295865379479,0.780771938181789,3,1.363125570296234,0.621244307674775,1189,4.699857657892083,303,1.63208855564608,1169,2.317730173737646,0.779967514711779,3,1.233192361850797,0.621634547934688,1189,3.674070068318458,303,1.49320847258112,1169,1.929637696278089,0.687156818633516,3,0.053901251535329,0.068735542388367,0.092962201256124,0.129378247042951,0.093615119548273,0.119697597626782,0.092810696078263,0.129933208445436,random,0.779967514711779,0.092810696078263
126,reports/v31_mechablate_no_staticnorm_train_finalbenchmark_seed126_h075fb_nostatnormtrain_20260623b,eval_router_conf05_mechablation_20260623b,validation_static_candidates.csv median subtype losses,5,2.103220212128818,5.35921685433104,0.613461687689341,0.0,0.004721204721205,1.0,1.0,4.0,1.62727614464211,0.959916614176244,1478,4.335340616916959,769,1.270348835045265,900,2.188535355379489,1.112047083622874,3,1.949643634006861,0.961356577298356,1478,5.927515822400973,769,1.379466350579427,900,2.756112916759586,1.270596229111582,3,1.942584633509796,0.964256712380439,1478,5.881319539599673,769,1.389087308641109,900,2.744887853540407,1.273410227755694,3,1.953626173207794,0.961227350694371,1478,5.997696317916419,769,1.339466196675267,900,2.766129955095352,1.253206179224646,3,1.589922150018083,0.946778090866043,1478,4.462432444173121,769,1.053092944746216,900,2.15410115992846,0.999820523482735,3,0.112226560140138,0.037353994624027,0.270775705628847,0.359721483988778,0.273589704272959,0.352662483491713,0.253385655741911,0.363704023189712,random,1.253206179224646,0.253385655741911
