step,loss,policy_loss,value_loss,entropy_mean,awbc_loss,prior_kl_loss,soc_aux_loss,subtype_aux_loss,subtype_aux_accuracy,advantage_mean,advantage_std,event_rate,awbc_label_rate,greedy_unique_actions,bc_pretrain,bc_steps,bc_accuracy,forecast_weighted_mae_overall,reward_mean
0,2.75343304798007,,,2.8782322138547896,2.75343304798007,,,0.0,,,,0.0,1.0,22,1,4096,0.2076904296875,,
1024,23.336423434317112,-0.025401089864317328,46.83107466995716,2.6856357492506504,0.0,0.0,0.0,0.0,,-9.951286315917969,3.143341064453125,0.0,0.0,22,0,0,,,
2048,104.11059665679932,-0.025545656098984182,208.3800140619278,2.69327499717474,0.0,0.0,0.0,0.0,,-9.538990020751953,12.934488296508789,0.0,0.0,22,0,0,,,
3072,38.97641399502754,-0.02246990228013601,78.09876263141632,2.524869415909052,0.0,0.0,0.0,0.0,,-9.690998077392578,3.4691972732543945,0.0,0.0,22,0,0,,,
4096,7.058253534138203,-0.02288790515740402,14.269699424505234,2.6854116432368755,0.0,0.0,0.0,0.0,,-3.547205924987793,4.276010990142822,0.0,0.0,22,0,0,,,
5120,20.54726281762123,-0.017675199982477352,41.24368867278099,2.8453191220760345,0.0,0.0,0.0,0.0,,-5.848869323730469,6.723050117492676,0.0,0.0,22,0,0,,,
6144,19.47374863922596,-0.02375677030067891,39.10377222299576,2.7190287560224533,0.0,0.0,0.0,0.0,,-5.393404960632324,4.8159990310668945,0.0,0.0,22,0,0,,,
7168,61.30481165647507,-0.01803565064619761,122.7550356388092,2.733527708798647,0.0,0.0,0.0,0.0,,-6.689565658569336,9.847197532653809,0.0,0.0,22,0,0,,,
8192,149.807569116354,-0.022770919516915455,299.76906502246857,2.7096346504986286,0.0,0.0,0.0,0.0,,-6.107910633087158,16.606111526489258,0.0,0.0,22,0,0,,,
9216,8.303831841796637,-0.02471057148068212,16.768074825406075,2.774750366806984,0.0,0.0,0.0,0.0,,-1.2969744205474854,4.469130039215088,0.0,0.0,22,0,0,,,
10240,34.84117302298546,-0.025773304703761823,69.83727884292603,2.5846577249467373,0.0,0.0,0.0,0.0,,-6.564940452575684,6.394951820373535,0.0,0.0,22,0,0,,,
11264,23.71288837492466,-0.023588519499753602,47.58299392461777,2.7510011978447437,0.0,0.0,0.0,0.0,,-3.177584171295166,7.144575119018555,0.0,0.0,22,0,0,,,
12288,24.14231178164482,-0.019266014569438994,48.43320223689079,2.7511702738702297,0.0,0.0,0.0,0.0,,-1.7778453826904297,8.153072357177734,0.0,0.0,22,0,0,,,
13312,246.2699773311615,-0.020175918616587296,492.6878662109375,2.6889797300100327,0.0,0.0,0.0,0.0,,-11.093213081359863,19.992944717407227,0.0,0.0,22,0,0,,,
14336,19.75688862800598,-0.019670168170705438,39.65929076075554,2.6543295606970787,0.0,0.0,0.0,0.0,,-3.382875919342041,7.00245475769043,0.0,0.0,22,0,0,,,
15360,32.95350822806358,-0.01960649708053097,66.05368000268936,2.6862729266285896,0.0,0.0,0.0,0.0,,-3.6819982528686523,8.111997604370117,0.0,0.0,22,0,0,,,
16384,18.76087699085474,-0.017794208528357558,37.65807697176933,2.518364083021879,0.0,0.0,0.0,0.0,,-1.4647798538208008,7.517754554748535,0.0,0.0,22,0,0,,,
17408,100.93694561719894,-0.01774525643850211,202.01406383514404,2.6170207411050797,0.0,0.0,0.0,0.0,,-4.9683661460876465,14.6962251663208,0.0,0.0,22,0,0,,,
18432,22.452421218156815,-0.027045907379942946,45.06141075491905,2.5619048587977886,0.0,0.0,0.0,0.0,,-0.5288021564483643,8.833817481994629,0.0,0.0,22,0,0,,,
19456,57.287012219429016,-0.019773547683143988,114.71881771087646,2.631149794906378,0.0,0.0,0.0,0.0,,-1.8924059867858887,11.91877269744873,0.0,0.0,22,0,0,,,
20480,17.308600060641766,-0.02026207448216155,34.7580901235342,2.5091407746076584,0.0,0.0,0.0,0.0,,-0.9392611384391785,8.324153900146484,0.0,0.0,22,0,0,,,
21504,31.168161928653717,-0.023497863090597093,62.48872572183609,2.635152857750654,0.0,0.0,0.0,0.0,,-2.0932936668395996,11.010934829711914,0.0,0.0,22,0,0,,,
22528,110.50872173905373,-0.020730262389406562,221.16415244340897,2.6311953850090504,0.0,0.0,0.0,0.0,,-5.1729655265808105,16.05883026123047,0.0,0.0,22,0,0,,,
23552,18.241159930825233,-0.014415743549761828,36.61495439708233,2.5950713120400906,0.0,0.0,0.0,0.0,,-1.9070312976837158,7.72257137298584,0.0,0.0,22,0,0,,,
24576,59.844682455062866,-0.014972004282753915,119.82299184799194,2.592074155807495,0.0,0.0,0.0,0.0,,-4.737216949462891,12.592616081237793,0.0,0.0,22,0,0,,,
25600,10.720663065090775,-0.02534728846512735,21.59710806980729,2.627180378884077,0.0,0.0,0.0,0.0,,1.9228925704956055,7.933462142944336,0.0,0.0,22,0,0,,,
26624,18.42334220558405,-0.017230143974302337,36.989716216921806,2.7142816931009293,0.0,0.0,0.0,0.0,,2.0923209190368652,8.81153678894043,0.0,0.0,22,0,0,,,
27648,5.6947107531595975,-0.023257832996023353,11.534485255368054,2.463702008128166,0.0,0.0,0.0,0.0,,3.921116590499878,6.324881553649902,0.0,0.0,22,0,0,,,
28672,48.22952902317047,-0.019847232033498585,96.60512763261795,2.6593606024980545,0.0,0.0,0.0,0.0,,-3.2988173961639404,12.823241233825684,0.0,0.0,22,0,0,,,
29696,26.501470021903515,-0.021750701911514625,53.1508317142725,2.609759356826544,0.0,0.0,0.0,0.0,,-1.5957114696502686,11.34514045715332,0.0,0.0,22,0,0,,,
30720,17.285873875021935,-0.022765245201298967,34.72282683849335,2.63871443644166,0.0,0.0,0.0,0.0,,-1.5595585107803345,9.716609001159668,0.0,0.0,22,0,0,,,
31744,33.26148720085621,-0.019566753348044585,66.66645196080208,2.6086006350815296,0.0,0.0,0.0,0.0,,-0.9946905374526978,11.837250709533691,0.0,0.0,22,0,0,,,
32768,15.936521688476205,-0.020075242675375193,32.01601829379797,2.570608627051115,0.0,0.0,0.0,0.0,,0.3365863561630249,9.558055877685547,0.0,0.0,22,0,0,,,
33792,11.30382252112031,-0.020970157609554008,22.754120644181967,2.613389391452074,0.0,0.0,0.0,0.0,,1.7267680168151855,8.868138313293457,0.0,0.0,22,0,0,,,
34816,44.438511818647385,-0.019966822481364943,89.02408790588379,2.6782741136848927,0.0,0.0,0.0,0.0,,-2.0373787879943848,12.74899959564209,0.0,0.0,22,0,0,,,
35840,26.425366934388876,-0.018887144353357144,52.997289054095745,2.719530913978815,0.0,0.0,0.0,0.0,,-0.8423925042152405,11.378454208374023,0.0,0.0,22,0,0,,,
36864,8.284372790716588,-0.021460326883243397,16.717808950692415,2.653569772839546,0.0,0.0,0.0,0.0,,1.5457712411880493,8.576521873474121,0.0,0.0,22,0,0,,,
37888,10.088989679235965,-0.016867276208358817,20.31288299523294,2.529226042330265,0.0,0.0,0.0,0.0,,3.4166510105133057,8.690214157104492,0.0,0.0,22,0,0,,,
38912,14.826522629708052,-0.02163005931652151,29.80680611729622,2.7625194117426872,0.0,0.0,0.0,0.0,,-0.5805131196975708,9.22488021850586,0.0,0.0,22,0,0,,,
39936,7.56920628156513,-0.01932309979747515,15.289472874253988,2.8103513047099113,0.0,0.0,0.0,0.0,,0.16989004611968994,7.439081192016602,0.0,0.0,22,0,0,,,
40960,20.889017656445503,-0.0255838927696459,41.94345839321613,2.856390755623579,0.0,0.0,0.0,0.0,,-4.163883209228516,9.960926055908203,0.0,0.0,22,0,0,,,
