baseline_family,seed_count,ordinary_wins,macro_wins,ordinary_mean_margin,macro_mean_margin
static,4,0,0,-0.04697616081405892,-0.11635648540922933
dynamic,4,3,3,0.008118440889867948,0.02538173696995666
full_open,4,1,1,-0.013675125384724318,-0.031763267930942696
