seed,quality_ordinary_margin_vs_static,quality_macro_margin_vs_static,receding_ordinary_margin_vs_static,receding_macro_margin_vs_static,receding_action_coverage,receding_always_on,receding_always_off,receding_mid_duty,receding_switches_per_step,receding_warmup_aborts,receding_expected_mid_duty
3701,-0.0036391041293327153,-0.013991114093418577,0.059313084749091,0.12483743573896877,22,0,0,6,0.0551215277777777,0,6
3702,0.0027685534732881933,0.009661727151154098,0.050399972125887926,0.18499367936968503,22,0,0,6,0.0540364583333333,0,6
3703,-0.010394166760508694,-0.03325171589457687,0.015827480519268106,0.07836540429987571,22,0,0,6,0.0500578703703703,0,6
3704,0.011998863108197422,0.04880143938492876,0.06241843605595132,0.18038803721325758,22,0,0,6,0.0544704861111111,0,6
3705,-0.002449807982581431,-0.01071604152537553,0.027607538055033493,0.07008216516836296,22,0,0,6,0.0541087962962962,0,6
