policy,steps,reward_mean,instant_mae,oracle_loss_mean,dtw_mean,power_mean,peak_power_max,event_rate,warmup_abort_count,switches_per_step,always_on_sensor_count,always_off_sensor_count,mid_duty_sensor_count,duty_entropy,duty_min,duty_max,duty_std,oracle_loss_event,oracle_loss_non_event,oracle_loss_subtype_particle,steps_subtype_particle,oracle_loss_subtype_flux,steps_subtype_flux,oracle_loss_subtype_thermal,steps_subtype_thermal,oracle_loss_macro_subtype_event,macro_subtype_event_count,oracle_loss_subtype_particle_staticnorm,oracle_loss_subtype_flux_staticnorm,oracle_loss_subtype_thermal_staticnorm,oracle_loss_macro_subtype_event_staticnorm
custom_ppo,2304,-0.32962952791789496,18.69255107783383,0.3296026181956727,13.030494180968942,1.6111111111111112,2.0,0.4796006944444444,0,0.0121580547112462,1,1,4,0.613753800095479,0.0,1.0,0.31792813703585715,0.44937366785574284,0.2192214590010293,,0,0.6279803556867286,566,0.261820077294819,539,0.4449002164907738,2,,0.8465108403532712,0.8519334976980848,0.849222169025678
full_open_unconstrained,2304,-0.3393543414219748,1.4894840694258138,0.3393491330886415,1.4363064021776144,3.4400000000000004,4.22,0.4796006944444444,0,0.0,6,0,0,-0.0,1.0,1.0,0.0,0.4650859464280206,0.22346991812616115,,0,0.6375419993493245,566,0.28399109308208736,539,0.46076654621570595,2,,0.8593998343141275,0.924075524475879,0.8917376793950033
validation_selected_static,2304,-0.3422199761629778,3.4220160140165827,0.3422173719963111,3.375475545783003,1.7200000000000002,2.12,0.4796006944444444,0,0.0,3,3,0,-0.0,0.0,1.0,0.5,0.46099017853785423,0.23275619499180294,,0,0.6287484485326934,566,0.2848284330516224,539,0.4567884407921579,2,,0.8475462213403022,0.9268001358822272,0.8871731786112647
random,2304,-0.36088870180188676,4.111063638101472,0.36071943096855347,2.66116028910166,1.6270833333333334,2.12,0.4796006944444444,0,0.08409321175278622,0,0,6,0.977164224528283,0.3489583333333333,0.5833333333333334,0.08654583542013258,0.4929401534377719,0.2388646366995906,,0,0.6660629144669,566,0.3111451947318601,539,0.48860405459938006,2,,0.8978457245481002,1.0124319600646252,0.9551388423063627
aoi,2304,-0.36530083148520337,3.738394167652487,0.36497531065187006,2.356919836412319,1.7074999999999998,2.12,0.4796006944444444,0,0.16297582862932405,0,0,6,0.9996477221810774,0.484375,0.515625,0.010737254233379324,0.49271866803255554,0.2472468620232983,,0,0.6648437272322893,566,0.31197138879869774,539,0.4884075580154935,2,,0.8962022731229523,1.0151203039395902,0.9556612885312712
feasible_static_projected,2304,-0.3664683811976704,2.176392697618272,0.3664657770310037,2.143290262407769,1.54,1.8399999999999999,0.4796006944444444,0,0.0,3,3,0,-0.0,0.0,1.0,0.5,0.5289779663389355,0.216694326501175,,0,0.6699965212151882,566,0.38089540222027307,539,0.5254459617177306,2,,0.9031481846074938,1.2393914004739979,1.071269792540746
round_robin,2304,-0.380683500492014,7.75985039383631,0.3805706532697918,3.9743902831507545,1.4805208333333333,1.8599999999999999,0.4796006944444444,0,0.056954696772325945,0,0,6,0.9686728512078564,0.3697916666666667,0.6119791666666666,0.08115390989676119,0.5053741053555886,0.2655516252841325,,0,0.6744980955950574,566,0.3277782269223059,539,0.5011381612586816,2,,0.9092162589934334,1.0665540023378584,0.9878851306656459
