policy,calm,particle,flux,thermal,threshold,action_source,lookahead_steps
context_alert_bandit_t0p35,0,19,29,12,0.35,continuity_guarded,
context_alert_bandit_t0p5,0,19,29,12,0.5,continuity_guarded,
event_label_reference_l8,0,19,29,12,,continuity_guarded,8.0
