policy,steps,reward_mean,instant_mae,oracle_loss_mean,dtw_mean,power_mean,peak_power_max,event_rate,warmup_abort_count,switches_per_step,always_on_sensor_count,always_off_sensor_count,mid_duty_sensor_count,duty_entropy,duty_min,duty_max,duty_std,oracle_loss_event,oracle_loss_non_event,oracle_loss_subtype_particle,steps_subtype_particle,oracle_loss_subtype_flux,steps_subtype_flux,oracle_loss_subtype_thermal,steps_subtype_thermal,oracle_loss_macro_subtype_event,macro_subtype_event_count,oracle_loss_subtype_particle_staticnorm,oracle_loss_subtype_flux_staticnorm,oracle_loss_subtype_thermal_staticnorm,oracle_loss_macro_subtype_event_staticnorm
full_open_unconstrained,2304,-0.5075008404115733,1.469794437443976,0.5074956320782399,1.419708715850494,3.4400000000000004,4.22,0.7078993055555556,0,0.0,6,0,0,-0.0,1.0,1.0,0.0,0.606914541162756,0.26655619564904853,0.9235302841806986,166,0.7584571337906046,824,0.33011374605148336,641,0.6707003880075956,3,0.9456420346345126,1.2316712347726089,0.9563523458011087,1.04455520506941
random,2304,-0.5386993232092354,6.093030551006068,0.5385196357092354,3.1546812739046244,1.6402604166666666,2.12,0.7078993055555556,0,0.09002750036184685,0,0,6,0.9751881073666957,0.3411458333333333,0.5963541666666666,0.09086016741756613,0.647441627806056,0.27454969646716365,1.0236686227551426,166,0.8224066079241558,824,0.3250940072462079,641,0.7237230793085021,3,1.0481779491101972,1.3355198562174107,0.9418099674871038,1.1085025909382373
aoi,2304,-0.5632687649663745,3.6640835997087717,0.5629432441330411,2.446953345080622,1.7074999999999998,2.12,0.7078993055555556,0,0.16297582862932405,0,0,6,0.9996477221810774,0.484375,0.515625,0.010737254233379324,0.6784220304657608,0.28308306507113074,1.1001124918819911,166,0.8735906049898527,824,0.31832917242684344,641,0.7640107564328957,3,1.1264520860547995,1.4186384057805679,0.9222119782308574,1.155767490022075
round_robin,2304,-0.5700927482564778,7.995106730669227,0.5699799010342557,4.578677376264625,1.4805208333333333,1.8599999999999999,0.7078993055555556,0,0.056954696772325945,0,0,6,0.9686728512078564,0.3697916666666667,0.6119791666666666,0.08115390989676119,0.6868282764154223,0.2868005544567179,1.048562024731234,166,0.8662022415693235,824,0.3625662647036606,641,0.759110177001406,3,1.0736673647762243,1.406640318754038,1.050368552976328,1.1768920788355302
custom_ppo,2304,-0.5703615526784712,3.8579324044461405,0.5703080225858785,3.555890417838185,1.6804427083333335,2.12,0.7078993055555556,0,0.02619771312780431,0,0,4,0.6267653507395581,0.022135416666666668,0.9739583333333334,0.3256950729666505,0.6915069467529134,0.2765852212241642,1.16755632508591,166,0.8401518702977201,824,0.37714249464027966,641,0.7949502300079699,3,1.1955107024823965,1.364336684809659,1.0925964573261455,1.2174812815394003
validation_selected_static,2304,-0.5723926594214669,2.2180316759997614,0.5723900552548002,2.155315306950939,1.7200000000000002,2.1,0.7078993055555556,0,0.0,3,3,0,-0.0,0.0,1.0,0.5,0.6896877131903925,0.2881218827541303,0.9401148171669029,166,0.8120597882413314,824,0.46752626373317796,641,0.7399002897138041,3,0.9626236450756368,1.318717482547296,1.354441747406427,1.2119276250097866
feasible_static_projected,2304,-0.6019299720820401,2.315745969535382,0.6019273679153735,2.2821100867711177,1.54,1.8399999999999999,0.7078993055555556,0,0.0,3,3,0,-0.0,0.0,1.0,0.5,0.7326727197771055,0.2850690189012801,1.2315732658986587,166,0.8446831228121102,824,0.4594838543215334,641,0.8452467476774341,3,1.2610603776778881,1.371695061612805,1.3311425749281027,1.3212993380729319
