update,timesteps,oracle_loss_mean,oracle_loss_macro_subtype_event,oracle_loss_macro_subtype_event_staticnorm,selection_score_name,selection_score,validation_scene_count,ordinary_static_ratio_mean,macro_static_ratio_mean,behavior_failure_count,behavior_valid_scene_count
0,0,0.5932178922812454,,0.9838485901307035,oracle_loss_mean,0.5932178922812454,1,1.1072830301306618,1.1309478661775758,0,1
5,5120,0.5812444180385986,,1.0798881972258352,oracle_loss_mean,0.5812444180385986,1,1.0849336960780338,1.2413467525533162,0,1
10,10240,0.5956005172993173,,0.977704329707297,oracle_loss_mean,0.5956005172993173,1,1.1117303677514645,1.1238849519397582,0,1
15,15360,0.6006058915057414,,1.0085691864434425,oracle_loss_mean,0.6006058915057414,1,1.121073251690642,1.1593645411934086,0,1
20,20480,0.5607107657900391,,0.9409179790482382,oracle_loss_mean,0.5607107657900391,1,1.0466061861069509,1.0815985216905715,0,1
25,25600,0.5909874572680565,,0.9706770624900103,oracle_loss_mean,0.5909874572680565,1,1.1031197658865306,1.1158070089064769,0,1
30,30720,0.5872653409702858,,0.9580721718175651,oracle_loss_mean,0.5872653409702858,1,1.096172173330202,1.1013175088427427,0,1
35,35840,0.5933290144773006,,0.9972833476677009,oracle_loss_mean,0.5933290144773006,1,1.1074904475460225,1.1463913099366017,0,1
40,40960,0.6108661913943555,,1.07305888793259,oracle_loss_mean,0.6108661913943555,1,1.1402248249970783,1.2334963649528865,0,1
45,46080,0.6092831012307821,,1.0425739668688347,oracle_loss_mean,0.6092831012307821,1,1.1372698755660176,1.1984535171270176,0,1
49,50176,0.5862026261092979,,0.98335425215173,oracle_loss_mean,0.5862026261092979,1,1.0941885410986882,1.1303796176807046,0,1
