policy,calm,particle,flux,thermal,threshold,action_source,lookahead_steps
context_alert_bandit_t0p35,8,17,8,12,0.35,validation,
context_alert_bandit_t0p5,8,17,8,12,0.5,validation,
event_label_reference_l8,8,17,8,12,,validation,8.0
