policy,calm,particle,flux,thermal,threshold,action_source,lookahead_steps
context_alert_bandit_t0p35,34,19,6,14,0.35,validation,
context_alert_bandit_t0p5,34,19,6,14,0.5,validation,
event_label_reference_l8,34,19,6,14,,validation,8.0
