scene_seed,policy,oracle_loss_mean,teacher_margin_vs_policy
6811,receding_oracle_l4,0.3133905665260196,0.0
6811,validation_selected_static,0.35892061877045,0.04553005224443041
6811,feasible_static_projected,0.4071933727132596,0.09380280618724002
6811,aoi,0.3874421099204078,0.07405154339438819
6811,random,0.4142250249731458,0.10083445844712619
6811,round_robin,0.414650586737682,0.10126002021166242
6812,receding_oracle_l4,0.4100147823532586,0.0
6812,validation_selected_static,0.5067237049868534,0.09670892263359476
6812,feasible_static_projected,0.5067237049868534,0.09670892263359476
6812,aoi,0.524336472658349,0.11432169030509043
6812,random,0.5325272581109367,0.1225124757576781
6812,round_robin,0.5427900921170007,0.13277530976374208
