policy,calm,particle,flux,thermal,threshold,action_source
context_alert_bandit_t0p35,0,19,0,12,0.35,validation
context_alert_bandit_t0p4,0,19,0,12,0.4,validation
context_alert_bandit_t0p45,0,19,0,12,0.45,validation
context_alert_bandit_t0p5,0,19,0,12,0.5,validation
context_alert_bandit_t0p55,0,19,0,12,0.55,validation
context_alert_bandit_t0p6,0,19,0,12,0.6,validation
