seed,ordinary_margin_vs_selected_static,macro_margin_vs_selected_static,ordinary_margin_vs_feasible_static,ordinary_margin_vs_best_dynamic,best_dynamic,always_on,always_off,mid_duty,switches_per_step,warmup_aborts,selected_update,particle_margin_staticnorm,flux_margin_staticnorm,thermal_margin_staticnorm
1401,-0.02917391081508769,-0.20250659052835285,-0.02483181238575427,-0.0042379321174748075,aoi,0,0,5,0.0237371544362425,0,15,-0.39436960156225087,0.02335118347614007,-0.23650135349894774
1402,0.06207733822844197,0.1322249788948171,0.0617951137990328,0.06290707213338464,aoi,0,0,6,0.0140396584165581,0,20,0.03354250261832614,0.301807369978645,0.06132506408748051
1403,0.02192704986211741,0.002811953575846071,0.03399193637758591,0.03472202191672591,aoi,0,0,6,0.0405268490374873,0,20,-0.09746980668298377,0.035962811914270976,0.0699428554962509
1404,-0.012240007066995684,-0.014890964935215356,0.009770299686351791,0.05199593663888258,round_robin,0,0,5,0.0240266319293674,0,10,0.05397806454007137,0.02943965043534935,-0.12809060978106612
1405,0.050310817980466216,0.13263579527406644,0.0949717810856075,0.046903158146758606,aoi,0,0,6,0.0357504704009263,0,20,0.02117559153679105,0.024424735933118003,0.35230705835228926
1406,0.04722575767987619,0.2518530944477335,0.04722575767987619,0.04115110948138562,round_robin,0,0,4,0.0217108119843682,0,15,0.4121087230466399,0.09402374777650069,0.24942681252005994
1407,-0.00613004311000831,-0.02996006130635731,0.022585557595852512,0.025701024905881886,aoi,0,1,3,0.0108554059921841,0,5,0.05224000460449474,0.052203088394744745,-0.1943232769183112
1408,0.02070517194483218,0.10799169188265867,0.026800791341682118,0.020965792313088816,aoi,0,0,6,0.0340136054421768,0,10,-0.05360198339038025,0.004652491367827638,0.3729245676705284
1409,0.05911353358533228,0.09281430736056562,0.05457130982863917,0.07305030132475726,random,0,0,6,0.0340136054421768,0,20,,0.1619606995266425,0.023667915194488187
1410,0.0732458656905996,0.35167533689078456,0.06083366011605701,0.05119172685145823,aoi,0,0,6,0.039803155304675,0,10,,-0.007160813247904629,0.7105114870294735
1411,0.017378447881330583,-0.09244214168366383,0.041598819480795024,0.07436282483912593,aoi,0,1,5,0.0277898393399913,0,10,-0.44714250737888794,-0.07135848573586157,0.2411745680637586
1412,-0.002038823259580491,-0.004588408495820984,0.012073870528385877,0.04612165525516809,random,0,1,5,0.0402373715443624,0,10,0.013724100431468655,0.0784967542518269,-0.10598608017075883
1413,-0.13288752954556715,-0.1345623144105178,-0.08412815289274378,-0.06269909381969935,aoi,0,0,4,0.0217108119843682,0,15,0.05122016156844633,-0.2535237550248042,-0.20138334977519534
1414,-0.011972104163659347,-0.07415098837935397,0.07687969976945574,0.09668873300931102,random,0,0,5,0.0321320017368649,0,20,-0.3037476667490834,-0.12006160462353199,0.2013563062345528
1415,-0.027284258661287142,-0.13468326310133993,0.11962852160892612,0.05973176352725007,random,0,0,3,0.0088290635403097,0,5,,-0.011153810257110819,-0.2582127159455687
1416,0.02851888481786269,0.12206095267203165,0.03958249610796993,0.06356447217533262,aoi,0,1,4,0.0257634968881169,0,10,0.11496969167028093,-0.03602262800289857,0.2872357943487126
1417,0.022038990623615196,0.06387326603609722,0.019165505989803988,0.036280026402285614,aoi,0,0,6,0.0373425966131133,0,20,0.005342458025430541,0.014627391761171227,0.17164994832168956
1418,0.03271063123570961,0.0012228894471288942,-0.0018578429395953444,0.054085778693358066,round_robin,0,1,3,0.0170791720943696,0,15,-0.1713215059122637,-0.05797028301424856,0.23296045726789893
1419,-0.0234865907679907,-0.039285842265180615,0.03332017652670999,0.012273766764944072,aoi,0,0,6,0.0403821102909248,0,5,0.05361347371289493,0.004981388950434651,-0.17645238945887165
1420,0.09608316919507665,-0.0862121951523025,-0.0482789742753893,-0.0029756388911563736,aoi,0,0,6,0.0248950644087422,0,15,-0.33450940725069755,-0.012601816178094305,0.08847463797188415
1421,0.02127526057625395,0.09367867103534011,0.019805729993903565,0.05543341351504849,aoi,0,1,5,0.0256187581415544,0,15,-0.07058352079344354,0.34174597325216505,0.009873560647298385
1422,0.07874919362075156,0.10234674311747483,0.12012293899735799,0.05984987382382517,aoi,0,0,6,0.0259082356346794,0,5,-0.0899044762550616,0.16785038807563846,0.2290943175318474
1423,0.04562284329505123,0.07983391825108366,0.05089569052345022,0.018583724090907083,aoi,0,0,5,0.0367636416268635,0,10,-0.057728758050460405,0.084382106782382,0.21284840602133026
1424,-0.002835003256526192,0.08562102974301355,0.02747011184530701,0.03535905020382624,aoi,0,1,5,0.030250398031553,0,20,0.37219638053138127,0.013900936002269493,-0.12923422730460998
