policy,calm,particle,flux,thermal,threshold,action_source
context_alert_bandit_t0p35,8,17,8,12,0.35,validation
context_alert_bandit_t0p4,8,17,8,12,0.4,validation
context_alert_bandit_t0p45,8,17,8,12,0.45,validation
context_alert_bandit_t0p5,8,17,8,12,0.5,validation
context_alert_bandit_t0p55,8,17,8,12,0.55,validation
context_alert_bandit_t0p6,8,17,8,12,0.6,validation
