update,timesteps,oracle_loss_mean,oracle_loss_macro_subtype_event,oracle_loss_macro_subtype_event_staticnorm,selection_score_name,selection_score
0,0,0.38535723473372246,0.6059311766938039,1.1856467199368101,oracle_loss_mean,0.38535723473372246
5,5120,0.37789902394191205,0.5895546694726799,1.099476268884204,oracle_loss_mean,0.37789902394191205
10,10240,0.38366375608408515,0.5796702459148871,1.1732106963081372,oracle_loss_mean,0.38366375608408515
15,15360,0.39315670967819943,0.6438429664804158,1.3318580126954227,oracle_loss_mean,0.39315670967819943
20,20480,0.3923902483074926,0.6669412627881295,1.3700178914907652,oracle_loss_mean,0.3923902483074926
25,25600,0.39313568789414904,0.6040321798861763,1.055124128114418,oracle_loss_mean,0.39313568789414904
30,30720,0.42853213533817325,0.6851060421483243,1.2480630595084137,oracle_loss_mean,0.42853213533817325
35,35840,0.37013600001713104,0.5888688275288766,1.0927338018261203,oracle_loss_mean,0.37013600001713104
40,40960,0.389719401136972,0.6072744911682685,1.126876352847806,oracle_loss_mean,0.389719401136972
