step,loss,policy_loss,value_loss,entropy_mean,awbc_loss,prior_kl_loss,soc_aux_loss,subtype_aux_loss,subtype_aux_accuracy,advantage_mean,advantage_std,event_rate,awbc_label_rate,greedy_unique_actions,bc_pretrain,bc_steps,bc_accuracy,forecast_weighted_mae_overall,reward_mean
0,2.75343304798007,,,2.8782322138547896,2.75343304798007,,,0.0,,,,0.0,1.0,22,1,4096,0.2076904296875,,
1024,27.14098235964775,-0.022015347698470578,54.434359312057495,2.7091019451618195,0.0,0.0,0.0,0.0,,-10.170209884643555,4.0493950843811035,0.0,0.0,22,0,0,,,
2048,115.62952357530594,-0.01722775964299217,231.40180039405823,2.707431234419346,0.0,0.0,0.0,0.0,,-10.085580825805664,13.044681549072266,0.0,0.0,22,0,0,,,
3072,29.083542317152023,-0.017517776737804525,58.3096182346344,2.6874438747763634,0.0,0.0,0.0,0.0,,-8.995052337646484,3.7105355262756348,0.0,0.0,22,0,0,,,
4096,7.522448055446148,-0.014050544719793834,15.181046180427074,2.7012261003255844,0.0,0.0,0.0,0.0,,-3.475036144256592,4.5579681396484375,0.0,0.0,22,0,0,,,
5120,26.804631263017654,-0.0176085896382574,53.75633606314659,2.7964118905365467,0.0,0.0,0.0,0.0,,-5.708160877227783,6.693386077880859,0.0,0.0,22,0,0,,,
6144,17.526154696941376,-0.0214001441054279,35.206159979104996,2.776257745921612,0.0,0.0,0.0,0.0,,-5.397277355194092,4.258079528808594,0.0,0.0,22,0,0,,,
7168,48.08413624763489,-0.025458797405008227,96.33001363277435,2.7705856822431087,0.0,0.0,0.0,0.0,,-5.342759609222412,9.095088958740234,0.0,0.0,22,0,0,,,
8192,168.65617802739143,-0.02542368344438728,337.47672641277313,2.8380351029336452,0.0,0.0,0.0,0.0,,-6.599900245666504,17.56290626525879,0.0,0.0,22,0,0,,,
9216,10.590722881257534,-0.021735825284849852,21.336255490779877,2.783453717827797,0.0,0.0,0.0,0.0,,-1.2535139322280884,4.618783473968506,0.0,0.0,22,0,0,,,
10240,43.83190789818764,-0.02114474808331579,87.81616187095642,2.751408614218235,0.0,0.0,0.0,0.0,,-7.551837921142578,6.6044511795043945,0.0,0.0,22,0,0,,,
11264,23.537879690527916,-0.02104640321340412,47.23180019855499,2.8486888110637665,0.0,0.0,0.0,0.0,,-3.1278228759765625,7.0066447257995605,0.0,0.0,22,0,0,,,
12288,27.769507586956024,-0.0208464927127352,55.69630655646324,2.8899616599082947,0.0,0.0,0.0,0.0,,-0.8596464395523071,8.049537658691406,0.0,0.0,22,0,0,,,
13312,248.43516767024994,-0.026959708891808987,497.03651189804077,2.8064285777509212,0.0,0.0,0.0,0.0,,-12.260351181030273,19.392406463623047,0.0,0.0,22,0,0,,,
14336,20.878163650631905,-0.019716135211638175,41.903740137815475,2.699512343853712,0.0,0.0,0.0,0.0,,-3.2452878952026367,6.639033794403076,0.0,0.0,22,0,0,,,
