update,timesteps,oracle_loss_mean,oracle_loss_macro_subtype_event,oracle_loss_macro_subtype_event_staticnorm,selection_score_name,selection_score,validation_scene_count,ordinary_static_ratio_mean,macro_static_ratio_mean,behavior_failure_count,behavior_valid_scene_count
0,0,0.4519794077302019,,0.9351666964597515,oracle_loss_mean,0.4519794077302019,1,1.0264529388657326,1.0210012605954397,0,1
5,5120,0.4983707480229593,,0.9181109543976338,oracle_loss_mean,0.4983707480229593,1,1.1318084634029164,1.0023800519791186,0,1
10,10240,0.5444157086506797,,1.0923358142157082,oracle_loss_mean,0.5444157086506797,1,1.23637735381682,1.1925961943788963,0,1
15,15360,0.5427153348088419,,1.0395018240943015,oracle_loss_mean,0.5427153348088419,1,1.2325157758394298,1.134912820152187,0,1
20,20480,0.6037764951324789,,1.364848021315255,oracle_loss_mean,0.6037764951324789,1,1.3711867117112737,1.4901210185942952,0,1
25,25600,0.5285584801798299,,1.2960866992719449,oracle_loss_mean,0.5285584801798299,1,1.2003653176758171,1.4150484173647986,0,1
30,30720,0.5009878731507342,,1.0098869101188486,oracle_loss_mean,0.5009878731507342,1,1.1377519991765361,1.1025796921485593,0,1
35,35840,0.5353980947547825,,1.0883653887344857,oracle_loss_mean,0.5353980947547825,1,1.215898198955576,1.188261342168296,0,1
40,40960,0.5428875454720886,,1.2927858682956785,oracle_loss_mean,0.5428875454720886,1,1.232906869190964,1.4114446185976497,0,1
45,46080,0.4895236735416499,,1.2445445528915298,oracle_loss_mean,0.4895236735416499,1,1.111716606459016,1.3587754591559373,0,1
49,50176,0.48195387123996625,,1.1362480246544981,oracle_loss_mean,0.48195387123996625,1,1.094525456405928,1.2405389006186136,0,1
