baseline_family,seed_count,ordinary_wins,macro_wins,joint_wins,ordinary_mean_margin,ordinary_ci_low,ordinary_ci_high,macro_mean_margin,macro_ci_low,macro_ci_high
static,24,13,13,12,0.009517683289501552,-0.009161841587296377,0.026156357637526287,0.030914041924646793,-0.01820639021587129,0.08288316725420167
dynamic,24,21,21,21,0.03962544004934898,0.02616791428661734,0.05143424151030085,0.08246699799034772,0.04906318505999338,0.11361678375538962
context,24,15,17,14,0.012669746421966855,4.547481269869749e-06,0.02464512929058132,0.03814258536824532,-7.676853710136739e-05,0.07482284302341977
forecast_greedy,24,16,20,16,0.014894949749726001,-0.0007988352218540643,0.030563360351000768,0.08330433374232656,0.034191872749276035,0.13164011261330424
full_open,24,7,5,5,-0.014143948385161054,-0.030207729475387194,0.00024926790760623356,-0.05818101545529219,-0.0932727385027342,-0.024881273830288788
