seed,pdppo_ordinary,pdppo_macro,static_ordinary_margin,static_macro_margin,dynamic_ordinary_margin,dynamic_macro_margin,full_open_ordinary_margin,full_open_macro_margin,always_on,always_off,mid_duty,switches_per_step,warmup_abort_count,unique_action_count,max_abs_event_calm_duty_delta,invalid_action_count,power_violation_count,startup_peak_violation_count,context_ordinary_margin,context_macro_margin,forecast_greedy_ordinary_margin,forecast_greedy_macro_margin,exact_label_ordinary_margin,exact_label_macro_margin,behavior_gate
1401,0.5321201244886551,1.0698923159850555,-0.02917391081508769,-0.20250659052835285,-0.0042379321174748075,-0.04701016998217655,-0.0353782780132153,-0.11754178459329756,0,0,5,0.0237371544362425,0,10,0.5461720674253524,0,0,0,-0.007297819360650881,-0.023386084981087185,-0.03206962301434646,-0.0826130948440531,,,1
1402,0.4638190504887866,1.1443618242143854,0.0617951137990328,0.1322249788948171,0.06290707213338464,0.14444512021527278,0.00775470350830193,-0.005894373924427265,0,0,6,0.0140396584165581,0,9,0.3627400068277395,0,0,0,0.0055500235272726295,0.011755984771599115,0.03988439809311073,0.10525720632094293,,,1
1403,0.4393047956238863,0.7735232932287405,0.02192704986211741,0.002811953575846071,0.03472202191672591,0.05452757107860107,-0.01490270142999689,-0.06428825135450733,0,0,6,0.0405268490374873,0,15,0.32704075585431513,0,0,0,0.014238630033408584,0.008763676543532717,0.011427609576559083,0.01349350528965676,,,1
1404,0.3602290647718796,0.9075033712377436,-0.012240007066995684,-0.014890964935215356,0.05199593663888258,0.0899809190986558,0.012417728812175122,0.00937109808121317,0,0,5,0.0240266319293674,0,13,0.2937424644321196,0,0,0,-0.0034560233066763257,0.006928006152216004,-0.006366743266375485,0.007078210731976009,,,1
1405,0.4394001116064222,0.9412036945784163,0.050310817980466216,0.13263579527406644,0.046903158146758606,0.15032799733342372,-0.003900464659737868,-0.011801182235680163,0,0,6,0.0357504704009263,0,11,0.2692058442323554,0,0,0,0.026989949650467415,0.08306814592790412,0.04295911566199112,0.13794411077378022,,,1
1406,0.4814692972609514,1.0951819038754085,0.04722575767987619,0.2518530944477335,0.04115110948138562,0.010538804547626457,-0.016949550733746266,-0.05657993131214201,0,0,4,0.0217108119843682,0,13,0.2035915947358497,0,0,0,0.058133423137608,0.2793851298866359,0.016765606838614833,0.12314915148008865,,,1
1407,0.3696864790140858,0.7612694370458936,-0.00613004311000831,-0.02996006130635731,0.025701024905881886,0.028367446164083043,-0.016307132024343918,-0.08170997511461842,0,1,3,0.0108554059921841,0,6,0.3245371323395857,0,0,0,0.013595203907849907,-0.03418870673192598,0.013768091244855896,0.07483507407559409,,,1
1408,0.4481094982863093,0.8420899115393438,0.02070517194483218,0.10799169188265867,0.020965792313088816,0.14220174812919706,-0.028431132076851384,-0.09185512591827527,0,0,6,0.0340136054421768,0,18,0.6545380813197239,0,0,0,0.02620477995110887,0.07083446545387984,-0.008993456259809629,0.18570352785412736,,,1
1409,0.4467310261776826,1.1284207691122683,0.05457130982863917,0.09281430736056562,0.07305030132475726,0.1205057087734045,-0.019732063500365937,-0.10665767087626077,0,0,6,0.0340136054421768,0,15,0.37379408047981244,0,0,0,0.029258213468387473,0.06551044017462648,0.04663431586878786,0.17127341758187842,,,1
1410,0.3612440208121875,0.7720233131411631,0.06083366011605701,0.35167533689078456,0.05119172685145823,0.18680406992566445,0.018669166980544105,0.08731154454956969,0,0,6,0.039803155304675,0,15,0.2665408805031447,0,0,0,0.025146177918132895,0.07626308757716238,0.046601873819276496,0.39860649363685363,,,1
1411,0.4613788148271851,0.9467432231524489,0.017378447881330583,-0.09244214168366383,0.07436282483912593,0.15978223931126534,0.0642966861810742,0.11107216158729405,0,1,5,0.0277898393399913,0,8,0.3604768255177857,0,0,0,0.039632690711490226,0.08322359058319373,-0.004354169181573941,0.015025717507995195,,,1
1412,0.4249911059159785,1.0128256383285097,-0.002038823259580491,-0.004588408495820984,0.04612165525516809,0.09295727257028141,-0.013439069524691982,-0.08845419421642087,0,1,5,0.0402373715443624,0,8,0.32007825069474916,0,0,0,-0.0038606355164019224,0.003989141298950782,-0.0033729808346834034,0.03222067308869159,,,1
1413,0.5446075531363022,0.9184526691642344,-0.13288752954556715,-0.1345623144105178,-0.06269909381969935,-0.08123618698324364,-0.13814530091864685,-0.1646720642755597,0,0,4,0.0217108119843682,0,10,0.4392616543539822,0,0,0,-0.03108995539757109,0.08002253470899956,-0.055815127303099454,-0.007008434802624364,,,1
1414,0.5440179398542063,0.9656343685517492,-0.011972104163659347,-0.07415098837935397,0.09668873300931102,0.1648042963231986,0.05230853769656585,0.0324608709762616,0,0,5,0.0321320017368649,0,15,0.3692129887578919,0,0,0,0.051306988245212515,0.07482063413719886,0.04332058541088679,0.09614788853804157,,,1
1415,0.5485624115600432,0.9028600328388036,-0.027284258661287142,-0.13468326310133993,0.05973176352725007,0.03854138111697569,-0.04164132171071189,-0.13336520081275716,0,0,3,0.0088290635403097,0,9,0.19103783889148415,0,0,0,0.0532398795589365,0.05203145293389122,0.06801535024715122,0.05690214383503445,,,1
1416,0.3832030015085668,0.8315609148015736,0.02851888481786269,0.12206095267203165,0.06356447217533262,0.20972117238883736,0.001663821404993937,0.043075478103171805,0,1,4,0.0257634968881169,0,9,0.3072542357498993,0,0,0,0.04387555724113351,0.13631262174609282,0.026982664040082927,0.13149026842628164,,,1
1417,0.3331357966057516,0.9003678702636457,0.019165505989803988,0.06387326603609722,0.036280026402285614,0.06344090685107184,-0.0014227652233482213,-0.05169526748818132,0,0,6,0.0373425966131133,0,11,0.5138233331311048,0,0,0,-0.008944208015843003,-0.050007392373974446,0.024807724404834308,0.11284842424501806,,,1
1418,0.6714756543806288,1.7517935425101,-0.0018578429395953444,-0.02154272526812484,0.054085778693358066,0.06103735673040478,0.0036355230258777738,-0.09062814822561971,0,1,3,0.0170791720943696,0,9,0.10980967729557577,0,0,0,-0.0018146648750795302,-0.053296830004747164,-0.02213238461667466,-0.09665460429882433,,,1
1419,0.4571831696909309,0.9779187813681638,-0.0234865907679907,-0.039285842265180615,0.012273766764944072,0.011714237236726599,-0.04044317340756404,-0.12143072040746983,0,0,6,0.0403821102909248,0,16,0.43607679914070896,0,0,0,-0.015924045463584224,-0.04887650875448135,0.023274337302104264,0.09689975550529506,,,1
1420,0.5802258102210343,1.241845668078135,-0.0482789742753893,-0.1288714326160625,-0.0029756388911563736,-0.10204433719177719,-0.06835293380168483,-0.30205697743505866,0,0,6,0.0248950644087422,0,16,0.40524077376869255,0,0,0,-0.06886955362278968,-0.239870136477367,-0.07587730948580429,-0.2306794673425816,,,1
1421,0.390388859099605,1.229819236482965,0.019805729993903565,0.09367867103534011,0.05543341351504849,0.1720798767446563,-0.002274427149030922,-0.020593937742164004,0,1,5,0.0256187581415544,0,9,0.28507149943358917,0,0,0,0.01544905290292159,0.06668541395252325,0.0011074256649912795,0.07393984874038861,,,1
1422,0.3629523911723582,0.8515776866997143,0.07874919362075156,0.10234674311747483,0.05984987382382517,0.09461196396581051,-0.00906151513562592,-0.01674219121225362,0,0,6,0.0259082356346794,0,11,0.16666666666666666,0,0,0,0.05968307777624837,0.1557770081280726,0.11722493418912766,0.26976684558100283,,,1
1423,0.3697084331749162,0.9268620754735584,0.04562284329505123,0.07983391825108366,0.018583724090907083,0.08141135445296754,-0.024976328235223,-0.03812929863258885,0,0,5,0.0367636416268635,0,11,0.31005794939468706,0,0,0,-0.030862500975167184,-0.008065402620518802,0.03003439275845371,0.19131942316824224,,,1
1424,0.5495774301121451,1.2678172332163016,-0.002835003256526192,0.08562102974301355,0.03535905020382624,0.13169720296741794,-0.02484277130861301,-0.1155392284472403,0,1,5,0.030250398031553,0,8,0.198990198990199,0,0,0,0.013889672630789884,0.11774177680551023,0.013652162834963177,0.12235792472303131,,,1
