seed,sensor_id,duty_all,duty_event,duty_non_event,event_minus_non_event
1401,fc4_flux,0.1597222222222222,0.24693140794223828,0.028291621327529923,0.21863978661470834
1401,laser_disdrometer,0.021267361111111112,0.027436823104693142,0.011969532100108813,0.015467291004584329
1401,met_station_core,0.9370659722222222,0.9220216606498195,0.9597388465723613,-0.03771718592254181
1401,radiometer_basic,0.5868055555555556,0.3689530685920578,0.9151251360174102,-0.5461720674253524
1401,shielded_thermo_hygro,0.0842013888888889,0.11552346570397112,0.036996735582154515,0.0785267301218166
1401,surface_temp_ir,0.2109375,0.3191335740072202,0.04787812840043525,0.27125544560678494
1402,fc4_flux,0.3506944444444444,0.4793863854266539,0.24425059476605868,0.23513579066059523
1402,laser_disdrometer,0.08680555555555555,0.15436241610738255,0.030927835051546393,0.12343458105583616
1402,met_station_core,0.9171006944444444,0.8322147651006712,0.9873116574147502,-0.15509689231407908
1402,radiometer_basic,0.059895833333333336,0.04793863854266539,0.06978588421887391,-0.02184724567620852
1402,shielded_thermo_hygro,0.08289930555555555,0.1725790987535954,0.008723235527359239,0.16385586322623616
1402,surface_temp_ir,0.4947916666666667,0.2962607861936721,0.6590007930214116,-0.3627400068277395
1403,fc4_flux,0.2326388888888889,0.31681877444589307,0.06493506493506493,0.25188370951082817
1403,laser_disdrometer,0.08940972222222222,0.11473272490221642,0.03896103896103896,0.07577168594117746
1403,met_station_core,0.85546875,0.8272490221642764,0.9116883116883117,-0.08443928952403523
1403,radiometer_basic,0.3355034722222222,0.22620599739243807,0.5532467532467532,-0.32704075585431513
1403,shielded_thermo_hygro,0.2417534722222222,0.18578878748370273,0.35324675324675325,-0.16745796576305053
1403,surface_temp_ir,0.2400173611111111,0.3213820078226858,0.07792207792207792,0.24345992990060786
1404,fc4_flux,0.22960069444444445,0.36982758620689654,0.08741258741258741,0.28241499879430915
1404,laser_disdrometer,0.0642361111111111,0.10344827586206896,0.024475524475524476,0.07897275138654448
1404,met_station_core,0.7734375,0.6275862068965518,0.9213286713286714,-0.2937424644321196
1404,radiometer_basic,0.013020833333333334,0.00603448275862069,0.020104895104895104,-0.014070412346274415
1404,shielded_thermo_hygro,0.2439236111111111,0.21379310344827587,0.2744755244755245,-0.060682421027248606
1404,surface_temp_ir,0.6506076388888888,0.6293103448275862,0.6722027972027972,-0.042892452375211
1405,fc4_flux,0.4114583333333333,0.4424119241192412,0.35628019323671495,0.08613173088252624
1405,laser_disdrometer,0.1349826388888889,0.18089430894308944,0.05314009661835749,0.12775421232473194
1405,met_station_core,0.7760416666666666,0.714769647696477,0.8852657004830918,-0.17049605278661484
1405,radiometer_basic,0.07335069444444445,0.022357723577235773,0.1642512077294686,-0.14189348415223282
1405,shielded_thermo_hygro,0.2938368055555556,0.2350948509485095,0.39855072463768115,-0.16345587368917167
1405,surface_temp_ir,0.3077256944444444,0.40447154471544716,0.13526570048309178,0.2692058442323554
1406,fc4_flux,0.1657986111111111,0.24417784050811575,0.040586245772266064,0.2035915947358497
1406,laser_disdrometer,0.04296875,0.05504587155963303,0.02367531003382187,0.031370561525811164
1406,met_station_core,0.8493923611111112,0.7889908256880734,0.9458850056369785,-0.1568941799489051
1406,radiometer_basic,0.5052083333333334,0.46153846153846156,0.5749718151071026,-0.11343335356864104
1406,shielded_thermo_hygro,0.03125,0.043754410726887794,0.011273957158962795,0.032480453567925
1406,surface_temp_ir,0.3967013888888889,0.392378263937897,0.4036076662908681,-0.011229402352971096
1407,fc4_flux,0.10677083333333333,0.17182410423452768,0.032527881040892194,0.1392962231936355
1407,laser_disdrometer,0.014322916666666666,0.026058631921824105,0.0009293680297397769,0.02512926389208433
1407,met_station_core,0.9861111111111112,0.9788273615635179,0.9944237918215614,-0.01559643025804347
1407,radiometer_basic,0.0,0.0,0.0,0.0
1407,shielded_thermo_hygro,0.2899305555555556,0.3697068403908795,0.19888475836431227,0.1708220820265672
1407,surface_temp_ir,0.6002604166666666,0.44869706840390877,0.7732342007434945,-0.3245371323395857
1408,fc4_flux,0.22569444444444445,0.3315301391035549,0.0900990099009901,0.2414311292025648
1408,laser_disdrometer,0.32421875,0.5510046367851623,0.033663366336633666,0.5173412704485286
1408,met_station_core,0.4470486111111111,0.2596599690880989,0.6871287128712872,-0.4274687437831883
1408,radiometer_basic,0.1154513888888889,0.0571870170015456,0.1900990099009901,-0.1329119928994445
1408,shielded_thermo_hygro,0.5759548611111112,0.2890262751159196,0.9435643564356435,-0.6545380813197239
1408,surface_temp_ir,0.25,0.41653786707882534,0.03663366336633663,0.37990420371248873
1409,fc4_flux,0.09722222222222222,0.14729829755736493,0.026232948583420776,0.12106534897394415
1409,laser_disdrometer,0.1254340277777778,0.19170984455958548,0.03147953830010493,0.16023030625948054
1409,met_station_core,0.6853298611111112,0.5307179866765359,0.9045120671563484,-0.37379408047981244
1409,radiometer_basic,0.08897569444444445,0.07105847520355292,0.11437565582371459,-0.04331718062016167
1409,shielded_thermo_hygro,0.22743055555555555,0.35751295336787564,0.04302203567681007,0.3144909176910656
1409,surface_temp_ir,0.7703993055555556,0.6935603256846781,0.8793284365162645,-0.1857681108315864
1410,fc4_flux,0.08072916666666667,0.16981132075471697,0.017777777777777778,0.1520335429769392
1410,laser_disdrometer,0.12369791666666667,0.279874213836478,0.013333333333333334,0.2665408805031447
1410,met_station_core,0.6297743055555556,0.4758909853249476,0.7385185185185185,-0.26262753319357085
1410,radiometer_basic,0.1740451388888889,0.09014675052410902,0.23333333333333334,-0.1431865828092243
1410,shielded_thermo_hygro,0.0859375,0.1289308176100629,0.05555555555555555,0.07337526205450734
1410,surface_temp_ir,0.8658854166666666,0.8039832285115304,0.9096296296296297,-0.10564640111809931
1411,fc4_flux,0.059895833333333336,0.10344827586206896,0.011049723756906077,0.09239855210516289
1411,laser_disdrometer,0.0078125,0.0090311986863711,0.006445672191528545,0.0025855264948425544
1411,met_station_core,0.7265625,0.5566502463054187,0.9171270718232044,-0.3604768255177857
1411,radiometer_basic,0.12109375,0.10098522167487685,0.143646408839779,-0.04266118716490215
1411,shielded_thermo_hygro,0.3172743055555556,0.4548440065681445,0.16298342541436464,0.2918605811537799
1411,surface_temp_ir,0.7673611111111112,0.7750410509031199,0.7587476979742173,0.01629335292890266
1412,fc4_flux,0.16102430555555555,0.25943396226415094,0.03972868217054264,0.2197052800936083
1412,laser_disdrometer,0.1618923611111111,0.2617924528301887,0.03875968992248062,0.22303276290770807
1412,met_station_core,0.8993055555555556,0.845125786163522,0.9660852713178295,-0.12095948515430754
1412,radiometer_basic,0.0,0.0,0.0,0.0
1412,shielded_thermo_hygro,0.3155381944444444,0.1721698113207547,0.49224806201550386,-0.32007825069474916
1412,surface_temp_ir,0.4561631944444444,0.45047169811320753,0.4631782945736434,-0.01270659646043587
1413,fc4_flux,0.07161458333333333,0.08105369807497467,0.06454062262718299,0.01651307544779168
1413,laser_disdrometer,0.04991319444444445,0.017223910840932118,0.07441154138192863,-0.05718763054099651
1413,met_station_core,0.9088541666666666,0.8237082066869301,0.9726651480637813,-0.14895694137685123
1413,radiometer_basic,0.026475694444444444,0.02634245187436677,0.026575550493545937,-0.0002330986191791673
1413,shielded_thermo_hygro,0.3506944444444444,0.20466058763931105,0.4601366742596811,-0.25547608662037
1413,surface_temp_ir,0.58984375,0.8409321175278622,0.40167046317388005,0.4392616543539822
1414,fc4_flux,0.41015625,0.4992947813822285,0.26749435665914223,0.23180042472308626
1414,laser_disdrometer,0.08159722222222222,0.11706629055007052,0.024830699774266364,0.09223559077580415
1414,met_station_core,0.6328125,0.4908321579689704,0.8600451467268623,-0.3692129887578919
1414,radiometer_basic,0.2482638888888889,0.2863187588152327,0.1873589164785553,0.09895984233667743
1414,shielded_thermo_hygro,0.025173611111111112,0.02609308885754584,0.023702031602708805,0.0023910572548370354
1414,surface_temp_ir,0.5421006944444444,0.4830747531734838,0.636568848758465,-0.15349409558498117
1415,fc4_flux,0.049479166666666664,0.0683311432325887,0.01278772378516624,0.05554341944742246
1415,laser_disdrometer,0.01171875,0.0,0.034526854219948847,-0.034526854219948847
1415,met_station_core,0.9644097222222222,0.973718791064389,0.9462915601023018,0.027427230962087212
1415,radiometer_basic,0.5837673611111112,0.6182654402102497,0.5166240409207161,0.10164139928953353
1415,shielded_thermo_hygro,0.2842881944444444,0.21944809461235218,0.41048593350383633,-0.19103783889148415
1415,surface_temp_ir,0.10633680555555555,0.1202365308804205,0.0792838874680307,0.0409526434123898
1416,fc4_flux,0.2604166666666667,0.37336993822923814,0.06611570247933884,0.3072542357498993
1416,laser_disdrometer,0.1254340277777778,0.13109128345916266,0.11570247933884298,0.015388804120319677
1416,met_station_core,0.7951388888888888,0.7604667124227865,0.8547815820543093,-0.0943148696315228
1416,radiometer_basic,0.015625,0.009608785175017159,0.025974025974025976,-0.016365240799008817
1416,shielded_thermo_hygro,0.005208333333333333,0.0075497597803706245,0.0011806375442739079,0.0063691222360967165
1416,surface_temp_ir,0.7981770833333334,0.7179135209334249,0.9362455726092089,-0.21833205167578407
1417,fc4_flux,0.1675347222222222,0.3122641509433962,0.04421221864951769,0.2680519322938785
1417,laser_disdrometer,0.0920138888888889,0.10566037735849057,0.08038585209003216,0.025274525268458414
1417,met_station_core,0.8068576388888888,0.6311320754716981,0.9565916398713826,-0.3254595643996845
1417,radiometer_basic,0.3415798611111111,0.06415094339622641,0.5779742765273312,-0.5138233331311048
1417,shielded_thermo_hygro,0.21875,0.27735849056603773,0.16881028938906753,0.1085482011769702
1417,surface_temp_ir,0.3732638888888889,0.6094339622641509,0.1720257234726688,0.4374082387914821
1418,fc4_flux,0.08289930555555555,0.12464985994397759,0.014840182648401826,0.10980967729557577
1418,laser_disdrometer,0.009114583333333334,0.011904761904761904,0.0045662100456621,0.007338551859099804
1418,met_station_core,0.9639756944444444,0.9418767507002801,1.0,-0.058123249299719904
1418,radiometer_basic,0.04296875,0.028011204481792718,0.06735159817351598,-0.03934039369172326
1418,shielded_thermo_hygro,0.4001736111111111,0.39285714285714285,0.4121004566210046,-0.019243313763861736
1418,surface_temp_ir,0.5008680555555556,0.5007002801120448,0.5011415525114156,-0.00044127239937075124
1419,fc4_flux,0.3546006944444444,0.4230263157894737,0.22193877551020408,0.20108754027926962
1419,laser_disdrometer,0.16536458333333334,0.2138157894736842,0.07142857142857142,0.14238721804511278
1419,met_station_core,0.7291666666666666,0.6835526315789474,0.8176020408163265,-0.13404940923737907
1419,radiometer_basic,0.2365451388888889,0.0881578947368421,0.5242346938775511,-0.43607679914070896
1419,shielded_thermo_hygro,0.2222222222222222,0.2019736842105263,0.2614795918367347,-0.05950590762620839
1419,surface_temp_ir,0.2604166666666667,0.34539473684210525,0.09566326530612244,0.2497314715359828
1420,fc4_flux,0.140625,0.20087019579405366,0.05081081081081081,0.15005938498324284
1420,laser_disdrometer,0.1935763888888889,0.28063814358230604,0.06378378378378378,0.21685435979852224
1420,met_station_core,0.66015625,0.49746192893401014,0.9027027027027027,-0.40524077376869255
1420,radiometer_basic,0.37890625,0.4249456127628716,0.31027027027027027,0.11467534249260136
1420,shielded_thermo_hygro,0.3836805555555556,0.26468455402465557,0.5610810810810811,-0.29639652705642555
1420,surface_temp_ir,0.18663194444444445,0.25598259608411894,0.08324324324324324,0.17273935284087572
1421,fc4_flux,0.2065972222222222,0.33985330073349634,0.05478180129990715,0.28507149943358917
1421,laser_disdrometer,0.07552083333333333,0.11409942950285248,0.031569173630454965,0.08253025587239751
1421,met_station_core,0.9071180555555556,0.850040749796251,0.9721448467966574,-0.12210409700040636
1421,radiometer_basic,0.0026041666666666665,0.004889975550122249,0.0,0.004889975550122249
1421,shielded_thermo_hygro,0.5763888888888888,0.4588427057864711,0.7103064066852368,-0.25146370089876574
1421,surface_temp_ir,0.23177083333333334,0.23227383863080683,0.23119777158774374,0.0010760670430630948
1422,fc4_flux,0.10243055555555555,0.14713541666666666,0.013020833333333334,0.13411458333333331
1422,laser_disdrometer,0.3120659722222222,0.3665364583333333,0.203125,0.16341145833333331
1422,met_station_core,0.92578125,0.8958333333333334,0.9856770833333334,-0.08984375
1422,radiometer_basic,0.06727430555555555,0.01171875,0.17838541666666666,-0.16666666666666666
1422,shielded_thermo_hygro,0.054253472222222224,0.061848958333333336,0.0390625,0.022786458333333336
1422,surface_temp_ir,0.5277777777777778,0.5026041666666666,0.578125,-0.07552083333333337
1423,fc4_flux,0.06076388888888889,0.08901830282861897,0.029945553539019964,0.059072749289599005
1423,laser_disdrometer,0.4314236111111111,0.38352745424292845,0.48366606170598914,-0.10013860746306069
1423,met_station_core,0.9049479166666666,0.8569051580698835,0.957350272232305,-0.10044511416242141
1423,radiometer_basic,0.10807291666666667,0.024126455906821963,0.1996370235934664,-0.17551056768664444
1423,shielded_thermo_hygro,0.03732638888888889,0.03826955074875208,0.036297640653357534,0.0019719100953945468
1423,surface_temp_ir,0.4548611111111111,0.6031613976705491,0.29310344827586204,0.31005794939468706
1424,fc4_flux,0.3693576388888889,0.41452991452991456,0.25825825825825827,0.1562716562716563
1424,laser_disdrometer,0.2864583333333333,0.22893772893772893,0.42792792792792794,-0.198990198990199
1424,met_station_core,0.9032118055555556,0.887057387057387,0.9429429429429429,-0.05588555588555588
1424,radiometer_basic,0.0,0.0,0.0,0.0
