baseline_family,seed_count,ordinary_wins,macro_wins,joint_wins,ordinary_mean_margin,ordinary_ci_low,ordinary_ci_high,macro_mean_margin,macro_ci_low,macro_ci_high
static,22,15,12,11,0.00998725639396751,-0.003528733621475454,0.02331052995362307,0.023076010514956172,-0.01857549962020949,0.06579981605086743
dynamic,22,21,19,18,0.02755534415300279,0.019872962790583263,0.03566590847840047,0.05494428136664953,0.03589523133355435,0.07427234665045164
context,22,7,9,5,-0.008640510200965566,-0.017496277750933105,-0.0013671152343382896,-0.03230165533105702,-0.053127589413456244,-0.012546610788106125
forecast_greedy,22,18,20,18,0.022473119514346992,0.008565101778591702,0.0370504141987057,0.09826913730245136,0.05767581418906163,0.13565298310057944
exact_label,22,7,7,4,-0.008917994681843365,-0.018007530750911993,-0.0015962091128323742,-0.034349797071017533,-0.05451140956365768,-0.015456697968248308
full_open,22,6,6,4,-0.008213828064191438,-0.015507069025222862,-0.00035550418702550877,-0.038898276055389584,-0.06708364131330422,-0.011226230259419904
