seed,pdppo_ordinary,pdppo_macro,static_ordinary_margin,static_macro_margin,dynamic_ordinary_margin,dynamic_macro_margin,full_open_ordinary_margin,full_open_macro_margin,always_on,always_off,mid_duty,switches_per_step,warmup_abort_count,unique_action_count,max_abs_event_calm_duty_delta,invalid_action_count,power_violation_count,startup_peak_violation_count,context_ordinary_margin,context_macro_margin,forecast_greedy_ordinary_margin,forecast_greedy_macro_margin,exact_label_ordinary_margin,exact_label_macro_margin,behavior_gate
1201,0.6290117222912764,0.971581867568606,-0.06224893583243507,-0.11723903843166927,0.04682948082982985,0.08440412917747764,-0.005561653650753784,0.012483774565705597,0,0,6,0.0306122448979591,0,8,0.6340061676478834,0,0,0,-0.07897491488579866,-0.1012339630934439,0.09608162943752385,0.12833915078837677,-0.0811563492914299,-0.10007275526319781,1
1202,0.4987069705837509,0.7817103344555405,0.04389826750007675,0.09110091490381178,0.007419226949827551,0.02159470895529414,-0.007143202512654323,-0.0120352885668783,1,0,4,0.0264871906209292,0,5,0.6203015147662092,0,0,0,-0.022045427833088715,-0.058812544433570646,0.023356157261231525,0.02838824083312419,-0.022553401679033414,-0.058961459388216286,1
1203,0.4715964459303197,1.0177974726546406,0.0070129497681692965,-0.008231693736651557,0.028802555031789967,0.015023758406218501,-0.0029631617297936064,0.01952921889270187,1,0,3,0.0124475322043711,0,6,0.4601719499626267,0,0,0,-0.010473085098460067,-0.08534592272762742,0.0012215789562712298,0.024795724448121392,-0.011350421920522158,-0.08566854893296882,1
1204,0.3296026181956727,0.849222169025678,0.012614753800638367,0.037951009585586615,0.031116812772880698,0.10591667328068477,0.009746514892968794,0.042515510369325216,1,1,4,0.0121580547112462,0,3,0.841534612176814,0,0,0,0.011914195895466662,-0.004209390926768641,0.032262198470157766,0.15398673749614766,0.014392154603329876,0.009352779490168883,1
1205,0.4430871808985507,0.8757732274943376,0.0010174849206425751,-0.04838010232669876,0.005244468791513801,0.05719785158034363,-0.03021620306147582,-0.058379597850294784,1,0,5,0.0183818208134317,0,4,0.5290697674418605,0,0,0,-0.008025021733677418,-0.024217441907414816,0.00957597552365358,0.09637300980640562,-0.00812491306149038,-0.02909274314477517,1
1206,0.4413239292334765,1.0180899833334554,0.0004866859526372891,-0.0026466304685233144,0.04204164736115168,0.13408394438793203,0.003409321849984659,-0.0021869667477141252,0,0,6,0.0165002171081198,0,4,0.78414517669532,0,0,0,-0.010751729452749714,-0.016440100668662527,0.01467743670380306,0.08860710084237433,-0.014429186485358514,-0.02878774479235935,1
1207,0.3549407109692563,0.7855012820161715,-0.00834616230470897,-0.008647705947854578,0.03267909816673231,0.09441702627918702,0.012910757745784318,0.07589795457001514,1,1,4,0.0257634968881169,0,3,0.5227956371489866,0,0,0,0.005548384189347,0.015942067403990956,0.06584825430925573,0.26938777425865457,0.003982250365273443,0.009189382301682869,1
1208,0.3486611748764214,1.0709880542298793,0.012530363693561697,-0.04679662841800769,0.009728739916075313,0.11537291575741837,-0.022250082423043882,-0.0025980901599602646,0,0,6,0.0220002894774931,0,5,0.7429487808041094,0,0,0,-0.007452170841538208,0.003275163542635795,0.016711908986002888,0.1327577666780857,-0.009989702960916114,-0.0023426190547641834,1
1209,0.5517416520629518,1.27282467311677,-0.041732049648999237,-0.17658341426577828,0.058130949297467205,0.018942788698796287,-0.008331667002898446,-0.19002826867310296,0,1,4,0.0205529020118685,0,5,0.7940896091515729,0,0,0,-0.016910321058175137,-0.11961177717929039,-0.0467979031883361,-0.1621697498007928,-0.01720627656161211,-0.12026475178868212,1
1210,0.4631113519927667,1.2651722978494506,-0.02911187170118662,-0.006085657113320986,0.03190318986243157,0.08897868429390132,-0.016806046040275913,-0.1012743217155303,0,0,4,0.0204081632653061,0,7,0.6686255431403612,0,0,0,-0.009373006598454692,-0.04044302722608095,-0.024777016026847398,0.02918253488126532,-0.009108959561368979,-0.036493326322982966,1
1211,0.3701575891965249,0.7710160412854137,0.025593328695524387,0.08118795392609579,0.026573351843075688,0.022643516068691305,-0.011261884048710424,-0.04821264463646846,0,0,4,0.0172239108409321,0,6,0.7029585798816569,0,0,0,-0.013691258576323417,-0.06042465817574261,0.023791177733477997,0.2022040952091233,-0.012973556081609106,-0.05554834824098254,1
1212,0.549268795518502,1.328298658498507,0.01284438159038681,0.0011603913019437861,0.003874258285375465,-0.03458147512891463,-0.02360109387114384,-0.12482633050207848,0,0,5,0.0199015776523375,0,4,0.5961363636363637,0,0,0,-0.0075446978460401715,-0.06520626513370265,0.006661044946263739,0.04808627604420335,-0.0057858262848135,-0.06092856235025135,1
1213,0.4352315769582573,1.0496996856825769,-0.020429986250948995,-0.13889435135871053,0.01870614689930028,-0.01648805010277088,-0.007638472669188823,-0.06443056235585964,1,0,4,0.0163554783615573,0,4,0.8119227539882452,0,0,0,-0.025372693370122323,-0.13958768156901002,-0.0021477106913355137,-0.026106548452620393,-0.02530479092577792,-0.13974905968157925,1
1214,0.5065438358174611,1.2391578522516429,0.018016660849550892,0.114164575769232,-0.0019814511712562544,0.08766818171251534,-0.02681138901001151,-0.053127647096357755,0,0,4,0.0165002171081198,0,6,0.7107840811590381,0,0,0,0.02408323516040889,0.03694798824541712,-0.019895051580129386,0.1125696678503485,0.023301721047674695,0.023933164206720203,1
