update,timesteps,oracle_loss_mean,oracle_loss_macro_subtype_event,oracle_loss_macro_subtype_event_staticnorm,selection_score_name,selection_score,validation_scene_count,ordinary_static_ratio_mean,macro_static_ratio_mean,behavior_failure_count,behavior_valid_scene_count
5,5120,0.48212968743609963,,0.9853353652887441,oracle_loss_mean,0.48212968743609963,1,1.0439971610400982,1.1144072693869895,0,1
10,10240,0.5475819974623543,,1.197944649750099,oracle_loss_mean,0.5475819974623543,1,1.1857267156217848,1.3548668534936341,0,1
15,15360,0.4586394751143719,,0.9488826359911208,oracle_loss_mean,0.4586394751143719,1,0.9931317702226884,1.0731794925819182,0,1
20,20480,0.47358398862949497,,0.9616721953752831,oracle_loss_mean,0.47358398862949497,1,1.0254924194203832,1.0876443930128397,0,1
25,25600,0.48111630429775687,,1.0142221836712102,oracle_loss_mean,0.48111630429775687,1,1.0418027947792237,1.1470780549174047,0,1
30,30720,0.4876038368141356,,1.0273975214218682,oracle_loss_mean,0.4876038368141356,1,1.0558508107088638,1.1619792679289356,0,1
35,35840,0.492199708072197,,1.0203589735244343,oracle_loss_mean,0.492199708072197,1,1.0658026487121144,1.154018720465453,0,1
40,40960,0.4692210656309423,,0.9560396058843237,oracle_loss_mean,0.4692210656309423,1,1.0160450044550287,1.0812739744778685,0,1
45,46080,0.47179848474722047,,0.9606512897111349,oracle_loss_mean,0.47179848474722047,1,1.0216261132527762,1.0864897559891784,0,1
49,50176,0.4712624020442793,,1.0029596177409108,oracle_loss_mean,0.4712624020442793,1,1.0204652869553343,1.1343401731902043,0,1
