policy,calm,particle,flux,thermal,threshold,action_source,lookahead_steps
context_alert_bandit_t0p35,20,20,28,13,0.35,continuity_guarded,
context_alert_bandit_t0p5,20,20,28,13,0.5,continuity_guarded,
event_label_reference_l8,20,20,28,13,,continuity_guarded,8.0
