action_idx,sensor_ids,sensor_count,has_laser,has_fc4,has_snow_particle_counter,has_radiometer,oracle_loss_mean,oracle_loss_event,oracle_loss_non_event,oracle_loss_subtype_particle,oracle_loss_subtype_flux,oracle_loss_subtype_thermal,steps_subtype_particle,steps_subtype_flux,steps_subtype_thermal,power_mean,peak_max,soc_min,energy_deficit_total,energy_deficit_steps,energy_guard_dropped,warmup_abort_count,always_on_sensor_count,always_off_sensor_count,mid_duty_sensor_count,duty_entropy,switches_per_step,duty__met_station_core,duty__radiometer_basic,duty__shielded_thermo_hygro,duty__surface_temp_ir,duty__laser_disdrometer,duty__fc4_flux,receding_action_coverage
24,met_station_core|fc4_flux,2,False,True,False,False,0.5880289970939176,0.7977592178757298,0.2742289592827774,1.3261789977550507,1.1553899509161107,0.3071930974835369,49,741,591,1.1400000000000003,1.4,0.0,0.0,0.0,0.0,0,2,4,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,
11,met_station_core|radiometer_basic|surface_temp_ir,3,False,False,False,True,0.588095419868801,0.7868580818014418,0.2907051315383818,1.3055338993364451,1.2095552437238686,0.21955239003785773,49,741,591,1.5999999999999999,1.94,0.0,0.0,0.0,0.0,0,3,3,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,
7,met_station_core|radiometer_basic|shielded_thermo_hygro,3,False,False,False,True,0.5968064618937206,0.8074697754969639,0.2816103231222374,1.4005871257003473,1.1928727471353875,0.2821681329794543,49,741,591,1.54,1.8399999999999999,0.0,0.0,0.0,0.0,0,3,3,0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,
3,met_station_core|radiometer_basic,2,False,False,False,True,0.5968695575526605,0.8076447511845788,0.2815060229852941,1.4011895936362597,1.1936431808369523,0.2817714613328125,49,741,591,1.0199999999999998,1.22,0.0,0.0,0.0,0.0,0,2,4,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,
20,met_station_core|shielded_thermo_hygro|laser_disdrometer,3,True,False,False,False,0.6019661072997324,0.8212935793969529,0.2738065851261014,1.2079531453093704,1.2218856981147317,0.29168677038801505,49,741,591,1.74,2.12,0.0,0.0,0.0,0.0,0,3,3,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,
16,met_station_core|laser_disdrometer,2,True,False,False,False,0.6053304556699004,0.8231004772736144,0.2795012034112557,1.1050955300428429,1.2198531213398727,0.30642946517054,49,741,591,1.22,1.5,0.0,0.0,0.0,0.0,0,2,4,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,
5,met_station_core|shielded_thermo_hygro,2,False,False,False,False,0.6146007432447126,0.8190861734562297,0.30864800313408947,1.4833267769035028,1.2080215294110148,0.28265219585191576,49,741,591,1.04,1.24,0.0,0.0,0.0,0.0,0,2,4,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,
9,met_station_core|surface_temp_ir,2,False,False,False,False,0.6148279386009866,0.8027154706812354,0.33370910674527304,1.2780700119174258,1.237968090655189,0.22302042298308888,49,741,591,1.0999999999999999,1.3399999999999999,0.0,0.0,0.0,0.0,0,2,4,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,
13,met_station_core|shielded_thermo_hygro|surface_temp_ir,3,False,False,False,False,0.6152563833731821,0.8011779071902081,0.33707910884304915,1.2826479320623436,1.2350130836490678,0.2228813256167014,49,741,591,1.6200000000000006,1.96,0.0,0.0,0.0,0.0,0,3,3,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,
1,met_station_core,1,False,False,False,False,0.6157294291737748,0.8193667196141992,0.3110456825884812,1.4640353467999672,1.2086429925743545,0.2841084128003032,49,741,591,0.52,0.62,0.0,0.0,0.0,0.0,0,1,5,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
22,surface_temp_ir|laser_disdrometer,2,True,False,False,False,0.6214696382392302,0.8894270859297249,0.2205495567001475,0.9204122636999402,1.2041379859854495,0.48887072885550825,49,741,591,1.2799999999999996,1.6,0.0,0.0,0.0,0.0,0,2,4,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
32,radiometer_basic|surface_temp_ir|fc4_flux,3,False,True,False,True,0.6426897858618759,0.9255843191885759,0.21942071703828686,1.2916884106032702,1.125118093371552,0.641363175286456,49,741,591,1.6999999999999997,2.1,0.0,0.0,0.0,0.0,0,3,3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,
30,surface_temp_ir|fc4_flux,2,False,True,False,False,0.6565916667039144,0.9239159269038532,0.2566189653646778,1.257388597848464,1.1621798521634217,0.593458264297136,49,741,591,1.2,1.5,0.0,0.0,0.0,0.0,0,2,4,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,
8,surface_temp_ir,1,False,False,False,False,0.6935223899878716,0.9643953683355163,0.288240068104776,1.2146010362372106,1.174796320317004,0.678827118777785,49,741,591,0.58,0.72,0.0,0.0,0.0,0.0,0,1,5,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
34,laser_disdrometer|fc4_flux,2,True,True,False,False,0.6977276145981806,1.031215720882155,0.19876003629030542,0.8978067490519309,1.166289151147229,0.8590994302731783,49,741,591,1.32,1.6600000000000001,0.0,0.0,0.0,0.0,0,2,4,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,
10,radiometer_basic|surface_temp_ir,2,False,False,False,True,0.7063519709627144,0.9980477187445335,0.26991445450909346,1.2620416940474997,1.1564707605120463,0.7746465180554567,49,741,591,1.08,1.3199999999999998,0.0,0.0,0.0,0.0,0,2,4,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,
17,radiometer_basic|laser_disdrometer,2,True,False,False,True,0.7243797030047668,1.0798105226046015,0.19258126111162316,1.0115728135011635,1.1843563776649284,0.9425598096398734,49,741,591,1.2,1.48,0.0,0.0,0.0,0.0,0,2,4,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,
15,laser_disdrometer,1,True,False,False,False,0.7276244689128362,1.0789867178641481,0.2019134550431051,0.9329632538921979,1.1825428527255772,0.9501788902983649,49,741,591,0.7000000000000001,0.88,0.0,0.0,0.0,0.0,0,1,5,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
25,radiometer_basic|fc4_flux,2,False,True,False,True,0.8293172684999364,1.2308626590993939,0.22852183576120327,1.369458261801272,1.146272466069291,1.304524322199539,49,741,591,1.12,1.38,0.0,0.0,0.0,0.0,0,2,4,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,
2,radiometer_basic,1,False,False,False,True,0.8648486499150749,1.2749936632612406,0.2511863926766624,1.4604074845508652,1.1904932479204438,1.3507135931005332,49,741,591,0.5,0.6,0.0,0.0,0.0,0.0,0,1,5,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
23,fc4_flux,1,False,True,False,False,0.864965569895705,1.281099816575204,0.24234217372627068,1.1667591746972532,1.165007655779038,1.4130340870816493,49,741,591,0.62,0.78,0.0,0.0,0.0,0.0,0,1,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
0,,0,False,False,False,False,0.9496043051929317,1.3601026077532923,0.3354134537998026,1.4260255657896703,1.2252742876568947,1.5052206577282468,49,741,591,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
