policy,steps,reward_mean,instant_mae,oracle_loss_mean,dtw_mean,power_mean,peak_power_max,event_rate,warmup_abort_count,switches_per_step,always_on_sensor_count,always_off_sensor_count,mid_duty_sensor_count,duty_entropy,duty_min,duty_max,duty_std,oracle_loss_event,oracle_loss_non_event,oracle_loss_subtype_particle,steps_subtype_particle,oracle_loss_subtype_flux,steps_subtype_flux,oracle_loss_subtype_thermal,steps_subtype_thermal,oracle_loss_macro_subtype_event,macro_subtype_event_count,oracle_loss_subtype_particle_staticnorm,oracle_loss_subtype_flux_staticnorm,oracle_loss_subtype_thermal_staticnorm,oracle_loss_macro_subtype_event_staticnorm
validation_selected_static,2304,-0.35458234793741983,3.4483047482619105,0.35457974377075313,3.4014944176227564,1.7200000000000002,2.12,0.4865451388888889,0,0.0,3,3,0,-0.0,0.0,1.0,0.5,0.4827809923733057,0.23309741098676207,,0,0.6641425767745185,642,0.2397034617144778,479,0.4519230192444981,2,,0.7073139462815692,0.6587828382718113,0.6830483922766902
custom_ppo,2304,-0.3624373006934076,20.899841553391262,0.3624011317119261,13.246579651015635,1.6690104166666666,2.12,0.4865451388888889,0,0.016789694601244753,1,1,4,0.6557802563695952,0.0,1.0,0.29511356951580275,0.5074363029250388,0.22496712754464007,,0,0.6797122324808179,642,0.2765362052740782,479,0.47812421887744805,2,,0.7238956788868662,0.7600111608416132,0.7419534198642397
full_open_unconstrained,2304,-0.37423687044626824,1.4835112816021183,0.3742316621129349,1.4422010691517613,3.4400000000000004,4.22,0.4865451388888889,0,0.0,6,0,0,-0.0,1.0,1.0,0.0,0.5142070197107322,0.24159229113480243,,0,0.7135469338789907,642,0.24703327253740864,479,0.48029010320819965,2,,0.7599297429630278,0.6789275351543185,0.7194286390586732
random,2304,-0.40878861424432966,6.6448065535077285,0.40862628785544075,3.752899250467907,1.6317708333333334,2.12,0.4865451388888889,0,0.08134317556809957,0,0,6,0.9879171147293985,0.3828125,0.5390625,0.06101757559302075,0.5504117249099938,0.27427170210890317,,0,0.7412126746922267,642,0.2946826857446629,479,0.5179476802184448,2,,0.789393844491421,0.8098835732946944,0.7996387088930577
aoi,2304,-0.4170589367988416,3.47898471891552,0.4167334159655083,2.378472826332726,1.7074999999999998,2.12,0.4865451388888889,0,0.16297582862932405,0,0,6,0.9996477221810774,0.484375,0.515625,0.010737254233379324,0.5682590845091655,0.2731490757817045,,0,0.7677444041912616,642,0.3008904514488198,479,0.5343174278200407,2,,0.8176502203810347,0.8269445263600372,0.822297373370536
feasible_static_projected,2304,-0.42852516634146576,2.2560146267908716,0.4285225621747991,2.2191239884373415,1.54,1.8399999999999999,0.4865451388888889,0,0.0,3,3,0,-0.0,0.0,1.0,0.5,0.6063290448738038,0.2600347624236713,,0,0.7777916008252592,642,0.3765191055818739,479,0.5771553532035666,2,,0.828350516595702,1.0347965910239882,0.9315735538098451
round_robin,2304,-0.4293927141028042,7.840776617549063,0.429279866880582,3.9994290260096403,1.4805208333333333,1.8599999999999999,0.4865451388888889,0,0.056954696772325945,0,0,6,0.9686728512078564,0.3697916666666667,0.6119791666666666,0.08115390989676119,0.5793984127858194,0.287028903262855,,0,0.7708155660660839,642,0.32284348083189485,479,0.5468295234489894,2,,0.8209210174979731,0.8872785695240586,0.8540997935110158
