update,timesteps,oracle_loss_mean,oracle_loss_macro_subtype_event,oracle_loss_macro_subtype_event_staticnorm,selection_score_name,selection_score,validation_scene_count,ordinary_static_ratio_mean,macro_static_ratio_mean,behavior_failure_count,behavior_valid_scene_count
5,5120,0.47496695186418947,,0.9843340316290644,oracle_loss_macro_subtype_event_staticnorm,0.9843340316290644,1,1.1480186717629335,1.2630656867257823,0,1
10,10240,0.46696579275400535,,0.9327081817739343,oracle_loss_macro_subtype_event_staticnorm,0.9327081817739343,1,1.1286794734920107,1.1968210610145742,0,1
15,15360,0.4595141992904246,,0.9554391944069495,oracle_loss_macro_subtype_event_staticnorm,0.9554391944069495,1,1.110668602636677,1.225988763398871,0,1
20,20480,0.44682909337764914,,0.9214710493393151,oracle_loss_macro_subtype_event_staticnorm,0.9214710493393151,1,1.0800080727113852,1.1824019350478825,0,1
25,25600,0.46042455327794113,,0.9494245276158271,oracle_loss_macro_subtype_event_staticnorm,0.9494245276158271,1,1.1128689733603263,1.2182709369326024,0,1
30,30720,0.4596714768219196,,0.95672193920784,oracle_loss_macro_subtype_event_staticnorm,0.95672193920784,1,1.1110487502282018,1.2276347401616061,0,1
35,35840,0.44760450386093,,0.931023491834115,oracle_loss_macro_subtype_event_staticnorm,0.931023491834115,1,1.081882278294728,1.194659321211434,0,1
40,40960,0.46030563610838726,,0.9364987539449211,oracle_loss_macro_subtype_event_staticnorm,0.9364987539449211,1,1.1125815446655398,1.2016850009865645,0,1
45,46080,0.47079650150165736,,0.9773181551589856,oracle_loss_macro_subtype_event_staticnorm,0.9773181551589856,1,1.137938486463607,1.254063140286341,0,1
49,50176,0.4965060151492556,,1.0047068389533418,oracle_loss_macro_subtype_event_staticnorm,1.0047068389533418,1,1.2000796556408388,1.2892074161049687,0,1
