policy,steps,reward_mean,instant_mae,oracle_loss_mean,dtw_mean,power_mean,peak_power_max,event_rate,warmup_abort_count,switches_per_step,always_on_sensor_count,always_off_sensor_count,mid_duty_sensor_count,duty_entropy,duty_min,duty_max,duty_std,oracle_loss_subtype_particle,steps_subtype_particle,oracle_loss_subtype_flux,steps_subtype_flux,oracle_loss_subtype_thermal,steps_subtype_thermal,oracle_loss_macro_subtype_event,macro_subtype_event_count,seed,run_dir,eval_steps_per_start,eval_start_count,diagnostic_privilege,oracle_loss_subtype_particle_staticnorm,oracle_loss_subtype_flux_staticnorm,oracle_loss_subtype_thermal_staticnorm,oracle_loss_macro_subtype_event_staticnorm,margin_loss_vs_custom_ppo
context_alert_bandit_t0p35,5752,-0.9407660552505875,202.909922837649,0.3289851815942441,202.79508604242525,0.6951321279554937,1.48,0.3866481223922114,0,0.002115574103054541,0,2,1,0.22758676363049044,0.0,0.9624478442280946,0.34511296148782183,0.916160156302478,184,0.8023600194874301,1223,0.21479580268152199,817,0.6444386594904767,3,1101,/data/zhangzhuyu/tmp/v83a_traincal_runs/v83a_traincal_seed1101,1024,6,supplied_synthetic_warning_scores,0.9642329368172515,1.7346713566716125,0.8058051206390322,1.1682364713759654,
context_alert_bandit_t0p5,5752,-0.9423533375720432,202.96073841404785,0.32964947675010564,202.8440683539756,0.691230876216968,1.48,0.3866481223922114,0,0.002115574103054541,0,2,1,0.22278584685904973,0.0,0.963490959666203,0.3457471965343262,0.9342388129266708,184,0.7999780112001755,1223,0.2214286337779851,817,0.6518818193016105,3,1101,/data/zhangzhuyu/tmp/v83a_traincal_runs/v83a_traincal_seed1101,1024,6,supplied_synthetic_warning_scores,0.9832602172010764,1.7295215468021048,0.8306881453310393,1.1811566364447401,
event_label_reference_l8,5752,-0.9413780673647651,202.91397816133872,0.32961720980462234,202.7986282847717,0.694499304589708,1.48,0.3866481223922114,0,0.002115574103054541,0,2,1,0.22713510305111853,0.0,0.9624478442280946,0.34512838116446937,0.916160156302478,184,0.8021808071328496,1223,0.2165723228722476,817,0.6449710954358584,3,1101,/data/zhangzhuyu/tmp/v83a_traincal_runs/v83a_traincal_seed1101,1024,6,exact_final_event_subtype,0.9642329368172515,1.7342839064862816,0.8124697251086449,1.1703288561373928,
context_alert_bandit_t0p35,5608,-0.8838663432114064,112.33826853022452,0.45663074034336787,109.36778756400467,0.7879136947218262,2.12,0.6212553495007133,0,0.010760359074965815,0,1,5,0.654061677511418,0.0,0.3543152639087018,0.13420855390391342,0.9006998677720052,363,0.7369385211439097,1831,0.263134719890564,1290,0.6335910362688263,3,1102,/data/zhangzhuyu/tmp/v83a_traincal_runs/v83a_traincal_seed1102,1024,6,supplied_synthetic_warning_scores,0.8838132653484726,1.1913915952432033,0.8679934226387337,0.9810660944101365,
context_alert_bandit_t0p5,5608,-0.8849786877721098,112.45586471257928,0.45847727386320863,109.49638969465319,0.7836733238231098,2.12,0.6212553495007133,0,0.010760359074965815,0,1,5,0.6506127752954199,0.0,0.36483594864479313,0.13449593428236808,0.9016315971934763,363,0.7492430382665065,1831,0.2645254538589439,1290,0.6384666964396423,3,1102,/data/zhangzhuyu/tmp/v83a_traincal_runs/v83a_traincal_seed1102,1024,6,supplied_synthetic_warning_scores,0.8847275264157565,1.2112840257008117,0.8725809888014053,0.9895308469726579,
event_label_reference_l8,5608,-0.8838663432114064,112.33826853022452,0.45663074034336787,109.36778756400467,0.7879136947218262,2.12,0.6212553495007133,0,0.010760359074965815,0,1,5,0.654061677511418,0.0,0.3543152639087018,0.13420855390391342,0.9006998677720052,363,0.7369385211439097,1831,0.263134719890564,1290,0.6335910362688263,3,1102,/data/zhangzhuyu/tmp/v83a_traincal_runs/v83a_traincal_seed1102,1024,6,exact_final_event_subtype,0.8838132653484726,1.1913915952432033,0.8679934226387337,0.9810660944101365,
context_alert_bandit_t0p35,5269,-1.1637828567934616,201.28749204498126,0.4900672726691983,201.1446442886305,1.2866198519643195,1.94,0.5390017081040046,0,0.018697798025816247,0,1,5,0.7760266931857616,0.0,0.6308597456822926,0.21431981006939227,0.9556954122971797,69,0.9398158201953677,1603,0.1553434904486145,1168,0.6836182409803873,3,1103,/data/zhangzhuyu/tmp/v83a_traincal_runs/v83a_traincal_seed1103,1024,6,supplied_synthetic_warning_scores,0.9911993297196399,2.1677447597988717,0.4496726427699669,1.2028722440961594,
context_alert_bandit_t0p5,5269,-1.1612296162289328,201.27500754615667,0.4876318052503272,201.1289204600153,1.2857088631618903,1.94,0.5390017081040046,0,0.018697798025816247,0,1,5,0.7789406026544892,0.0,0.6204213323211235,0.21126287875704788,0.9511937641579172,69,0.9347410283973364,1603,0.15467843495003164,1168,0.6802044091684284,3,1103,/data/zhangzhuyu/tmp/v83a_traincal_runs/v83a_traincal_seed1103,1024,6,supplied_synthetic_warning_scores,0.9865304461393103,2.156039430849455,0.4477475072990642,1.1967724614292765,
event_label_reference_l8,5269,-1.1637828567934616,201.28749204498126,0.4900672726691983,201.1446442886305,1.2866198519643195,1.94,0.5390017081040046,0,0.018697798025816247,0,1,5,0.7760266931857616,0.0,0.6308597456822926,0.21431981006939227,0.9556954122971797,69,0.9398158201953677,1603,0.1553434904486145,1168,0.6836182409803873,3,1103,/data/zhangzhuyu/tmp/v83a_traincal_runs/v83a_traincal_seed1103,1024,6,exact_final_event_subtype,0.9911993297196399,2.1677447597988717,0.4496726427699669,1.2028722440961594,
context_alert_bandit_t0p35,5464,-0.46542748135290885,8.679564216399223,0.4595123916828838,4.717329610509375,1.49400439238653,2.12,0.5104319180087847,0,0.01519311733479773,0,0,6,0.9172723183709761,0.25036603221083453,0.6526354319180088,0.156684222158099,0.929488101923788,74,0.9131321375997068,1548,0.5472910759943412,1167,0.796637105172612,3,1104,/data/zhangzhuyu/tmp/v83a_traincal_runs/v83a_traincal_seed1104,1024,6,supplied_synthetic_warning_scores,0.902996394355906,2.267299337123002,1.6975836973205913,1.6226264762664997,
