seed,candidate_action_count,dynamic_loss,best_static_loss,dynamic_margin_vs_best_static,receding_action_coverage,mid_duty_sensor_count,always_on_sensor_count,always_off_sensor_count,switches_per_step,warmup_abort_count
1001,35,0.367635080257767,0.4717535200438255,0.1041184397860585,35,6,0,0,0.052589699074074,0
1002,35,0.2673918185674766,0.3179143570790377,0.05052253851156108,35,6,0,0,0.0406539351851851,0
1003,35,0.3484680322758827,0.384968207874206,0.0365001755983233,35,6,0,0,0.0581597222222222,0
1004,35,0.3039971688453483,0.3723124949085306,0.0683153260631823,35,6,0,0,0.0601851851851851,0
1005,35,0.2724125557231471,0.339638363259534,0.0672258075363869,35,6,0,0,0.0436921296296296,0
