action_idx,sensor_ids,sensor_count,has_laser,has_fc4,has_snow_particle_counter,has_radiometer,oracle_loss_mean,oracle_loss_event,oracle_loss_non_event,oracle_loss_subtype_particle,oracle_loss_subtype_flux,oracle_loss_subtype_thermal,steps_subtype_particle,steps_subtype_flux,steps_subtype_thermal,power_mean,peak_max,soc_min,energy_deficit_total,energy_deficit_steps,energy_guard_dropped,warmup_abort_count,always_on_sensor_count,always_off_sensor_count,mid_duty_sensor_count,duty_entropy,switches_per_step,duty__met_station_core,duty__radiometer_basic,duty__surface_temp_ir,duty__ultrasonic_anemometer_hd,duty__shielded_thermo_hygro,duty__snow_particle_counter,duty__laser_disdrometer,duty__fc4_flux
11,met_station_core|radiometer_basic|ultrasonic_anemometer_hd,3,False,False,False,True,0.2699664816900622,0.27713103257515964,0.2501586057136164,inf,inf,inf,0,0,0,1.3599999999999997,1.81,0.0,0.0,0,0,0,3,5,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
3,met_station_core|radiometer_basic,2,False,False,False,True,0.2702748075535055,0.27696588521506244,0.25177594578331886,inf,inf,inf,0,0,0,0.7799999999999999,1.03,0.0,0.0,0,0,0,2,6,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18,met_station_core|radiometer_basic|shielded_thermo_hygro,3,False,False,False,True,0.27062741999543505,0.2772852434439862,0.2522204963435583,inf,inf,inf,0,0,0,1.3000000000000003,1.73,0.0,0.0,0,0,0,3,5,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
56,met_station_core|radiometer_basic|fc4_flux,3,False,True,False,True,0.2743397264421219,0.2816696384069609,0.25407467571580233,inf,inf,inf,0,0,0,1.6400000000000003,2.23,0.0,0.0,0,0,0,3,5,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
7,met_station_core|radiometer_basic|surface_temp_ir,3,False,False,False,True,0.2858415351147414,0.2920108524131331,0.2687851872897762,inf,inf,inf,0,0,0,1.16,1.53,0.0,0.0,0,0,0,3,5,0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
22,met_station_core|radiometer_basic|surface_temp_ir|shielded_thermo_hygro,4,False,False,False,True,0.28629820069181733,0.2925448221590449,0.26902812957654104,inf,inf,inf,0,0,0,1.68,2.23,0.0,0.0,0,0,0,4,4,0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
30,met_station_core|radiometer_basic|snow_particle_counter,3,False,False,True,True,0.28690850638668053,0.2934391137331407,0.2688532978405847,inf,inf,inf,0,0,0,1.4600000000000004,1.9500000000000002,0.0,0.0,0,0,0,3,5,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
45,met_station_core|radiometer_basic|laser_disdrometer,3,True,False,False,True,0.29185796016827226,0.29971104468952153,0.27014649119775963,inf,inf,inf,0,0,0,1.6000000000000003,2.1799999999999997,0.0,0.0,0,0,0,3,5,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
25,radiometer_basic|ultrasonic_anemometer_hd|shielded_thermo_hygro,3,False,False,False,True,0.3010821095012943,0.3020904828556516,0.2982942537568948,inf,inf,inf,0,0,0,1.4600000000000004,1.96,0.0,0.0,0,0,0,3,5,0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
21,radiometer_basic|surface_temp_ir|shielded_thermo_hygro,3,False,False,False,True,0.30474641748151043,0.3073594272235765,0.2975222140769748,inf,inf,inf,0,0,0,1.2600000000000002,1.68,0.0,0.0,0,0,0,3,5,0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
