feature_set,model,seeds,mean_top1_accuracy,mean_top3_accuracy,mean_action_cost_regret,mean_gain_vs_static,mean_fraction_recovered,positive_gain_seeds
alert_context,extra_trees_cost_regression,5,0.17578125,,0.042971416211609416,0.00961834702692512,0.18562459976710716,5
alert_context,hist_gradient_boosting,5,0.18012152777777776,0.3572048611111111,0.04447281509185107,0.008116948146683473,0.153644040200797,4
alert_context,multinomial_logistic,5,0.18359375,0.3548611111111111,0.04436581696241369,0.00822394627612084,0.15446244326491826,5
alert_context,ridge_cost_regression,5,0.16484375,,0.04468725863197405,0.007902504606560494,0.15203515708902662,5
complete_online_state,extra_trees_cost_regression,5,0.14314236111111112,,0.03998361314103628,0.012606150097498256,0.23121833495941466,5
complete_online_state,hist_gradient_boosting,5,0.18263888888888888,0.32881944444444444,0.04778993583491279,0.004799827403621748,0.08873022441430749,4
complete_online_state,multinomial_logistic,5,0.1306423611111111,0.2828125,0.049522170196804736,0.0030675930417298023,0.044175724057765,2
complete_online_state,ridge_cost_regression,5,0.11119791666666667,,0.04701186483208504,0.005577898406449499,0.10315654535762446,5
