seed,macro_margin_pdppo_vs_validation_selected_static,step_margin_pdppo_vs_validation_selected_static,macro_margin_pdppo_vs_aoi,macro_margin_pdppo_vs_round_robin,macro_margin_pdppo_vs_random,switches_per_step,warmup_abort_count
117,0.0313336771892713,0.0434718654796597,0.104732721372032,0.100620440532777,0.0979002486406743,0.0028490028490028,0.0
118,0.048653207814291,0.0709247537706687,0.0998607198609753,0.0982404601290617,0.0932177459211253,0.0043956043956043,0.0
119,0.0896049228196436,0.256736739961525,0.2475100615569641,0.2595353553853508,0.2675738011193085,0.0035816035816035,0.0
120,0.0518479406272796,0.0910175479507415,0.1659548614968964,0.1515258913281891,0.1696811259511537,0.0039072039072039,0.0
121,0.0823027823225341,0.0675127357385463,0.1271753435381661,0.1317549026828582,0.1344743525584142,0.0033374033374033,0.0
122,0.1165990737403698,0.248573194855453,0.2131460262445866,0.2056886034777684,0.2243485055525121,0.0039072039072039,0.0
123,0.0191283757538114,0.0510672439304471,0.0906482035674077,0.0910426417671774,0.0879481030843202,0.0039886039886039,0.0
124,0.0959974572339574,0.2033777812084736,0.2236461487614889,0.2087904550530968,0.2665638201037341,0.0038258038258038,0.0
125,0.0864569729530346,0.0993880896239716,0.1141723028455269,0.1185378991618026,0.1131031913831243,0.0041514041514041,0.0
126,0.1237329071679497,0.0547959496093424,0.292906079068954,0.2709461300384984,0.2556558680925244,0.0041514041514041,0.0
127,0.0522318788147093,0.0796036869005547,0.1412660862062666,0.1288036527522355,0.1620584768768138,0.0036630036630036,0.0
128,0.0416999461412433,0.0704806264457149,0.1198194983543052,0.1331175607037966,0.1301596934384097,0.0029304029304029,0.0
129,0.0663324302165326,0.1647952896369136,0.0920787838568932,0.0833121904612355,0.0946884539092937,0.0047212047212047,0.0
130,0.1083017094337061,0.256965108274926,0.2790459219144271,0.2949889668696904,0.2722707000882834,0.0032560032560032,0.0
131,0.0591727580660452,0.0499906525228655,0.1163025019772943,0.112234730097586,0.0927722568138178,0.0033374033374033,0.0
132,0.0886176321894798,0.1089893339094487,0.124627305578268,0.1274612290309067,0.14001652593605,0.0034188034188034,0.0
133,0.084842937810724,0.2708343953063377,0.1855622170040944,0.2024609295101711,0.1819525988239443,0.0036630036630036,0.0
134,0.1349215897387701,0.3118233609252452,0.1859168426346054,0.2256356106966714,0.1779304810582065,0.0043142043142043,0.0
135,0.1163232423868796,0.154361268162575,0.118090482501233,0.0991824723558898,0.1087825199193222,0.0036630036630036,0.0
136,0.0531281669298655,0.0623017252542013,0.1291958176556075,0.1261283489348892,0.1273286354868368,0.0035002035002035,0.0
137,0.1424653772857004,0.4822628542829079,0.1853502619586636,0.1842645396326707,0.194081190099852,0.0033374033374033,0.0
138,0.0580717782889876,0.0937161562897017,0.1303963332591587,0.1294255853800339,0.1161258887297537,0.0028490028490028,0.0
139,0.0801152707614165,0.3218215913116182,0.1834996315531947,0.1928993434720838,0.1808931805549485,0.0029304029304029,0.0
140,0.0911429845282831,0.1765009506561909,0.1747235306733832,0.1840124525393904,0.2070225853418623,0.0046398046398046,0.0
