metric_cn,pdppo,fixed_schedule,relative_reduction_percent,wins,total_seeds,mean_paired_difference,ci95_low,ci95_high
平均多步预测损失,1.401227216224375,1.5591985871413765,10.131574785904919,24,24,0.15797137091700128,0.11610006575298068,0.205185066788664
事件类型等权归一化损失,0.9404330480261075,1.0205590905350443,7.851190906244291,24,24,0.08012604250893696,0.06739779887842717,0.09303511837487409
