policy_seed,scene_seed,selected_update,oracle_loss_mean,macro_score,warmup_abort_count,switches_per_step,always_on_sensor_count,always_off_sensor_count,mid_duty_sensor_count
7261,6811,25,0.444475202100,0.879972927344,0,0.025474019395,0,0,6
7262,6812,5,0.525298885063,1.141172336209,0,0.016789694601,0,0,5
7263,6811,15,0.542858117950,1.092628436395,0,0.016500217108,0,0,4
7264,6812,15,0.544564339039,1.166546972979,0,0.012737009697,0,1,4
