update,timesteps,oracle_loss_mean,oracle_loss_macro_subtype_event,oracle_loss_macro_subtype_event_staticnorm,selection_score_name,selection_score,validation_scene_count,ordinary_static_ratio_mean,macro_static_ratio_mean,behavior_failure_count,behavior_valid_scene_count
5,5120,0.5464244671699513,,1.0269914539551495,oracle_loss_mean,0.5464244671699513,1,1.1489261789458733,1.2134455013996377,0,1
10,10240,0.5703620496084719,,1.0120913642304887,oracle_loss_mean,0.5703620496084719,1,1.1992579572184179,1.1958402459934616,0,1
15,15360,0.4969992665889246,,0.9154680487744997,oracle_loss_mean,0.4969992665889246,1,1.045003477348526,1.0816746148980463,0,1
20,20480,0.49167379496551195,,0.9101717186159298,oracle_loss_mean,0.49167379496551195,1,1.0338060033498568,1.07541671666521,0,1
25,25600,0.4917759728244467,,0.9093497701834471,oracle_loss_mean,0.4917759728244467,1,1.0340208451515915,1.07444554049433,0,1
30,30720,0.5006238050264074,,0.952434994680153,oracle_loss_mean,0.5006238050264074,1,1.0526245253572057,1.1253530447787858,0,1
35,35840,0.49961880170546163,,0.9134277097362428,oracle_loss_mean,0.49961880170546163,1,1.0505113794518945,1.079263844859242,0,1
40,40960,0.49880093368362094,,0.9377819563165121,oracle_loss_mean,0.49880093368362094,1,1.0487917090533814,1.1080396938100707,0,1
45,46080,0.4960118946013002,,0.9600387544214662,oracle_loss_mean,0.4960118946013002,1,1.0429274035394323,1.1343372948582642,0,1
49,50176,0.5138322959852909,,0.9625593667399083,oracle_loss_mean,0.5138322959852909,1,1.080397039142375,1.1373155335444836,0,1
