policy,steps,reward_mean,instant_mae,oracle_loss_mean,dtw_mean,power_mean,peak_power_max,event_rate,warmup_abort_count,switches_per_step,always_on_sensor_count,always_off_sensor_count,mid_duty_sensor_count,duty_entropy,duty_min,duty_max,duty_std,oracle_loss_event,oracle_loss_non_event,oracle_loss_subtype_particle,steps_subtype_particle,oracle_loss_subtype_flux,steps_subtype_flux,oracle_loss_subtype_thermal,steps_subtype_thermal,oracle_loss_macro_subtype_event,macro_subtype_event_count,oracle_loss_subtype_particle_staticnorm,oracle_loss_subtype_flux_staticnorm,oracle_loss_subtype_thermal_staticnorm,oracle_loss_macro_subtype_event_staticnorm
full_open_unconstrained,2304,-0.18622602802088817,1.4436532916306313,0.18622081968755488,1.3945305805657955,3.4400000000000004,4.22,0.5659722222222222,0,0.0,6,0,0,-0.0,1.0,1.0,0.0,0.24452537772005734,0.11019167601317167,0.1697754077032673,417,0.3237423657093729,525,0.21574587164992126,362,0.23642121502085386,3,0.3527452125947616,1.6411028451000262,0.7511252826173267,0.9149911134373715
validation_selected_static,2304,-0.20610835504553845,3.953105568269162,0.2061066189344274,3.898639561740103,1.22,1.5,0.5659722222222222,0,0.0,2,4,0,-0.0,0.0,1.0,0.4714045207910317,0.2854445149730662,0.10265000250004232,0.1994792985008489,417,0.33292052756107987,525,0.31561741182446806,362,0.28267241262879894,3,0.4144614847924272,1.687628444227656,1.0988308413163062,1.0669735901121298
round_robin,2304,-0.22114174881302617,6.852403748267672,0.2210306377019151,3.968482916658263,1.0954687499999998,1.5,0.5659722222222222,0,0.0547112462006079,0,0,6,0.8522544866882571,0.1640625,0.5078125,0.14038366637441202,0.2963176119324117,0.12285642330534756,0.2244209130819467,417,0.35488140806555746,525,0.29420416013888234,362,0.29116882709546216,3,0.4662830958071575,1.7989517287098402,1.024280007035731,1.0965049438509096
custom_ppo,2304,-0.22524543532428842,20.93816428018765,0.22521997236132543,17.049821781701162,1.1327777777777779,1.5,0.5659722222222222,0,0.01244753220437111,0,1,5,0.759231215698251,0.0,0.5086805555555556,0.19418786291308748,0.29563836247711645,0.133394391650334,0.2051904223126759,417,0.3410350323149136,525,0.333990681216697,362,0.2934053786147622,3,0.4263275825412778,1.7287621920734624,1.1627978922698268,1.105962555628189
feasible_static_projected,2304,-0.22716045107974459,2.2285207749782305,0.22715871496863352,2.1815858000132073,1.0199999999999998,1.22,0.5659722222222222,0,0.0,2,4,0,-0.0,0.0,1.0,0.47140452079103173,0.30598033099018174,0.12437532767653466,0.20718909941202732,417,0.3403072130112421,525,0.3699978185786727,362,0.3058313770006474,3,0.43048026747872903,1.7250727573361928,1.288157747456955,1.1479035907572923
random,2304,-0.22999277944817567,24.44342216658136,0.22983132111484236,18.42262250153939,1.1278124999999999,1.5,0.5659722222222222,0,0.0806194818352873,0,0,6,0.9020710352052186,0.2708333333333333,0.484375,0.07185486835616277,0.29435438911739076,0.14569324043951928,0.2265555090371439,417,0.3542128057068302,525,0.28564296448757637,362,0.2888037597438502,3,0.47071818163146006,1.7955624743231193,0.9944739650755682,1.0869182070100492
aoi,2304,-0.23844907100792304,6.01181317899378,0.2382285848968119,3.402879810388311,1.1446875,1.48,0.5659722222222222,0,0.11014618613402807,0,0,6,0.9181201665217876,0.328125,0.34375,0.00736569563735987,0.2918033679444457,0.16836706780269742,0.20182346803643147,417,0.35401547165853636,525,0.3052295110708113,362,0.2870228169219264,3,0.419332005160327,1.7945621558526574,1.0626650744827602,1.092186411831915
