seed,custom_ordinary,static_ordinary,feasible_static_ordinary,aoi_ordinary,round_robin_ordinary,random_ordinary,full_open_ordinary,custom_macro_staticnorm,static_macro_staticnorm,feasible_static_macro_staticnorm,aoi_macro_staticnorm,round_robin_macro_staticnorm,random_macro_staticnorm,full_open_macro_staticnorm,warmup_abort,always_on,always_off,mid_duty,switches_per_step,bc_accuracy,bc_unique_actions
6871,0.475389011,0.420823432,0.461377654,0.486337059,0.470664789,0.675664549,0.501313732,1.029034945,0.914900467,1.004379999,1.042981223,1.031189739,1.371426727,1.063724889,0,0,1,4,0.014256767,0.829,22
6872,0.386147288,0.276648124,0.292455707,0.316434683,0.318773700,0.330843162,0.309108898,0.647489872,0.426915093,0.533534407,0.560643709,0.556834572,0.589691538,0.547401994,0,0,3,3,0.001447387,0.830
