seed,policy_seed,selected_checkpoint_update,pdppo_ordinary,pdppo_macro,static_ordinary_margin,static_macro_margin,dynamic_ordinary_margin,dynamic_macro_margin,full_open_ordinary_margin,full_open_macro_margin,warmup_abort_count,always_on_sensor_count,always_off_sensor_count,mid_duty_sensor_count,switches_per_step,power_mean,peak_power_max
6901,7491,10,0.4272033694998956,0.8334781195670576,-0.033867555579895015,-0.05172888657068697,0.0403715829290579,0.05299798212442641,0.038807831670662096,0.06331206291664992,0,0,0,4,0.0218555507309306,1.202934027777778,2.06
6902,7492,35,0.3833917236253101,1.173356084672658,-0.0338259067907023,-0.13801008532244396,0.012804219001231576,0.023911980224640583,-0.01658394545665942,-0.11120622985064643,0,0,0,6,0.0600665798234187,1.4908506944444442,2.06
6903,7493,20,0.3854223844714902,0.9091350960980202,-0.027843382756044588,-0.08506784060627914,0.022151564440314908,0.031353307814015796,-0.0030853638228209856,-0.009921194958548263,0,0,0,6,0.0288030105659284,1.4708506944444446,1.92
6904,7494,35,0.4548907482214482,0.9459438063831456,-0.0571069002355305,-0.21643417607537663,-0.007592704917069315,-0.03255136922112556,-0.03857812603601568,-0.09505275676909541,0,0,1,3,0.0160660008684324,1.3958767361111108,2.06
