pass,changed_label,calm,particle,flux,thermal,selection_primary,selection_secondary
0,initial,9,17,6,9,1.2712392286303582,2.4189423690180414
1,calm,9,17,6,9,1.2712392286303582,2.4189423690180414
1,calm,13,17,6,9,1.2388264531567854,2.364364181895195
1,calm,31,17,6,9,1.3301359450448482,2.5153848581673306
1,calm,5,17,6,9,1.3031780653679417,2.4812307253870216
1,particle,13,17,6,9,1.2388264531567854,2.364364181895195
1,particle,13,19,6,9,1.1656469687788475,2.2076809657399963
1,particle,13,22,6,9,1.2509801048938352,2.371739262792392
1,particle,13,21,6,9,1.1457739587909115,2.172614454109138
1,flux,13,21,6,9,1.1457739587909115,2.172614454109138
1,flux,13,21,4,9,1.1396291152094362,2.1655675441967324
1,flux,13,21,14,9,1.1344478497669346,2.157450147569474
1,flux,13,21,10,9,1.2405772242868942,2.3298045065601465
1,thermal,13,21,14,9,1.1344478497669346,2.157450147569474
1,thermal,13,21,14,14,1.241070951751232,2.2827735956750095
1,thermal,13,21,14,13,1.1035403040162104,2.1088676018299104
1,thermal,13,21,14,11,1.158044517931731,2.1891825450798983
2,calm,9,21,14,13,1.1531188845767164,2.1905370676944917
2,calm,13,21,14,13,1.1035403040162104,2.1088676018299104
2,calm,31,21,14,13,1.4112942684938439,2.5970856503636424
2,calm,5,21,14,13,1.1597061409257188,2.223283786589393
2,particle,13,17,14,13,1.2356819498191316,2.3624741737085837
2,particle,13,19,14,13,1.1553093042204332,2.1901987779623884
2,particle,13,22,14,13,1.217615179545144,2.323029702114777
2,particle,13,21,14,13,1.1035403040162104,2.1088676018299104
2,flux,13,21,6,13,1.1074432464003239,2.1159441232438545
2,flux,13,21,4,13,1.1110965243977844,2.1213711995416955
2,flux,13,21,14,13,1.1035403040162104,2.1088676018299104
2,flux,13,21,10,13,1.1828643023483545,2.243911818311922
2,thermal,13,21,14,9,1.1344478497669346,2.157450147569474
2,thermal,13,21,14,14,1.241070951751232,2.2827735956750095
2,thermal,13,21,14,13,1.1035403040162104,2.1088676018299104
2,thermal,13,21,14,11,1.158044517931731,2.1891825450798983
