seed,ordinary_margin_vs_static,macro_margin_vs_static,ordinary_margin_vs_best_dynamic,best_dynamic,always_on,always_off,mid_duty,switches_per_step,warmup_aborts,selected_update,validation_ratio
1301,-0.00927371909751351,0.021799603818422053,0.06790135836086442,random,0,0,6,0.0308293530178028,0,20,1.0237090665482302
1302,0.024866066894092986,0.07298309797998237,0.027840575516974053,aoi,0,0,6,0.0425531914893617,0,20,0.9839992356607737
1303,0.03587418698912692,0.014178869825982154,0.06572102571145577,random,0,1,5,0.0393689390649876,0,20,1.1070718815957583
