update,timesteps,oracle_loss_mean,oracle_loss_macro_subtype_event,oracle_loss_macro_subtype_event_staticnorm,selection_score_name,selection_score,validation_scene_count,ordinary_static_ratio_mean,macro_static_ratio_mean,behavior_failure_count,behavior_valid_scene_count
5,5120,0.41415314667877584,,1.0173773216214381,oracle_loss_macro_subtype_event_staticnorm,1.0173773216214381,1,1.021380189758687,1.1877712959244504,0,1
10,10240,0.44963240216990624,,1.095564319640916,oracle_loss_macro_subtype_event_staticnorm,1.095564319640916,1,1.1088787612331041,1.2790533306114722,0,1
15,15360,0.44558016405062517,,1.0720032104614212,oracle_loss_macro_subtype_event_staticnorm,1.0720032104614212,1,1.0988851736619132,1.2515461230211313,0,1
20,20480,0.43913022699901677,,1.1009333411745093,oracle_loss_macro_subtype_event_staticnorm,1.1009333411745093,1,1.0829784058816045,1.2853215749779172,0,1
25,25600,0.44284700733745314,,1.0953447876018403,oracle_loss_macro_subtype_event_staticnorm,1.0953447876018403,1,1.0921446909570816,1.2787970305652572,0,1
30,30720,0.4648385969485389,,1.0553485134113683,oracle_loss_macro_subtype_event_staticnorm,1.0553485134113683,1,1.1463801208945188,1.2321020380410936,0,1
35,35840,0.45816157770362526,,1.0368664335682298,oracle_loss_macro_subtype_event_staticnorm,1.0368664335682298,1,1.12991332536711,1.21052451369479,0,1
40,40960,0.40650223637445987,,0.990557726953648,oracle_loss_macro_subtype_event_staticnorm,0.990557726953648,1,1.0025115942134983,1.1564598601004632,0,1
45,46080,0.4480971582136893,,1.080877885900484,oracle_loss_macro_subtype_event_staticnorm,1.080877885900484,1,1.105092558530308,1.2619071606844878,0,1
49,50176,0.4468806315853726,,1.1205619287466941,oracle_loss_macro_subtype_event_staticnorm,1.1205619287466941,1,1.1020923731920076,1.3082376282477342,0,1
