family,seed_count,mean_ordinary,mean_macro
pdppo,4,0.41523099547285836,0.9479689123100745
best_static,4,0.37456612011399293,0.8426680295365236
best_dynamic,4,0.4296607218179198,0.9844062519157096
oracle,4,0.3127133161974889,0.7281059577056309
