update,timesteps,oracle_loss_mean,oracle_loss_macro_subtype_event,oracle_loss_macro_subtype_event_staticnorm,selection_score_name,selection_score,validation_scene_count,ordinary_static_ratio_mean,macro_static_ratio_mean,behavior_failure_count,behavior_valid_scene_count
5,5120,0.48033108580178424,,1.053123125777894,oracle_loss_macro_subtype_event_staticnorm,1.053123125777894,1,1.200781444571964,1.2464437141719744,0,1
10,10240,0.43500797312299255,,0.9692553156502096,oracle_loss_macro_subtype_event_staticnorm,0.9692553156502096,1,1.087478028816366,1.1471803875995905,0,1
15,15360,0.4695246154151391,,0.9776686143373016,oracle_loss_macro_subtype_event_staticnorm,0.9776686143373016,1,1.1737663095845217,1.1571381057498127,0,1
20,20480,0.47603385853775154,,1.0520838143718787,oracle_loss_macro_subtype_event_staticnorm,1.0520838143718787,1,1.190038790360555,1.2452136175789117,0,1
25,25600,0.4711710562211617,,1.0442022898820653,oracle_loss_macro_subtype_event_staticnorm,1.0442022898820653,1,1.1778822529991726,1.2358852907974027,0,1
30,30720,0.47732788922439795,,1.1101205477574891,oracle_loss_macro_subtype_event_staticnorm,1.1101205477574891,1,1.1932737424241675,1.313904086669252,0,1
35,35840,0.44070987460630323,,0.9966081674082297,oracle_loss_macro_subtype_event_staticnorm,0.9966081674082297,1,1.101732233264758,1.1795543705688454,0,1
40,40960,0.4754126276820898,,1.0584745552420598,oracle_loss_macro_subtype_event_staticnorm,1.0584745552420598,1,1.188485773064102,1.2527774993241305,0,1
45,46080,0.47034342818369623,,1.0417026256357718,oracle_loss_macro_subtype_event_staticnorm,1.0417026256357718,1,1.175813262630296,1.232926766090207,0,1
49,50176,0.46909784808425076,,1.0247230093636939,oracle_loss_macro_subtype_event_staticnorm,1.0247230093636939,1,1.172699432367477,1.2128302213906017,0,1
