seed,ordinary_margin_vs_static,macro_margin_vs_static,ordinary_margin_vs_best_dynamic,best_dynamic,always_on,always_off,mid_duty,switches_per_step,warmup_aborts,selected_update,validation_ratio,particle_margin,flux_margin,thermal_margin
1301,0.004485311355286514,0.07797181532103492,0.08166038881366444,random,0,0,6,0.038211029092488,0,20,1.0311959342059072,0.16472836022461412,0.07606130045746595,-0.006874214718975424
1302,0.049074058469462556,0.10559537884955095,0.05204856709234362,aoi,0,0,6,0.0418294977565494,0,15,1.0129119787304162,-0.020722271707513618,0.10045555019745178,0.23705285805871468
1303,0.04254427388271631,-0.007523871070430843,0.07239111260504516,random,0,0,5,0.0311188305109277,0,20,1.1140593700076813,-0.29516956261442184,-0.01371199650027588,0.28630994590340497
1304,0.041822816096504956,0.1709719246866923,0.03930404431755752,aoi,0,0,5,0.0234476769431176,0,15,1.0026495778864317,0.04935509730962506,0.05670129196648399,0.40685938478396877
1305,0.026304892553727977,0.11044088630883198,0.018719384894615776,aoi,0,0,5,0.0218555507309306,0,5,0.9993374888505564,-0.05318478923001635,-0.013538864219622582,0.39804631237613464
