seed,training_source,model,feature_set,train_rows,test_rows,train_action_coverage,test_action_coverage,top1_action_accuracy,top3_action_accuracy,mean_action_cost_regret,mean_gain_vs_validation_static_action,receding_gain_vs_validation_static_action,fraction_of_receding_gain_recovered,validation_static_action_idx
1301,rl_train_only,extra_trees_cost_regression,alert_context,2048,2304,22,22,0.061197916666666664,,0.05521021386893052,0.008566644243223391,0.0637768581121539,0.13432214280858173,12
1302,rl_train_only,extra_trees_cost_regression,alert_context,2048,2304,22,22,0.09027777777777778,,0.03905848422436975,0.008730883910579402,0.04778936813494915,0.18269511088585336,15
1303,rl_train_only,extra_trees_cost_regression,alert_context,2048,2304,22,22,0.20616319444444445,,0.03628140434415804,0.013252743985503912,0.04953414832966195,0.2675476299159045,14
1304,rl_train_only,extra_trees_cost_regression,alert_context,2048,2304,22,22,0.22786458333333334,,0.0319207381851609,0.01131298381046185,0.04323372199562275,0.26167036489727274,17
1305,rl_train_only,extra_trees_cost_regression,alert_context,2048,2304,22,22,0.16276041666666666,,0.030244412395404652,0.014449366387755921,0.044693778783160575,0.3232970400166758,14
1301,rl_train_only,hist_gradient_boosting,alert_context,2048,2304,22,22,0.12413194444444445,0.2864583333333333,0.05573661201762863,0.008040246094525277,0.0637768581121539,0.1260683942816094,12
1302,rl_train_only,hist_gradient_boosting,alert_context,2048,2304,22,22,0.10850694444444445,0.3511284722222222,0.041467200324404985,0.0063221678105441674,0.04778936813494915,0.13229234989446664,15
1303,rl_train_only,hist_gradient_boosting,alert_context,2048,2304,22,22,0.2504340277777778,0.4366319444444444,0.04136882060427322,0.008165327725388728,0.04953414832966195,0.16484239662397066,14
1304,rl_train_only,hist_gradient_boosting,alert_context,2048,2304,22,22,0.2495659722222222,0.3967013888888889,0.032951675293992996,0.01028204670162975,0.04323372199562275,0.23782469394309305,17
1305,rl_train_only,hist_gradient_boosting,alert_context,2048,2304,22,22,0.2821180555555556,0.5147569444444444,0.026926844067121338,0.017766934716039233,0.044693778783160575,0.3975259018092545,14
1301,rl_train_only,multinomial_logistic,alert_context,2048,2304,22,22,0.11631944444444445,0.2799479166666667,0.057208422833355144,0.006568435278798765,0.0637768581121539,0.10299088843868626,12
