seed,candidate,selected_sensor_ids,steady_cost,condition,operating_condition,event_subtype_id,oracle_loss
7184,candidate_000,cr1000xe_backbone,0.4104,calm,transport,0,0.6837725043296814
7184,candidate_000,cr1000xe_backbone,0.4104,calm,transport,0,0.6987193822860718
7184,candidate_000,cr1000xe_backbone,0.4104,calm,transport,0,0.7185534238815308
7184,candidate_000,cr1000xe_backbone,0.4104,calm,transport,0,0.7427466511726379
7184,candidate_000,cr1000xe_backbone,0.4104,calm,transport,0,0.7675400972366333
7184,candidate_000,cr1000xe_backbone,0.4104,calm,transport,0,0.7921035885810852
7184,candidate_000,cr1000xe_backbone,0.4104,calm,transport,0,0.8136647939682007
7184,candidate_000,cr1000xe_backbone,0.4104,calm,transport,0,0.8316982984542847
7184,candidate_000,cr1000xe_backbone,0.4104,calm,transport,0,0.8394740223884583
7184,candidate_000,cr1000xe_backbone,0.4104,calm,transport,0,0.8378925919532776
7184,candidate_000,cr1000xe_backbone,0.4104,calm,transport,0,0.8282883167266846
7184,candidate_000,cr1000xe_backbone,0.4104,calm,transport,0,0.8144915699958801
7184,candidate_000,cr1000xe_backbone,0.4104,calm,transport,0,0.7994006276130676
7184,candidate_000,cr1000xe_backbone,0.4104,calm,transport,0,0.7833476662635803
7184,candidate_000,cr1000xe_backbone,0.4104,calm,transport,0,0.7691941857337952
7184,candidate_000,cr1000xe_backbone,0.4104,calm,transport,0,0.7578359246253967
7184,candidate_000,cr1000xe_backbone,0.4104,calm,transport,0,0.7531591057777405
7184,candidate_000,cr1000xe_backbone,0.4104,calm,transport,0,0.7531501650810242
7184,candidate_000,cr1000xe_backbone,0.4104,calm,transport,0,0.7551382780075073
7184,candidate_000,cr1000xe_backbone,0.4104,calm,transport,0,0.7568188905715942
7184,candidate_000,cr1000xe_backbone,0.4104,calm,transport,0,0.7585875391960144
7184,candidate_000,cr1000xe_backbone,0.4104,calm,transport,0,0.7600920796394348
7184,candidate_000,cr1000xe_backbone,0.4104,calm,transport,0,0.7603172063827515
7184,candidate_000,cr1000xe_backbone,0.4104,calm,transport,0,0.762260913848877
