policy,steps,reward_mean,instant_mae,oracle_loss_mean,dtw_mean,power_mean,peak_power_max,event_rate,warmup_abort_count,switches_per_step,always_on_sensor_count,always_off_sensor_count,mid_duty_sensor_count,duty_entropy,duty_min,duty_max,duty_std,oracle_loss_event,oracle_loss_non_event,oracle_loss_subtype_particle,steps_subtype_particle,oracle_loss_subtype_flux,steps_subtype_flux,oracle_loss_subtype_thermal,steps_subtype_thermal,oracle_loss_macro_subtype_event,macro_subtype_event_count,oracle_loss_subtype_particle_staticnorm,oracle_loss_subtype_flux_staticnorm,oracle_loss_subtype_thermal_staticnorm,oracle_loss_macro_subtype_event_staticnorm
custom_ppo,2304,-0.4582696867402367,29.60045887626727,0.4582187608143108,19.16730075900903,1.2123524305555557,1.98,0.7230902777777778,0,0.024967433782023447,0,0,5,0.68098438944357,0.029513888888888888,0.8294270833333334,0.2769198886563065,0.5250783437529818,0.28362931696505383,0.5701452848457155,21,0.7568645753661554,836,0.28438650766947066,809,0.5371321226271139,3,0.5601901629245222,1.0729364846021858,0.4952115084642229,0.7094460519969771
full_open_unconstrained,2304,-0.48009991146435244,1.4387633380856675,0.48009470313101904,1.383896835350804,3.4400000000000004,4.22,0.7230902777777778,0,0.0,6,0,0,-0.0,1.0,1.0,0.0,0.5522311340887792,0.291725903796178,0.5662034224896204,21,0.7844019172597302,836,0.3119490663664892,809,0.5541848020386133,3,0.5563171281486852,1.111973611940702,0.5432070915927594,0.7371659438940489
validation_selected_static,2304,-0.5149137350960582,4.098005378210928,0.5149119989849472,4.03884384059154,1.22,1.5,0.7230902777777778,0,0.0,2,4,0,-0.0,0.0,1.0,0.4714045207910317,0.6032659596621561,0.2841946032353703,0.6532592106433142,21,0.8052202544785573,836,0.39327381041973863,809,0.6172510918472033,3,0.641852863417525,1.141485831534313,0.684820522933475,0.8227197392951043
aoi,2304,-0.5286103332424924,3.774768965414835,0.5282848124091591,2.441759053605992,1.7074999999999998,2.12,0.7230902777777778,0,0.16297582862932405,0,0,6,0.9996477221810774,0.484375,0.515625,0.010737254233379324,0.6134596004576779,0.3058691433044063,0.6637768887338185,21,0.8396009394016705,836,0.3784647643501664,809,0.6272808641618851,3,0.6521868957417626,1.1902241295340241,0.6590330476304885,0.8338146909687584
feasible_static_projected,2304,-0.5337718300494468,2.2005223732722503,0.5337692258827802,2.1581785327631438,1.54,1.8399999999999999,0.7230902777777778,0,0.0,3,3,0,-0.0,0.0,1.0,0.5,0.634923195656465,0.26962735496905155,0.8260541884672075,21,0.8776542898534873,836,0.3791296905912781,809,0.6942793896373244,3,0.8116307241708592,1.2441688237236752,0.6601909053979923,0.9053301510975089
random,2304,-0.5371428935958539,4.485607686312643,0.5369684144291872,2.618490125905187,1.6031770833333334,2.12,0.7230902777777778,0,0.08597481545809814,0,0,6,0.9764325105444649,0.3255208333333333,0.59375,0.08584538413247303,0.6241358633489669,0.3093493393502639,0.7329314592338744,21,0.8553654016864499,836,0.38236503323312154,809,0.6568872980511485,3,0.7201339807130693,1.2125719408809779,0.6658247131450464,0.8661768782463645
round_robin,2304,-0.5570554851026583,8.299969941597258,0.5569426378804363,4.337314087461477,1.4805208333333333,1.8599999999999999,0.7230902777777778,0,0.056954696772325945,0,0,6,0.9686728512078564,0.3697916666666667,0.6119791666666666,0.08115390989676119,0.6452359231222434,0.3263836830013598,0.8511196772257487,21,0.8716494375349659,836,0.40592163772643425,809,0.709563584162383,3,0.8362585525588985,1.235656303324537,0.7068445974603275,0.9262531511145875
