pass,changed_label,calm,particle,flux,thermal,selection_primary,selection_secondary
0,initial,18,21,32,14,1.1608566018686217,2.2332041212985976
1,calm,18,21,32,14,1.1608566018686217,2.2332041212985976
1,calm,11,21,32,14,1.15050667478301,2.23134210532197
1,calm,16,21,32,14,1.1134317670361353,2.1560152922159155
1,calm,7,21,32,14,1.1583469535304067,2.2402247773524433
1,particle,16,21,32,14,1.1134317670361353,2.1560152922159155
1,particle,16,19,32,14,1.1058586424236443,2.1467346797374307
1,particle,16,18,32,14,1.0093114368614329,1.9626975839853764
1,particle,16,20,32,14,1.041088760851252,2.0098756377120415
1,flux,16,18,32,14,1.0093114368614329,1.9626975839853764
1,flux,16,18,30,14,1.0618770250488117,2.029809602984405
1,flux,16,18,34,14,1.0569566902911038,2.0397959900404325
1,flux,16,18,33,14,1.0162187860906366,1.976591995730976
1,thermal,16,18,32,14,1.0093114368614329,1.9626975839853764
1,thermal,16,18,32,12,1.0482912998140963,2.012522978260634
1,thermal,16,18,32,9,0.9656370178212664,1.9128005528074357
1,thermal,16,18,32,13,0.9976888277869396,1.9556106112088638
2,calm,18,18,32,9,1.0336404884507926,2.005898082388108
2,calm,11,18,32,9,1.0437980632042438,2.041340712864837
2,calm,16,18,32,9,0.9656370178212664,1.9128005528074357
2,calm,7,18,32,9,1.0279302510539794,2.0038816405933058
2,particle,16,21,32,9,1.0480008729712649,2.081069348673016
2,particle,16,19,32,9,1.0470957471007876,2.0802221626924977
2,particle,16,18,32,9,0.9656370178212664,1.9128005528074357
2,particle,16,20,32,9,0.9885846388444506,1.9502138290544009
2,flux,16,18,32,9,0.9656370178212664,1.9128005528074357
2,flux,16,18,30,9,1.016575934452253,1.9820299753551867
2,flux,16,18,34,9,1.0124730763455307,1.9898074975970608
2,flux,16,18,33,9,0.9749034239996726,1.9220736959169797
2,thermal,16,18,32,14,1.0093114368614329,1.9626975839853764
2,thermal,16,18,32,12,1.0482912998140963,2.012522978260634
2,thermal,16,18,32,9,0.9656370178212664,1.9128005528074357
2,thermal,16,18,32,13,0.9976888277869396,1.9556106112088638
