pass,changed_label,calm,particle,flux,thermal,selection_primary,selection_secondary
0,initial,18,15,29,33,1.20552989391957,2.3567962674327125
1,calm,18,15,29,33,1.20552989391957,2.3567962674327125
1,calm,26,15,29,33,1.2340485475156973,2.3590207572540973
1,calm,3,15,29,33,1.206644552603333,2.336053358724558
1,calm,7,15,29,33,1.1914718049774558,2.3161288062157857
1,particle,7,15,29,33,1.1914718049774558,2.3161288062157857
1,particle,7,34,29,33,1.2322471914620943,2.3777472636638977
1,particle,7,22,29,33,1.2599414522484502,2.450554287470298
1,particle,7,17,29,33,1.1113888804142966,2.1898225208188684
1,flux,7,17,29,33,1.1113888804142966,2.1898225208188684
1,flux,7,17,32,33,1.1829137688363207,2.3550090432814943
1,flux,7,17,30,33,1.1917139188677812,2.359338583757941
1,flux,7,17,27,33,1.1146000169946817,2.1960090697155845
1,thermal,7,17,29,33,1.1113888804142966,2.1898225208188684
1,thermal,7,17,29,14,1.1088262422823831,2.184078272155319
1,thermal,7,17,29,12,1.114888909734831,2.2171035293541834
1,thermal,7,17,29,11,1.1085155442194392,2.182711342470831
2,calm,18,17,29,11,1.0922743742034782,2.13564100735415
2,calm,26,17,29,11,1.044271266008726,2.066470696553602
2,calm,3,17,29,11,1.110140694855561,2.185486597463485
2,calm,7,17,29,11,1.1085155442194392,2.182711342470831
2,particle,26,15,29,11,1.235501280595896,2.3731011465909955
2,particle,26,34,29,11,1.1827391866439994,2.2779270693184697
2,particle,26,22,29,11,1.1314186502181447,2.203300219461072
2,particle,26,17,29,11,1.044271266008726,2.066470696553602
2,flux,26,17,29,11,1.044271266008726,2.066470696553602
2,flux,26,17,32,11,1.181318027067027,2.30545840042197
2,flux,26,17,30,11,1.161873378451493,2.2739185800078117
2,flux,26,17,27,11,1.0542582282325652,2.106288404526103
2,thermal,26,17,29,33,1.0462303531463921,2.0713274231244965
2,thermal,26,17,29,14,1.0516630411629142,2.09968622468718
2,thermal,26,17,29,12,1.1062028312853256,2.170099434888637
2,thermal,26,17,29,11,1.044271266008726,2.066470696553602
