scene_seed,policy,steps,reward_mean,instant_mae,oracle_loss_mean,dtw_mean,power_mean,peak_power_max,event_rate,warmup_abort_count,switches_per_step,always_on_sensor_count,always_off_sensor_count,mid_duty_sensor_count,duty_entropy,duty_min,duty_max,duty_std,oracle_loss_event,oracle_loss_non_event,oracle_loss_subtype_particle,steps_subtype_particle,oracle_loss_subtype_flux,steps_subtype_flux,oracle_loss_subtype_thermal,steps_subtype_thermal,oracle_loss_macro_subtype_event,macro_subtype_event_count,oracle_loss_subtype_particle_staticnorm,oracle_loss_subtype_flux_staticnorm,oracle_loss_subtype_thermal_staticnorm,oracle_loss_macro_subtype_event_staticnorm
6811,full_open_unconstrained,2304,-0.3086392913270328,1.697328773660966,0.3086340829936994,1.6481442121611416,4.56,5.46,0.3697916666666667,0,0.0,6,0,0,-0.0,1.0,1.0,0.0,0.5139330012872465,0.1881694284578164,0.3784582587893341,309,0.8066698970135385,311,0.3019524877569798,232,0.4956935478532842,3,0.5477271001877412,0.9541309548719308,0.5668070549468369,0.6895550366688363
6811,aoi,2304,-0.3380497643935054,7.841583121358595,0.3378292782823943,4.146063190049805,1.5181250000000002,2.06,0.3697916666666667,0,0.1094224924012158,0,0,6,0.9181201665217876,0.328125,0.34375,0.0073656956373598,0.5392982784544987,0.2196119310739694,0.3688116356802797,309,0.8473685800166759,311,0.3533952992794842,232,0.52319183832548,3,0.5337659386080502,1.0022694479774463,0.6633724077076436,0.7331359314310468
6811,feasible_static_projected,2304,-0.3506356151335122,2.6784965997741668,0.3506338790224011,2.6153778306735496,1.4,1.64,0.3697916666666667,0,0.0,2,4,0,-0.0,0.0,1.0,0.4714045207910317,0.5459918102179545,0.23600236567625,0.3770916178267943,309,0.7793122668933256,311,0.4581792991094548,232,0.5381943946098583,3,0.5457492168306591,0.9217722888968276,0.8600666319889687,0.7758627125721519
6811,validation_selected_static,2304,-0.3549471855121923,253.6372647663705,0.3549454494010812,253.6328377713546,1.46,1.76,0.3697916666666667,0,0.0,2,4,0,-0.0,0.0,1.0,0.4714045207910317,0.4941394968579213,0.2732696033726874,0.3439128058193956,309,0.7593325888947658,311,0.3387299964589805,232,0.4806584637243807,3,0.4977308843820006,0.8981402811606078,0.6358435830129343,0.6772382495185143
6811,round_robin,2304,-0.3552550986356153,12.68015730578745,0.3551596125245042,6.57152331519633,1.5181250000000002,1.86,0.3697916666666667,0,0.0468953538862353,0,0,6,0.9181201665217876,0.328125,0.34375,0.0073656956373598,0.5599454934730637,0.2349959964307215,0.3904174645838228,309,0.8499492140924049,311,0.3969843030168578,232,0.5457836605643619,3,0.5650351677440367,1.0053218277228246,0.7451950647090058,0.7718506867252891
6811,random,2304,-0.3653417731798771,16.274961982555983,0.3651889954020993,9.763736848921672,1.5092708333333331,2.06,0.3697916666666667,0,0.0770010131712259,0,0,6,0.9153551798077546,0.3020833333333333,0.3828125,0.0301828796019335,0.5677098805443362,0.2463544264343405,0.4155572825458057,309,0.8346869345407011,311,0.4124740572196656,232,0.5542394247687242,3,0.601418994154942,0.9872695693999322,0.774271499967953,0.7876533545076091
6811,custom_ppo,2304,-0.3949470188992477,42.00492195420255,0.3949449934362847,41.62090175641711,1.428993055555556,1.78,0.3697916666666667,0,0.0002894774931249,1,3,2,0.289543841154184,0.0,1.0,0.3919165889811522,0.6035576411501062,0.2725359191579267,0.4061986974238578,309,0.759374016494613,311,0.6575448001124735,232,0.6077058380103147,3,0.5878746981284731,0.8981892818181836,1.2343035635040644,0.9067891811502404
6812,full_open_unconstrained,2304,-0.4059473636705966,1.6849572563417463,0.4053266213036494,1.6355508939160803,4.56,5.46,0.7048611111111112,0,0.0,6,0,0,-0.0,1.0,1.0,0.0,0.4889002864987686,0.2054390921771789,0.3744640277921041,536,0.740174261445815,686,0.2126910523024957,402,0.442443113846805,3,1.0773005801580469,0.8732075875727153,0.4813763217647807,0.8106281631651809
6812,validation_selected_static,2304,-0.4601937567131285,2.7500977996490827,0.4591771576907834,2.690703181049468,1.4,1.64,0.7048611111111112,0,0.0,2,4,0,-0.0,0.0,1.0,0.4714045207910317,0.5605180936938914,0.2167947128173704,0.39806910253255,536,0.7751402865563121,686,0.4108709169746334,402,0.5280267686878318,3,1.1452103360363193,0.9144581416977716,0.9299099731383048,0.9965261502907986
6812,feasible_static_projected,2304,-0.4601937567131285,2.7500977996490827,0.4591771576907834,2.690703181049468,1.4,1.64,0.7048611111111112,0,0.0,2,4,0,-0.0,0.0,1.0,0.4714045207910317,0.5605180936938914,0.2167947128173704,0.39806910253255,536,0.7751402865563121,686,0.4108709169746334,402,0.5280267686878318,3,1.1452103360363193,0.9144581416977716,0.9299099731383048,0.9965261502907986
6812,aoi,2304,-0.4640744305678231,8.047265696568704,0.4635090132252423,4.245312979281607,1.5181250000000002,2.06,0.7048611111111112,0,0.1094224924012158,0,0,6,0.9181201665217876,0.328125,0.34375,0.0073656956373598,0.5417840696339097,0.2762944453199763,0.4188305444515018,536,0.7812562225489679,686,0.2970706183852544,402,0.4990524617952414,3,1.2049392065397946,0.9216733097900318,0.6723496829537506,0.9329873997611924
6812,random,2304,-0.4803642387001038,12.71021391488514,0.4775916656921648,8.189854312545657,1.52390625,2.06,0.7048611111111112,0,0.0804747430887248,0,0,6,0.8967844347305091,0.21875,0.4401041666666667,0.0808271135207276,0.5576807547801087,0.2860383804508969,0.4427990625098125,536,0.7329449269909727,686,0.4117737023428601,402,0.5291725639478818,3,1.2738945573701346,0.8646789071958292,0.931953216120064,1.0235088935620091
6812,round_robin,2304,-0.4871811007649247,12.2650027506101,0.4853498548854836,6.653871726742232,1.5181250000000002,1.86,0.7048611111111112,0,0.0468953538862353,0,0,6,0.9181201665217876,0.328125,0.34375,0.0073656956373598,0.566160375208782,0.2920710846276979,0.4379630046896636,536,0.7996082922155934,686,0.3387188815062318,402,0.5254300594704963,3,1.2599816378140358,0.9433238417191722,0.7666107601924597,0.989972079908556
6812,custom_ppo,2304,-0.5155543725470737,98.39867529201344,0.5024048642239595,96.46907482527486,1.5334809027777776,1.9,0.7048611111111112,0,0.0020987118251555,0,2,4,0.6078286674912371,0.0,0.76953125,0.2671526667730476,0.578688510214185,0.3199532573195023,0.3846410964754646,536,0.7546328942972961,686,0.5371749935050806,402,0.5588163280926137,3,1.1065791254472606,0.8902649057874553,1.215769632611204,1.070871221281973
