pass,changed_label,calm,particle,flux,thermal,selection_primary,selection_secondary
0,initial,11,19,23,12,1.4842178118800202,2.6142055479045663
1,calm,11,19,23,12,1.4842178118800202,2.6142055479045663
1,calm,18,19,23,12,1.4796542828918902,2.6274412261746205
1,calm,3,19,23,12,1.470443448556881,2.616258639711374
1,calm,9,19,23,12,1.4436711320256428,2.5734882261462175
1,particle,9,19,23,12,1.4436711320256428,2.5734882261462175
1,particle,9,16,23,12,1.3796826794483092,2.409908843308111
1,particle,9,21,23,12,1.4557829434277996,2.6041942546148347
1,particle,9,20,23,12,1.3775249071549436,2.4046269094343
1,flux,9,20,23,12,1.3775249071549436,2.4046269094343
1,flux,9,20,27,12,1.383075448399878,2.4054441149089203
1,flux,9,20,33,12,1.3857869114115737,2.404199664922739
1,flux,9,20,30,12,1.3949205855098188,2.4205878782378387
1,thermal,9,20,23,12,1.3775249071549436,2.4046269094343
1,thermal,9,20,23,33,0.9793155031518301,1.9473277620174958
1,thermal,9,20,23,14,1.405926112004299,2.435477476179503
1,thermal,9,20,23,19,1.20141996101749,2.2143813591126733
2,calm,11,20,23,33,1.0086532920515856,1.9838294050806424
2,calm,18,20,23,33,0.9812965477374651,1.9587143597727343
2,calm,3,20,23,33,0.9780084445710374,1.9550209748616507
2,calm,9,20,23,33,0.9793155031518301,1.9473277620174958
2,particle,3,19,23,33,1.0965184670164532,2.1497680975707487
2,particle,3,16,23,33,0.9746412714394592,1.9485472866339746
2,particle,3,21,23,33,1.101727444215804,2.160104080025439
2,particle,3,20,23,33,0.9780084445710374,1.9550209748616507
2,flux,3,16,23,33,0.9746412714394592,1.9485472866339746
2,flux,3,16,27,33,0.9669739094363772,1.9297888458600667
2,flux,3,16,33,33,0.9587153107271875,1.9012482970209255
2,flux,3,16,30,33,0.9686828279228997,1.9323062773957904
2,thermal,3,16,33,12,1.375448162473101,2.3867653838408147
2,thermal,3,16,33,33,0.9587153107271875,1.9012482970209255
2,thermal,3,16,33,14,1.3557410442333224,2.365747805063725
2,thermal,3,16,33,19,1.2254487454226508,2.221142612142967
