pass,changed_label,calm,particle,flux,thermal,selection_primary,selection_secondary
0,initial,15,20,0,33,1.035487335057712,1.9164553836164715
1,calm,15,20,0,33,1.035487335057712,1.9164553836164715
1,calm,0,20,0,33,1.1783813000166208,2.0922864638885708
1,calm,23,20,0,33,1.132393361594559,2.03983300772453
1,calm,22,20,0,33,1.0894093172249275,1.9999072876331918
1,particle,15,20,0,33,1.035487335057712,1.9164553836164715
1,particle,15,16,0,33,1.050931553862557,1.932369229175944
1,particle,15,19,0,33,0.9157903506368857,1.7954669063261826
1,particle,15,18,0,33,1.0585294928216271,1.9415145975844013
1,flux,15,19,0,33,0.9157903506368857,1.7954669063261826
1,flux,15,19,2,33,0.9748780274039932,1.903031461820085
1,flux,15,19,10,33,0.921290801330272,1.8096715131816228
1,flux,15,19,8,33,0.9323564502441071,1.8618188028702707
1,thermal,15,19,0,33,0.9157903506368857,1.7954669063261826
1,thermal,15,19,0,11,0.9251538821455549,1.8252579405066338
1,thermal,15,19,0,14,0.9154302896042006,1.7952635320841845
1,thermal,15,19,0,12,0.9362620647877671,1.861689454727773
2,calm,15,19,0,14,0.9154302896042006,1.7952635320841845
2,calm,0,19,0,14,1.1318968918114254,2.0465336314320624
2,calm,23,19,0,14,1.0996855360126894,2.0466543313653904
2,calm,22,19,0,14,0.9503163746629939,1.8396578226987381
2,particle,15,20,0,14,1.035127274025027,1.9162520093744735
2,particle,15,16,0,14,1.050571492829872,1.9321658549339458
2,particle,15,19,0,14,0.9154302896042006,1.7952635320841845
2,particle,15,18,0,14,1.0581694317889418,1.941311223342403
2,flux,15,19,0,14,0.9154302896042006,1.7952635320841845
2,flux,15,19,2,14,0.9634848000374581,1.8915033533853858
2,flux,15,19,10,14,0.9269256054719636,1.8442089775717065
2,flux,15,19,8,14,0.9238222950820293,1.814165864898679
2,thermal,15,19,0,33,0.9157903506368857,1.7954669063261826
2,thermal,15,19,0,11,0.9251538821455549,1.8252579405066338
2,thermal,15,19,0,14,0.9154302896042006,1.7952635320841845
2,thermal,15,19,0,12,0.9362620647877671,1.861689454727773
