seed,policy_seed,run_dir,selected_update,validation_score,pdppo_loss,static_loss,ordinary_margin_vs_static,pdppo_macro,static_macro,macro_margin_vs_static,ordinary_margin_vs_dynamic,always_on,always_off,mid_duty,switches_per_step,warmup_abort_count
1301,12301,reports/v119_ca_pdppo_jointselect_init11000_seed1301_b1p75_20260822,15,1.0576333966819063,0.6425132707970787,0.5469403838829344,-0.09557288691414423,1.295591006343592,1.137792175449387,-0.1577988308942051,0.012059280648827553,0,0,5,0.0212765957446808,0
1301,10301,reports/v118_ca_pdppo_jointselect_seed1301_b1p75_20260822,30,1.1849470937193192,0.6157523571649411,0.5469403838829344,-0.06881197328200672,1.2735144876416402,1.137792175449387,-0.13572231219225328,0.03882019428096506,0,0,5,0.0447242726877985,0
1301,11301,reports/v119_ca_pdppo_jointselect_init10000_seed1301_b1p75_20260822,20,1.1954977361745167,0.6743285354783034,0.5469403838829344,-0.12738815159536898,1.339525994749445,1.137792175449387,-0.20173381930005796,-0.0197559840323972,0,0,6,0.0290201186857721,0
1302,12302,reports/v119_ca_pdppo_jointselect_init11000_seed1302_b1p75_20260822,30,1.0139309566609418,0.5462400014399059,0.4914257102338726,-0.054814291206033317,1.2329025621748588,1.0857631980379132,-0.14713936413694562,-0.010188194556071228,0,0,6,0.0170791720943696,0
1302,10302,reports/v118_ca_pdppo_jointselect_seed1302_b1p75_20260822,25,1.0414189533840197,0.5489074994224615,0.4914257102338726,-0.05748178918858893,1.204268376937507,1.0857631980379132,-0.11850517889959389,-0.01285569253862684,0,0,5,0.0266319293674916,0
1302,11302,reports/v119_ca_pdppo_jointselect_init10000_seed1302_b1p75_20260822,30,1.088411540618123,0.5624314203159884,0.4914257102338726,-0.07100571008211576,1.23696601057469,1.0857631980379132,-0.1512028125367768,-0.02637961343215367,0,0,5,0.04776378636561,0
1303,10303,reports/v118_ca_pdppo_jointselect_seed1303_b1p75_20260822,25,1.165272224657933,0.5504124400823558,0.6091144427191466,0.05870200263679082,1.0233226890752452,0.993545840229674,-0.02977684884557119,0.02387892072147224,0,0,6,0.0173686495874945,0
1303,12303,reports/v119_ca_pdppo_jointselect_init11000_seed1303_b1p75_20260822,15,1.1900518727324219,0.5521874756539344,0.6091144427191466,0.056926967065212164,0.9874193645069226,0.993545840229674,0.006126475722751379,0.022103885149893587,0,0,6,0.0256187581415544,0
1303,11303,reports/v119_ca_pdppo_jointselect_init10000_seed1303_b1p75_20260822,10,1.1964059169290293,0.5364127331089953,0.6091144427191466,0.07270170961015132,0.9528963778098296,0.993545840229674,0.04064946241984435,0.037878627694832745,0,0,6,0.0225792444637429,0
1304,11304,reports/v119_ca_pdppo_jointselect_init10000_seed1304_b1p75_20260822,40,1.1830493204751171,0.5367411484896567,0.54579861422341,0.009057465733753323,1.4095821560353403,1.3667202671522494,-0.04286188888309095,-0.00431745493713398,0,0,5,0.0293819655521783,0
1304,12304,reports/v119_ca_pdppo_jointselect_init11000_seed1304_b1p75_20260822,5,1.230106254014302,0.551062992828924,0.54579861422341,-0.005264378605513986,1.3939786353502863,1.3667202671522494,-0.027258368198036953,-0.01863929927640129,0,1,3,0.0070921985815602,0
1304,10304,reports/v118_ca_pdppo_jointselect_seed1304_b1p75_20260822,0,1.2739949647142497,0.5541724586704125,0.54579861422341,-0.00837384444700251,1.3512503859104907,1.3667202671522494,0.015469881241758632,-0.021748765117889812,0,0,6,0.0115790997249963,0
1305,11305,reports/v119_ca_pdppo_jointselect_init10000_seed1305_b1p75_20260822,5,0.9423535845053469,0.3652527030596199,0.4394427122897468,0.07419000923012692,1.1405182415188728,1.3292957556526883,0.1887775141338155,0.0468995208260215,1,2,2,0.0068027210884353,0
1305,12305,reports/v119_ca_pdppo_jointselect_init11000_seed1305_b1p75_20260822,5,0.9506743010774392,0.369763293293848,0.4394427122897468,0.0696794189958988,1.1289707355209977,1.3292957556526883,0.20032502013169062,0.04238893059179338,0,2,3,0.0056448111159357,0
1305,10305,reports/v118_ca_pdppo_jointselect_seed1305_b1p75_20260822,10,1.0234686007981446,0.3986082151596848,0.4394427122897468,0.040834497130061986,1.2945407691553883,1.3292957556526883,0.03475498649730002,0.013544008725956569,0,1,4,0.0167896946012447,0
