pass,changed_label,calm,particle,flux,thermal,selection_primary,selection_secondary
0,initial,7,22,32,14,1.1332052250302145,2.21294780294292
1,calm,7,22,32,14,1.1332052250302145,2.21294780294292
1,calm,3,22,32,14,1.133403362012712,2.2216977718291
1,calm,26,22,32,14,1.1100026367547953,2.184452824780588
1,calm,1,22,32,14,1.1254676893164162,2.2048218730649904
1,particle,26,22,32,14,1.1100026367547953,2.184452824780588
1,particle,26,34,32,14,1.115268237099066,2.2150069095997678
1,particle,26,15,32,14,1.1356041427172727,2.2451136926084763
1,particle,26,17,32,14,1.1133751757032835,2.2097827612291363
1,flux,26,22,32,14,1.1100026367547953,2.184452824780588
1,flux,26,22,33,14,1.1151588087046396,2.16987497869797
1,flux,26,22,30,14,1.1458882790736546,2.2258178051066264
1,flux,26,22,29,14,1.13713898529576,2.204490904474032
1,thermal,26,22,32,14,1.1100026367547953,2.184452824780588
1,thermal,26,22,32,33,1.1290771427660982,2.211449743776345
1,thermal,26,22,32,12,1.1098921743981576,2.185075105349508
1,thermal,26,22,32,31,1.112983228864085,2.1856938215810278
2,calm,7,22,32,12,1.1381219018535156,2.219548325741144
2,calm,3,22,32,12,1.1438330798973577,2.238078508969833
2,calm,26,22,32,12,1.1098921743981576,2.185075105349508
2,calm,1,22,32,12,1.1344033810011922,2.215050511868551
2,particle,26,22,32,12,1.1098921743981576,2.185075105349508
2,particle,26,34,32,12,1.1156615739224238,2.2171975492275844
2,particle,26,15,32,12,1.1179974576391771,2.2239061185908757
2,particle,26,17,32,12,1.1009196186559045,2.195511405226732
2,flux,26,17,32,12,1.1009196186559045,2.195511405226732
2,flux,26,17,33,12,1.0822573242734426,2.147878003499
2,flux,26,17,30,12,1.1112096613234566,2.2017433020739103
2,flux,26,17,29,12,1.1347323036164827,2.2223188279615336
2,thermal,26,17,33,14,1.0865303878263248,2.1514942022740775
2,thermal,26,17,33,33,1.0943499684784148,2.162474049184916
2,thermal,26,17,33,12,1.0822573242734426,2.147878003499
2,thermal,26,17,33,31,1.076575866369046,2.1400044634782533
