pass,changed_label,calm,particle,flux,thermal,selection_primary,selection_secondary
0,initial,11,21,33,12,1.0424470853743528,2.0549516607072764
1,calm,11,21,33,12,1.0424470853743528,2.0549516607072764
1,calm,31,21,33,12,1.0470346804849477,2.0842242545145355
1,calm,13,21,33,12,1.0412027583696986,2.0683260329873305
1,calm,9,21,33,12,1.057795084436772,2.095959811206277
1,particle,13,21,33,12,1.0412027583696986,2.0683260329873305
1,particle,13,19,33,12,1.0549321885478617,2.088436689618484
1,particle,13,16,33,12,1.017510813854098,2.026592139141677
1,particle,13,22,33,12,1.0443247573054422,2.0715913642547674
1,flux,13,16,33,12,1.017510813854098,2.026592139141677
1,flux,13,16,27,12,1.0169199201213561,2.021696744319984
1,flux,13,16,22,12,1.022769925577581,2.0358942307029833
1,flux,13,16,29,12,1.0099889260350983,2.010650761324449
1,thermal,13,16,29,12,1.0099889260350983,2.010650761324449
1,thermal,13,16,29,31,1.0072953796870014,2.007330373760242
1,thermal,13,16,29,33,1.0005273072625906,1.9992460885591892
1,thermal,13,16,29,14,1.0142500027604042,2.0179848103471887
2,calm,11,16,29,33,0.9820085306934105,1.9609680748459861
2,calm,31,16,29,33,1.0045451495409743,2.0072311529680755
2,calm,13,16,29,33,1.0005273072625906,1.9992460885591892
2,calm,9,16,29,33,0.9948968759718756,1.9704791011895166
2,particle,11,21,29,33,1.028946661711728,2.0400973956064203
2,particle,11,19,29,33,1.0390003260137957,2.047110933283432
2,particle,11,16,29,33,0.9820085306934105,1.9609680748459861
2,particle,11,22,29,33,1.0291458930613258,2.0371215209909668
2,flux,11,16,33,33,0.9884779127910442,1.9732105707908278
2,flux,11,16,27,33,0.9880277419399078,1.9662403496556307
2,flux,11,16,22,33,0.9874843479958414,1.974914946963108
2,flux,11,16,29,33,0.9820085306934105,1.9609680748459861
2,thermal,11,16,29,12,0.9966569751926032,1.9784514880152526
2,thermal,11,16,29,31,1.002332103726022,1.983584456564897
2,thermal,11,16,29,33,0.9820085306934105,1.9609680748459861
2,thermal,11,16,29,14,0.995903319575352,1.978216904862287
